"Bank Prepayment","Transferência Bancária"
"Pay within X days","Pague em X dias"
"Please transfer the money within %s days to the following bank account","Por favor, transfira o dinheiro dentro de %s dias para a seguinte conta bancária"
"Please transfer the money to the following bank account","Por favor, transfira o dinheiro para a seguinte conta bancária"
"Please transfer the money within %s days to one of the following bank accounts","Por favor, transfira o dinheiro dentro de %s dias para uma das seguintes contas bancárias"
"Please transfer the money to one of the following bank accounts","Por favor, transfira o dinheiro para uma das seguintes contas bancárias"
"Account holder","Titular da conta"
"Account number","Número da conta"
"Account number1","Número da conta"
"Sort code","Tipo da conta"
"Bank name","Nome do banco"
"For international transfers please use also following data","Para transferências internacionais, por favor, utilize os seguintes dados"
"IBAN","IBAN"
"BIC","BIC"
"Account info","Informações da conta"
"International","Internacional"
"Custom text","Texto personalizado"
"More information on this paymentmethod can be found <a target=""_blank"" href=""%s"">here</a>.","Mais informações sobre esse método de pagamento podem ser encontradas <a target=""_blank"" href=""%s"">aqui</a>."
"Bank Account holder","Titular da conta"
"Bank Account number","Número da conta"
"Bank Sort code","Tipo da conta"
"Bank Accounts","Contas"
"Add Bank Account","Adicionar Nova Conta"
"Delete Account","Deletar Conta"
"Add your bank accounts data","Adicione os dados de suas contas bancárias"
"Form CMS Page","Página CMS"
"Choose CMS page to display a link instead of the bank accounts in the payment form","Escolha uma página CMS aqui para exibir um link para a mesma ao invés dos dados de pagamento durante o processo de checkout"
"Show bank accounts in PDF","Mostrar os dados bancários dentro do PDF"
"Show custom text in PDF","Mostrar texto customizados dentro do PDF"
"Invalid Order","Pedido Inválido"
"Payment Successfully Confirmed","Pagamento Confirmado com Sucesso"
"Money Order", "Depósito"
"Wire Transfer", "Transferência"
"Show account information in form", "Mostrar dados da conta no formulário"
"Link to CMS page","Link para a página CMS"
"order_id","Número do Pedido"
"name","Nome"
"transfer_number","Número da Transferência / Comprovante"
"value", "Valor"
"transfer_time", "Hora da Transferência"
"transfer_date", "Data da Transferência"
"type", "Tipo de Pagamento"
"notes", "Notas"
"account", "Conta Bancária"
"Enable Confirmation Types","Ativar Seleção de Tipo de Confirmação"
"Confirmation Types","Tipos de Confirmação"
"Send Confirmation Email To Client","Enviar email de Confirmação ao Cliente"
"Send an Order Status Updated email to the client when he successfully confirms the payment","Envia um email do tipo Order Status Updated para o cliente quando o pagamento for confirmado por ele com sucesso"
"Confirmation Message","Mensagem de Confirmação de Pagamento"
"Used in the Confirmation Email and Order Comment","Usada no email de confirmação e no comentário inserido no pedido"
"Enabled","Ativar"
"Confirmation Enabled","Ativar módulo de Confirmação de Pagamento"
"Title","Título"
"New order status","Status usado para novos pedidos"
"Confirmed order status","Status usado quando um pedido é confirmado"
"Sort order","Ordem de Exibição"
"Payment from applicable countries","Aplicável para"
"Payment from Specific countries","Aplicável somente aos seguintes países"
"Minimum Order Total","Valor mínimo de pedido"
"Maximum Order Total","Valor máximo de pedido"
"Confirm Payment", "Confirmar Pagamento"
"Confirmation for Order", "Confirmação de Pagamento Para o Pedido"
"Confirmation Data","Dados da Confirmação"
"Name","Nome"
"Transfer Number","Número do Comprovante"
"Value", "Valor"
"Transfer Time","Hora da Transferência"
"Transfer Date","Data da Transferência"
"Transfer Type","Tipo de Transferência"
"Bank Account","Conta Bancária"
"Notes","Observações"
"* Required Fields", "* Campos Obrigatórios"
"Back", "Voltar"
"Confirm", "Confirmar"
"Send a Notification Email to Store Administrator", "Enviar um Email de Notificação para o Administrador da Loja"
"Send a notification email to the store administrator when the client successfully confirms a payment", "Enviar uma notificação para o administrador da loja via email quando um cliente confirmar um pagamento com sucesso"
"Notification Email Subject", "Assunto do Email de Notificação"
"Allowed variables: %order_id% (Order ID)", "Variáveis permitidas: %order_id% (ID do pedido)"
"Notified Email", "Email a Ser Notificado"
"Send An Instruction Email to the Client", "Enviar Email de Instruções para o Cliente"
"Send an instruction email to the client with information in how to confirm the payment", "Envia um email ao cliente com instruções de como confirmar o pagamento"
"Instruction Email Subject", "Assunto do Email de Instruções"
"Instruction Email Body Text", "Texto do Corpo do Email de Instruções"
"Allowed variables: %order_id% (Order ID). HTML Allowed", "Variáveis permitidas: %order_id% (ID do pedido). HTML Permitido"
"How to Confirm Your Payment", "Como Confirmar o Seu Pagamento"
"Do not forget to confirm your payment", "Não esqueça de confirmar o seu pagamento"
"New Payment Confirmed", "Novo Pagamento Confirmado"
