"All","Todos"
"Allowed Scopes","Escopos Permitidos"
"An order cannot be created in disallowed store.","Um pedido não pode ser criado em uma loja não permitida."
"Custom","Customizado"
"None","Nenhum"
"Not enough permissions to delete this item.","Sem permissões para deletar esse item."
"Not enough permissions to save specified Combination of Store Scopes.","Sem permissões para salvar a combinação específica de Escopos de Loja."
"Not enough permissions to save this item.","Sem permissões para salvar esse item."
"Not enough permissions to set All Scopes to a Role.","Sem permissões para setar Todos os Escopos para a regra."
"Not enough permissions to view this item.","Sem permissões para visualizar esse item."
"Please assign this entity to a store view.","Por favor associe essa entidade a uma view de loja."
"Please specify at least one website or one store group.","Por favor especifique pelo menos um website ou um grupo de loja."
"Role Scopes","Escopos de Regra"
"This item must be assigned to a store view.","Esse item deve ser associado a uma view de loja."
"This item must be assigned to a website.","Esse item deve ser associado a um website."
"Website ""%s"" is not allowed in your current permission scope.","O uso do Website ""%s"" não é permitido no seu escopo de permissão atual."
"Wrong store ID: %d","ID de loja inválido: %d"
"Wrong website ID: %d","ID de website inválido: %d"
