"-- None --","-- Nenhum --"
"Active","Ativo"
"Add Banner","Adicionar Banner"
"An error occurred while deleting banner data. Please review log and try again.","Ocorreu um erro ao deletar os dados do banner. Por favor verifique o log e tente novamente."
"An error occurred while mass deleting banners. Please review log and try again.","Ocorreu um erro ao deletar os banners em massa. Por favor verifique o log e tente novamente."
"Any","Qualquer"
"Any Banner Type","Qualquer Tipo de Banner"
"Applies To","Aplica A"
"Applies to Any of the Specified Customer Segments","Aplica a Qualquer um dos Segmentos de Cliente Especificados"
"Are you sure you want to delete these banners?","Você tem certeza que deseja deletar esses banners?"
"Banner Block Template","Template do Bloco de Banner"
"Banner Default Content for All Store Views","Conteúdo Padrão do Banner para Todas as Views de Loja"
"Banner Information","Informações de Banner"
"Banner Inline Template","Template Inline de Banner"
"Banner Name","Nome do Banner"
"Banner Properties","Propriedades do Banner"
"Banner Rotator","Rotacionador de Banner"
"Banner Types","Tipos de Banner"
"Banners","Banners"
"Banners to Display","Banners a Serem Exibidos"
"CMS","CMS"
"Catalog Promotions Related","Relacionado a Promoções de Catálogo"
"Content","Conteúdo"
"Content Area","Área de Conteúdo"
"Customer Segments","Segmentos de Cliente"
"Default Content","Conteúdo Padrão"
"Delete","Deletar"
"Delete Banner","Deletar Banner"
"Displays Specified or Promotion Banners","Exibir Banners Especificados ou de Promoção"
"Do not rotate, display all at once","Não rotacionar, exibir todos de uma vez"
"Edit Banner","Editar Banner"
"Footer","Rodapé"
"Header","Cabeçalho"
"ID","ID"
"Left Column","Coluna da Esquerda"
"Manage Banners","Gerenciar Banners"
"Name must not be empty.","O nome não pode ser vazio."
"New Banner","Novo Banner"
"No","Não"
"No Default Content","Nenhum Conteúdo Padrão"
"One at the time, Random","Um por vez, aleatório"
"One at the time, Series","Um por vez, em série"
"One at the time, Shuffle","Um por vez, misturado"
"Please select banner(s).","Por favor selecione o(s) banner(s)."
"Please specify default content for at least one store view.","Por favor especifique o contéudo padrão para pelo menos uma view de loja."
"Position","Posição"
"Related Banners","Banners Relacionados"
"Related Catalog Price Rules","Regras de Preço de Catálogo Relacionadas"
"Related Promotions","Promoções Relacionadas"
"Related Shopping Cart Price Rules","Regras de Preço de Carrinho Relacionadas"
"Restrict by Banner Types","Restrito por Tipo de Banner"
"Right Column","Coluna Direita"
"Rotation Mode","Modo de Rotação"
"Save Banner","Salvar Banner"
"Save and Continue Edit","Salvar e Continuar Editando"
"Shopping Cart Promotions Related","Relacionado a Promoções de Carrinho"
"Specified","Especificados"
"Specified Banner Types","Tipos de Banner Especificados"
"Specified Banners","Banners Especificados"
"Specify Banners","Especifique os Banners"
"Specify Types","Especifique os Tipos"
"Store View Specific Content","Conteúdo Específico da View da Loja"
"The banner has been deleted.","O banner foi deletado com sucesso."
"The banner has been saved.","O banner foi salvo com sucesso."
"This banner no longer exists.","Esse banner não existe mais."
"Total of %d record(s) have been deleted.","Um total de %d registro(s) foi/foram deletados com successo."
"Unable to find a banner to delete.","Impossível encontrar o banner a ser deletado."
"Unable to save the banner.","Impossível salvar o banner."
"Use Default","Usar o Padrão"
"Visible In","Visível Em"
"Yes","Sim"
