"%s is required.","o item %s é obrigatório."
"Action","Ação"
"Add Catalog Event","Adicionar Evento de Catálogo"
"Add Event...","Adicionar Evento..."
"An error occurred while saving this event.","Ocorreu um erro ao salvar esse evento."
"Back to Category","Voltar para a Categoria"
"Block Custom Width","Largura Customizada de Bloco"
"Catalog","Catálogo"
"Catalog Event Information","Informações de Evento de Catálogo"
"Catalog Events","Eventos de Catálogo"
"Catalog Events Carousel","Carrosel de Eventos de Catálogo"
"Catalog Events Carousel Default Template","Template Padrão do Carrosel de Eventos de Catálogo"
"Categories","Categorias"
"Category","Categoria"
"Category ID","ID da Categoria"
"Category Page","Página da Categoria"
"Closed","Fechado"
"Coming Soon","Em Breve"
"Default Values","Valores Padrão"
"Default value. Override in CMS using limit=""x"" variable. If empty, there will be no limitation.","Valor padrão. Sobrescreva-o no CMS usando a varíavel limit=""x""."
"Default value. Override in CMS using scroll=""x"" variable.","Valor padrão. Sobrescreva-o no CMS usando a variável scroll=""x""."
"Display Countdown Ticker On","Exibir o Ticker de Contagem Regressiva Em"
"Edit","Editar"
"Edit Catalog Event","Editar Evento de Catálogo"
"Edit Event...","Editar Evento..."
"Enable Catalog Event Widget on the Frontend","Ativar o Widget de Evento de Catálogo no Frontend"
"Enable Catalog Events Functionality","Ativar a Funcionalidade de Eventos de Catálogo"
"End Date","Data de Término"
"End date should be greater than start date.","A data de término deve ser maior que a data de início."
"Ends On","Termina Em"
"Event for selected category","Evento para a categoria selecionada"
"Event has been deleted.","O evento foi deletado com sucesso."
"Event has been saved.","O evento foi salvo com sucesso."
"Events","Eventos"
"Events to Scroll per Click in Event Slider Widget","Quantidade de Eventos a Serem Rolados por Clique no Widget de Slide de Eventos"
"Frame Size","Tamanho da Moldura"
"Go To Sale","Ir para Vendas"
"ID","ID"
"Image","Imagens"
"Image was not uploaded.","A imagem não foi enviada."
"List all open Catalog Events as a Paginated Carousel","Listar todos os Eventos Abertos de Catálogo como um Carrossel Paginado"
"Lister Block","Bloco de Listagem"
"Manage Catalog Events","Gerenciar Eventos de Catálogo"
"New Event","Novo Evento"
"Number of Events to be Displayed in Event Slider Widget","Número de Eventos a serem Exibidos no Widget de Slide de Eventos"
"Number of Items to display at once","Número de Itens a exibir por vez"
"Number of Items to scroll per click","Número de Itens a rolar por click"
"Open","Abrir"
"Preview Sale","Prever Venda"
"Product Page","Página de Produto"
"Sale Ends In","Venda Finaliza Em"
"Sale was closed for this product.","A venda desse produto finalizou."
"Save and Continue Edit","Salvar e Continuar Editando"
"Scroll","Rolar"
"Select Category","Selecionar Categoria"
"Some products are not salable anymore.","Alguns dos produtos já não estão mais a venda."
"Sort Order","Ordem de Classificação"
"Start Date","Data de Início"
"Starts On","Inicia Em"
"Status","Status"
"Upcoming","Próximas"
"Use Default Value","Usar o Valor Padrão"
"View Sale","Ver Venda"
"Width in Pixels. If empty, will be determined automatically","Largura em Pixels. Se deixado vazio, o valor será determinado automaticamente"
