"(Allow)","(Permitir)"
"(Config)","(Configurar)"
"(Deny)","(Negar)"
"<strong style=""color:red"">Warning!</strong> By default this feature restricts all categories.","<strong style=""color:red"">Aviso!</strong> Por padrão essa funcionalidade restringe todas as categorias."
"A permission with the same scope already exists.","Já existe uma permissão com o mesmo escopo."
"Add to Cart","Adicionar ao Carrinho"
"Allow Adding to Cart","Permitir Adicionar ao Carrinho"
"Allow Browsing Category","Permitir Navegação pela Categoria"
"Browsing Category","Navegando na Categoria"
"Category Permissions","Permissões da Categoria"
"Category Permissions Section","Sessão de Permissões da Categoria"
"Customer Groups","Grupos de Cliente"
"Disallow Catalog Search by","Bloquear a Busca de Catálogo por"
"Display Product Prices","Exibir o Preço dos Produtos"
"Enable","Ativar"
"Landing Page","Landing Page"
"New Permission","Nova Permissão"
"No","Não"
"No, Redirect to Landing Page","Não, Redirecionar para a Landing Page"
"Permission with the same scope","Permissão com o mesmo escopo"
"Remove Permission","Remover Permissão"
"Yes, for Everyone","Sim, para Todos"
"Yes, for Specified Customer Groups","Sim, para Grupos Específicos de Cliente"
