"Access denied.","Acesso negado."
"Action","Ação"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to Shopping Cart","Adicionar Produto(s) Selecionado(s) ao Carrinho de Compras"
"An error has occurred. See error log for details.","Ocorreu um erro. Verifique o log para maiores detalhes."
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Cupom"
"Cancel","Cancelar"
"Choose some products to add to shopping cart.","Escolha alguns produtos a serem adicionados ao seu carrinho de compras."
"Coupon code ""%s"" is not valid","O cupom ""%s"" não é valido"
"Customer not found","Cliente não encontrado"
"Customers","Clientes"
"Discount","Desconto"
"Excl. Tax","Excl. Impostos"
"Failed to add a product of order item","Falha ao adicionar o produto de item de pedido"
"Failed to reorder item","Falha ao recomprar o item"
"ID","ID"
"Incl. Tax","Incl. Impostos"
"Invalid block: %s.","Bloco inválido: %s."
"Last ordered items (%s)","Últimos itens comprados (%s)"
"Manage Customers","Gerenciar Clientes"
"Manage Shopping Cart","Gerenciar Carrinho de Compra"
"Move to Wishlist","Mover para Lista de Desejos"
"No ordered items","Nenhum item comprado"
"Ordered item id is not received.","O id do item comprado não foi recebido."
"Ordered item is not loaded.","O item comprado não foi carregado."
"Price","Preço"
"Product","Produto"
"Product Name","Nome do Produto"
"Product name","Nome do produto"
"Products","Produtos"
"Products in the Comparison List (%s)","Produtos na Lista de Comparação (%s)"
"Qty","Qtd"
"Qty To Add","Qtd a Adicionar"
"Quote item id is not received.","O id do item do quote não foi recebido."
"Quote item is not loaded.","O item do quote não foi carregado."
"Recently Compared Products (%s)","Produtos Comparados Recentemente (%s)"
"Recently Viewed Products (%s)","Produtos Visualizados Recentemente (%s)"
"Remove","Remover"
"Remove Coupon Code","Remover Cupom"
"Row Subtotal","Subtotal da Linha"
"SKU","SKU"
"Shopping Cart","Carrinho de Compras"
"Shopping Cart Items","Itens do Carrinho de Compras"
"Shopping Cart Management","Gerenciamento de Carrinho de Compras"
"Shopping Cart for %s in %s","Carrinho de compra de %s na %s"
"Shopping cart management disabled for this customer.","Gerenciamento de carrinho de compras desativado para esse cliente."
"Store not found.","Loja não encontrada."
"Subtotal","Subtotal"
"Subtotal:","Subtotal:"
"Total","Total"
"Total %d product(s)","Total de %d produto(s)"
"Total incl. tax","Total incl. impostos"
"Update Items and Qty's","Atualizar Itens e Qtds"
"View Shopping Cart","Ver o Carrinho de Compras"
"View and modify Shopping Cart","Ver e modificar o Carrinho de Compras"
"Wishlist (%s)","Lista de Desejos (%s)"
"Wishlist item id is not received.","O id do item da lista de desejos não foi recebido."
"Wishlist item is not loaded.","O item da lista de desejos não foi carregado."
