"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Favor Selecionar --"
"Account Information","Informações da Conta"
"Add New Address","Adicionar Novo Endereço"
"Add New Attribute","Adicionar Novo Atributo"
"Additional Address Entries","Entradas de Endereço Adicionais"
"Address","Endereços"
"Address Book","Catálogo de Endereços"
"Address Information","Informações de Endereço"
"Admin Checkout","Checkout do Admin"
"All Themes","Todos os Temas"
"Alpha Only","Apenas Alfa"
"Alphanumeric","Alfanumérico"
"An error occurred while deleting the customer address attribute.","Ocorreu um erro ao deletar o atributo de endereço de cliente."
"An error occurred while deleting the customer attribute.","Ocorreu um erro ao deletar o atributo de cliente."
"An error occurred while deleting the form type.","Ocorreu um erro ao deletar o tipo de formulário."
"An error occurred while saving the customer address attribute.","Ocorreu um erro ao salvar o atributo de endereço de cliente."
"An error occurred while saving the customer attribute.","Ocorreu um erro ao salvar o atributo de cliente."
"An error occurred while saving the form type.","Ocorreu um erro ao salvar o tipo de formulário."
"Are you sure you want to delete this address?","Você tem certez que deseja deletar esse endereço?"
"Attribute Information","Informações de Atributo"
"Attribute is no longer exists.","O atributo não existe mais."
"Attribute with the same code already exists","Um atributo com o mesmo código já existe"
"Attributes","Atributos"
"Back","Voltar"
"Back to Login","Voltar para o Login"
"Based On","Baseado Em"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta em nossa loja, você poderá realizar o checkout de forma mais rápida, armazenar múltiplos endereços de envio, ver e rastrear os pedidos na sua conta e muito mais."
"Cancel","Cancelar"
"Change Billing Address","Alterar o Endereço de Cobrança"
"Change Password","Alterar Senha"
"Change Shipping Address","Alterar Endereço de Entrega"
"City","Cidade"
"Comma separated","Separado por vírgula"
"Company","Companhia"
"Confirm New Password","Confirme a Nova Senha"
"Confirm Password","Confirme a Senha"
"Contact Information","Informações de Contato"
"Country","País"
"Create an Account","Crie uma Conta"
"Current Password","Senha Atual"
"Customer","Cliente"
"Customer Account Address","Endereço da Conta de Cliente"
"Customer Account Edit","Editar Conta de Cliente"
"Customer Account Edit Form","Formulário de Edição da Conta de Cliente"
"Customer Account Login Form","Formulário de Login da Conta de Cliente"
"Customer Account Logout Success","Sucesso de Logout da Conta de Cliente"
"Customer Account Registration Form","Formulário de Registro da Conta de Cliente"
"Customer Address Registration","Registro de Endereço de Cliente"
"Customer Checkout Register","Registro de Checkout de Cliente"
"Customer Forgot Password Form","Formulário de Esqueci Minha Senha de Cliente"
"Customer My Account (All Pages)","Minha Conta de Cliente (Todas as Páginas)"
"Customer My Account Address Book","Livo de Endereços da Minha Conta de Cliente"
"Customer My Account Address Edit Form","Formulário de Edição de Endereço da Minha Conta de Cliente"
"Customer My Account Dashboard","Dashboard da Minha Conta de Cliente"
"Customer Registration","Registro de Cliente"
"DD","DD"
"Date","Data"
"Date of Birth","Data de Nascimento"
"Day","Dia"
"Default Addresses","Endereço Padrão"
"Default Billing Address","Endereço Padrão de Cobrança"
"Default Shipping Address","Endereço Padrão de Entrega"
"Default Values","Valores Padrão"
"Delete Address","Deletar Endereço"
"Delete Attribute","Deletar Atributo"
"Dropdown","Dropdown"
"Edit","Editar"
"Edit Account Information","Editar Informações da Conta"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Customer Address Attribute","Editar Atributos de Endereço de Cliente"
"Edit Customer Address Attribute ""%s""","Editar Atributo ""%s"" de Endereço de Cliente"
"Edit Customer Attribute","Editar Atributo de Cliente"
"Edit Customer Attribute ""%s""","Editar Atributo ""%s"" de Cliente"
"Edit Form Type ""%s""","Editar Tipo de Formulário ""%s"""
"Edit Newsletters","Editar Newsletters"
"Email","Email"
"Email Address","Endereço de Email"
"Escape HTML Entities","Escapar Entidades HTML"
"Fax","Fax"
"File (attachment)","Arquivo (anexo)"
"File Extensions","Extensões de Arquivo"
"For Theme","Para o Tema"
"Forgot Your Password?","Esqueceu Sua Senha?"
"Form Code","Código do Formulário"
"Form Fields Before","Exibido Antes dos Campos de Formulário"
"Form Label","Rótulo do Formulário"
"Form Title","Título do Formulário"
"Form Type Code","Código do Tipo de Formulário"
"Form Type Information","Informações de Tipo de Formulário"
"Form type has been deleted.","O tipo de formulário foi deletado com sucesso."
"Forms to Use In","Formulários a Serem Usados Em"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A partir do Dashboard da Sua Conta você poderá ver um resumo da atividade recente da sua conta e atualizar as informações da mesma. Selecione um link abaixo para ver ou editar alguma informação."
"Frontend Properties","Propriedades de Frontend"
"General","Geral"
"General Information","Informações Gerais"
"General Subscription","Assinatura Geral"
"Go back","Voltar"
"Hello, %s!","Olá, %s!"
"If you have an account with us, log in using your email address.","Se você tem uma conta em nossa loja, faça o login usando seu endereço de email."
"Image File","Arquivo de Imagem"
"Input Type","Tipo de Entrada"
"Input Validation","Validação de Entrada"
"Input/Output Filter","Filtro de Entrada/Saída"
"Label","Rótulo"
"Lines Count","Contagem de Linhas"
"Login","Login"
"Login Information","Informações de Login"
"Login or Create an Account","Fazer o Login ou Criar uma Conta"
"MM","MM"
