"Action","Ação"
"Additional information","Informações adicionais"
"An amount on which to change the balance","Quantia para qual alterar o saldo"
"Balance","Saldo"
"Balance Change","Mudança de Saldo"
"Balance History","Histórico de Saldo"
"Balance history cannot be saved without existing balance.","O histórico de saldo não pode ser salvo sem um saldo existente."
"By admin: %1$s. (%2$s)","Pelo admin: %1$s. (%2$s)"
"By admin: %s.","Pelo admin: %s."
"Comment","Comentário"
"Created","Criado"
"Customer ID must be specified.","O ID do cliente deve ser especificado."
"Customer My Account Store Credit","Crédito de Loja da Minha Conta de Cliente"
"Customer is not set or does not exist.","Cliente não configurado ou inexistente."
"Customer notified?","Cliente foi notificado?"
"Date","Data"
"Delete Orphan Balances","Deletar Saldos Orfãos"
"Enable Store Credit Functionality","Ativar Funcionalidade de Crédito de Loja"
"Failed to initialize customer","Falha ao inicializar o cliente"
"In order to send email notification, the Store ID must be set.","Para poder enviar o email de notificação, o ID da Loja deve ser setado."
"No","Não"
"Not enough Store Credit Amount to complete this Order.","Crédito de Loja Insuficiente para finalizar esse Pedido."
"Notified","Notificado"
"Notify Customer by Email","Notificar Cliente por Email"
"Order #%s","Pedido #%s"
"Please set store ID as well.","Por favor configure também o ID da loja ."
"Refund Money to Store Credit","Reembolsar Dinheiro para Crédito de Loja"
"Refund Store Credit Automatically","Reembolsar Crédito de Loja Automaticamente"
"Refund Store Credit to Store Credit","Reembolsar Crédito de Loja para Crédito de Loja"
"Refund to Store Credit","Reembolsar para Crédito de Loja"
"Refunded","Reembolsado"
"Refunded to Store Credit","Reembolsado para Crédito de Loja"
"Remove","Remover"
"Reverted","Revertido"
"Send Email Notification From the Following Store View","Enviar Notificação de Email a Partir da Seguinte View de Loja"
"Send Email from the Following Store View","Enviar Email a Partir da Seguinte View de Loja"
"Show Store Credit History to Customers","Mostrar Histórico de Crédito de Loja para os Clientes"
"Store Credit","Crédito de Loja"
"Store Credit (%s)","Crédito de Loja (%s)"
"Store Credit Balance","Saldo do Crédito de Loja"
"Store Credit Balance and History Wrapper","Wrapper do Saldo de Crédito de Loja e Histórico"
"Store Credit Options","Opções de Crédito de Loja"
"Store Credit Update","Atualização de Crédito de Loja"
"Store Credit Update Email Sender","Remetente do Email de Atualização de Crédito de Loja"
"Store Credit Update Email Template","Template do email de Atualização de Crédito da Loja"
"Store Credit payment is not being used in your shopping cart.","O pagamento via Crédito de Loja não está sendo usado no seu carrinho."
"Store credit amount cannot exceed order amount.","O valor do crédito de loja não pode exceder o valor do pedido."
"The store credit payment has been removed from shopping cart.","O pagamento via Crédito de Loja foi removido com sucesso do seu carrinho."
"There is no creditmemo set to balance model.","Não existe nenhuma nota de crédito configurada para o model de saldo."
"There is no order set to balance model.","Não existe nenhum pedido configurado para o model de saldo."
"Unknown balance history action code","Código desconhecido de ação de histórico de saldo"
"Update Balance","Atualizar Saldo"
"Updated","Atualizado"
"Use Store Credit","Usar Crédito de Loja"
"Use Store Credit (%s available)","Usar Crédito de Loja (%s disponível)"
"Used","Usado"
"Website","Website"
"Website ID must be set.","O ID do website deve ser setado."
"Your current balance is:","Seu saldo atual é:"
"available","disponível"
