"-- First Please Select a Website --","-- Por Favor Primeiro Selecione um Website --"
"Action","Ação"
"Active","Ativo"
"Add Gift Card","Adicionar Cartão de Presente"
"Add Gift Card Account","Adicionar Conta de Cartão de Presente"
"Additional information","Informações Adicionais"
"Alphabetical","Alfabético"
"Alphanumeric","Alfanumérico"
"Are you sure you want to delete these gift card accounts?","Você tem certeza que deseja deletar essas contas de cartão de presente?"
"Available","Disponível"
"Balance","Saldo"
"Balance Change","Mudança de Saldo"
"Balance cannot be less than zero.","O saldo não pode ser menor que zero."
"By admin: %s.","Pelo admin: %s."
"Cannot apply Gift Card","Impossível aplicar o Cartão de Presente"
"Cannot apply gift card.","Impossível aplicar o cartão de presente."
"Cannot redeem Gift Card.","Impossível resgatar o Cartão de Presente."
"Cannot remove Gift Card","Impossível remover o Cartão de Presente"
"Cannot remove gift card.","Impossível remover o cartão de presente."
"Check","Checar"
"Check Gift Card status and balance","Checar o status e o saldo do Cartão de Presente"
"Check status and balance","Checar o status e o saldo"
"Code","Código"
"Code Format","Formato do Código"
"Code Length","Comprimento do Código"
"Code Prefix","Prefíxo do Código"
"Code Suffix","Sufíxo do Código"
"Created","Criado"
"Current Balance: %s","Saldo Atual: %s"
"Customer #%s.","Cliente #%s."
"Customer My Account Gift Card Check Form","Formulário de Checagem do Cartão de Presente da Minha Conta de Cliente"
"Customers","Clientes"
"Dash Every X Characters","Inserir um Traço a Cada X Caracteres"
"Date","Data"
"Date Created","Data de Criação"
"Delete","Deletar"
"Do you really want to proceed? All unsaved changes will be lost.","Tem certeza que deseja continuar? Todas as mudanças não salvas serão perdidas."
"Edit Gift Card Account","Editar a Conta de Cartão de Presente"
"Edit Gift Card Account: %s","Editar a Conta de Cartão de Presente: %s"
"Email Sent from Gift Card Account Management","Email Enviado a Partir do Gerenciador de Conta de Cartão de Presente"
"Email Template","Template de Email"
"Email was not sent because the gift card account is not active.","O email não foi enviado porque a conta do cartão de presente não está ativa."
"Enter Gift Card code","Digite o código do Cartão de Presente"
