"Actions","Ações"
"An error occurred while marking notification as read.","Ocorreu um erro ao marcar essa notificação como lida."
"An error occurred while marking the messages as read.","Ocorreu um erro ao marcar as mensagens como lidas."
"An error occurred while removing messages.","Ocorreu um erro ao remover as mensagens."
"An error occurred while removing the message.","Ocorreu um erro ao remover a mensagem."
"Are you sure?","Você tem certeza?"
"Date Added","Adicionado Em"
"Last Update","Última Atualização"
"Mark as Read","Marcar como Lido"
"Mark as read","Marcar como lido"
"Message","Mensagem"
"Messages Inbox","Caixa de Mensagens"
"Notifications","Notificações"
"Please select messages.","Por favor selecione as mensagens desejadas."
"Read Details","Ver Detalhes"
"Remove","Remover"
"Severity","Severidade"
"Show List","Mostrar Lista"
"Show Toolbar","Mostrar Barra de Ferramentas"
"The message has been marked as read.","A mensagem foi marcada como lida."
"The message has been removed.","A mensagem foi removida."
"Total of %d record(s) have been marked as read.","%d itens foram marcados como lidos."
"Total of %d record(s) have been removed.","%d registros foram removidos."
"Unable to proceed. Please, try again.","Impossível continuar com essa ação. Tente novamente."
"Update Frequency","Frequência de Atualização"
"Use HTTPS to Get Feed","Baixar o Feed via HTTPS"
"critical","crítico"
"major","alta"
"minor","baixa"
"notice","aviso"
