" The customer does not exist in the system anymore."," Esse cliente não existe mais no sistema."
" [deleted]"," [deletado]"
" and "," e "
" note that the URLs provided below are the correct values for your current website): "," as URLs mostradas abaixo são os valores corretos para o site atual): "
"%s (Default Template from Locale)","%s (Template Padrão para esse Locale)"
"%s cache type(s) disabled.","%s tipo(s) de cache desativado(s)."
"%s cache type(s) enabled.","%s tipo(s) de cache ativados(s)."
"%s cache type(s) refreshed.","%s tipo(s) de cache atualizado(s)."
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para o tipo ""Servidor Local"" você deve usar o caminho relativo a instalação do Magento var/export ou var/import, ex. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para estados do US com nomes de duas letras)"
"(If left empty will be auto-generated)","(Se esse campo for deixado vazio um valor será gerado automaticamente)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclúi mais países do que os listados abaixo. Como dono da aplicação, você é responsável por seguir qualquer lei específica do seu país para a distribuição ou venda.)"
"(Leave empty for first spreadsheet)","(Deixe vazio se for sua primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados/atualizados nessa loja se a coluna 'loja' do arquivo de importação estiver vazia ou não existir.)"
"(Shift-)Click or drag to change value","(Shift-)Click ou arraste para alterar o valor"
"(Starting with)","(Começando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Se 'Não', apenas os campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você deve aumentar o valor do campo memory_limit na configuração do seu PHP antes de alterar esse campo)"
"(\\t for tab)","(\\t para tab)"
"* - If indexing is in progress, it will be killed and new indexing process will start.","* - Se a indexação já tiver sendo executada, ela será finalizada e um novo processo de indexação será iniciado."
"- Click on any of the time parts to increase it","- Clique em qualquer uma das partes para aumenta-la"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em qualquer um dos botões acima para selecionar mais rapidamente."
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-click para decrementar"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rapidamente."
"-- Not Selected --","-- Não Selecionado --"
"-- Please Select --","-- Favor Selecionar --"
"-- Please Select Billing Agreement--","-- Favor Selecionar o Contrato de Compra--"
"-- Please Select a Category --","-- Favor Selecionar uma Categoria --"
"-- Please select --","-- Favor Selecionar --"
"--Please Select--","--Favor Selecionar--"
"1 Hour","1 Hora"
"10:40 AM","10:40 AM"
"12 Hours","12 Horas"
"12h AM/PM","12h AM/PM"
"2 Hours","2 Horas"
"24 Hours","24 Horas"
"24h","24h"
"2YTD","2YTD"
"6 Hours","6 Horas"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">Erro 404</h1><p>Página não encontrada.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Uma nova senha foi enviada para o seu email. Verifique o seu email e clique em Voltar para realizar o login."
"A user with the same user name or email aleady exists.","Um usuário com o mesmo nome ou email já existe."
"API Key","Chave de API"
"API Key Confirmation","Confirmação da Chave de API"
"ASCII","ASCII"
"Abandoned Carts","Carrinhos Abandonados"
"About the calendar","Sobre o calendário"
"Access Denied","Acesso Negado"
"Access denied","Acesso negado"
"Access denied.","Acesso negado."
"Account Created in:","Conta Criada em:"
"Account Created on (%s):","Conta Criada na (%s):"
"Account Created on:","Conta Criada na"
"Account Information","Informações da Conta"
"Account Status","Status da Conta"
"Account status","Status da conta"
"Action","Ação"
"Actions","Ações"
"Actions XML","XML de Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add Contents Path","Adicionar Caminho para os Conteúdos"
"Add Exception","Adicionar exceção"
"Add Field Mapping","Adicionar Mapeamento dos Campos"
"Add Field with URL:","Adicionar campo com a seguinte URL:"
"Add New","Adicionar um Novo"
"Add New Image","Adicionar Nova Imagem"
"Add New Profile","Adicionar Novo Perfil"
"Add New Role","Adicionar Novo Papel"
"Add New Template","Adicionar Novo Template"
"Add New URL Rewrite","Adicionar nova URL Rewrite"
"Add New User","Adicionar Novo Usuário"
"Add New Variable","Adicionar Nova Variável"
"Add PHP Extension dependency","Adicionar nova dependência a extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add URL Rewrite","Adicionar URL Rewrite"
"Add URL Rewrite for a Category","Adicionar URL Rewrite para uma Categoria"
"Add URL Rewrite for a Product","Adicionar URL Rewrite para um Produto"
"Add after","Adicionar depois de"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Additional Cache Management","Gerenciamento de Cache Adicional"
"Address Type:","Tipo de Endereço:"
"Admin","Administrador"
"Advanced Admin Section","Sessão de Administração Avançada"
"Advanced Profiles","Perfis Avançados"
"Advanced Section","Sessão Avançada"
"AirMail Template Preview","Preview de Template AirMail"
"All","Todos"
"All Allowed Countries","Todos os Países Permitidos"
"All Cache","Todo o Cache"
"All Files","Todos os Arquivos"
"All Reviews","Todos os Reviews"
"All Store Views","Todas as Views de Loja"
"All Tags","Todas as Tags"
"All Websites","Todos os Websites"
"All countries","Todos os países"
"All fields","Todos os campos"
"All locations","Todas as localidades"
"All possible rates were fetched, please click on ""Save"" to apply","Todas as taxas possíveis já foram atualizadas, por favor clique em ""Salvar"" para aplicar"
"All rates were fetched, please click on ""Save"" to apply","Todas as taxas já foram atualizadas, por favor clique em ""Salvar"" para aplicar"
"All valid rates have been saved.","Todas as taxas válidas foram salvas."
"Amounts","Quantidades"
"An error has occured while syncronizing media storages.","Ocorreu um erro ao sincronizar os armazenamentos de mídia."
"An error occurred while clearing the JavaScript/CSS cache.","Ocorreu um erro ao limpar o cache de JavaScript/CSS."
"An error occurred while clearing the image cache.","Ocorreu um erro ao limpar o cache de imagens."
"An error occurred while creating the backup.","Ocorreu um erro ao criar o backup."
"An error occurred while deleting email template data. Please review log and try again.","Ocorreu um erro ao deletar os templates de email. Verifique o log e tente novamente."
"An error occurred while deleting this role.","Ocorreu um erro ao deletar esse papel."
"An error occurred while deleting this set.","Ocorreu um erro ao deletar esse conjunto."
"An error occurred while deleting this template.","Ocorreu um erro ao deletar esse template."
"An error occurred while finishing process. Please refresh the cache","Ocorreu um erro ao finalizar o processo. Por favor atualize o cache"
"An error occurred while rebuilding the CatalogInventory Stock Status.","Ocorreu um erro ao reconstruir o índice CatalogInventory Stock Status."
"An error occurred while rebuilding the catalog index.","Ocorreu um erro ao reconstruir o índice do catálogo."
"An error occurred while rebuilding the flat catalog category.","Ocorreu um erro ao reconstruir o índice de flat catalog category."
"An error occurred while rebuilding the flat product catalog.","Ocorreu um erro ao reconstruir o índice do catálogo flat product."
"An error occurred while rebuilding the search index.","Ocorreu um erro ao reconstruir o índice de busca."
"An error occurred while refreshing the Catalog Rewrites.","Ocorreu um erro ao atualizar as regras de reescrita do Catálogo."
"An error occurred while refreshing the Layered Navigation indices.","Ocorreu um erro ao atualizar os índices da Navegação por Camadas."
"An error occurred while refreshing the catalog rewrites.","Ocorreu um erro ao atualizar as regras de reescrita do catálogo."
"An error occurred while refreshing the layered navigation indices.","Ocorreu um erro ao atualizar os índices da navegação por camadas."
"An error occurred while saving account.","Ocorreu um erro ao salvar essa conta."
"An error occurred while saving the customer.","Ocorreu um erro ao salvar os dados desse cliente"
"An error occurred while saving this configuration:","Ocorreu um erro ao salvar a configuração:"
"An error occurred while saving this role.","Ocorreu um erro ao salvar esse papel."
"An error occurred while saving this template.","Ocorreu um erro ao salvar esse template."
"An error occurred while updating the selected review(s).","Ocorreu um erro ao atualizar os seguintes review(s)."
"Any","Qualquer"
"Any Attribute Set","Qualquer Conjunto de Atributos"
"Any Group","Qualquer Grupo"
"Any Status","Qualquer Status"
"Any Store","Qualquer Loja"
"Any Type","Qualquer Tipo"
"Any Visibility","Qualquer Visibilidade"
"Archive file name:","Nome do Arquivo:"
"Are you sure that you want to delete this template?","Tem certeza que deseja deletar esse template?"
"Are you sure that you want to strip tags?","Tem certeza que deseja remover essas tags?"
"Are you sure you want to delete this theme? This change will affect all applications.","Tem certeza que deseja deletar esse tema? Isso afetará todas as aplicações."
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Area","área"
"As low as:","A partir de:"
"Assigned","Atribuído"
"Associated Tags","Tags Associadas"
"Attribute Set Name:","Nome do Conjunto de Atributos:"
"Attributes","Atributos"
"Authors","Autores"
"Automatic","Automático"
"Available Products","Produtos Disponíveis"
"Average Order Amount","Valor Médio de Pedido"
"Average Orders","Média de Pedidos"
"BINARY","BINáRIO"
"Back","Voltar"
"Back to Login","Voltar para o Login"
"Backup","Backup"
"Backup record was deleted.","Os dados de Backup foram deletados."
"Backups","Backups"
"Base currency","Moeda Base"
"Bcc","Bcc"
"Bestsellers","Mais Vendidos"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Cobrança"
"Billing Address: ","Endereço de Cobrança: "
"Billing Agreement","Contrato de Compra"
"Billing Agreements","Contratos de Compra"
"Block Information","Informação do Bloco"
"Both (without and with tax)","Ambos (sem e com imposto)"
"Both IPN and PDT","Ambos IPN e PDT"
"Browse Files...","Procurar Arquivos..."
"Bundle Items","Items do Pacote"
