" and "," e "
" note that the URLs provided below are the correct values for your current website): "," as URLs mostradas abaixo são os valores corretos para o website atual): "
"(For Type ""Local Server"" need to use relative path to Magento install var/export or var/import, e.g. var/export, var/import, var/export/some/dir, var/import/some/dir)","(Para o tipo ""Servidor Local"" você deve usar um caminho relativo a instalação do Magento como var/export ou var/import, ex. var/export, var/import, var/export/some/dir, var/import/some/dir)"
"(For US 2-letter state names)","(Para estados dos EUA com nomes de duas letras)"
"(If left empty will be auto-generated)","(Se esse campo for deixado em branco, um valor será gerado automaticamente)"
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclúi mais países do que os listados abaixo. Como dono da aplicação, você é responsável por seguir qualquer lei específica do seu país para a distribuição ou venda.)"
"(Leave empty for first spreadsheet)","(Deixe vazio se for a primeira planilha)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Os produtos serão adicionados a essa loja se a coluna 'store' do arquivo de importação estiver vazia ou não existir.)"
"(Shift-)Click or drag to change value","(Shift-)Click ou arraste para mudar o valor"
"(Starting with)","(Iniciando com)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Se 'Não', apenas os campos mapeados serão importados. Ao mapear, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(Você deve aumentar o valor do campo memory_limit na configuração do seu PHP antes de alterar esse campo)"
"(\\t for tab)","(\\t para tab)"
"- Click on any of the time parts to increase it","- Clique em qualquer uma das partes para aumenta-la"
"- Hold mouse button on any of the above buttons for faster selection.","- Segure o botão do mouse em qualquer um dos botões acima para selecionar mais rapidamente."
"- Use the %s buttons to select month","- Use os botões %s para selecionar o mês"
"- Use the %s, %s buttons to select year","- Use os botões %s, %s para selecionar o ano"
"- or Shift-click to decrease it","- ou Shift-click para decrementar"
"- or click and drag for faster selection.","- ou clique e arraste para selecionar mais rapidamente."
"-- Please Select Billing Agreement--","-- Favor Selecionar o Contrato de Compra--"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"ASCII","ASCII"
"About the calendar","Sobre o calendário"
"Access denied.","Acesso negado."
"Account Created in:","Conta Criada em:"
"Account Created on (%s):","Conta Criada na (%s):"
"Account Created on:","Conta Criada na"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Add Contents Path","Adicionar Caminho para os Conteúdos"
"Add Field with URL:","Adicionar campo com a seguinte URL:"
"Add New Role","Adicionar Novo Papel"
"Add New User","Adicionar Novo Usuário"
"Add PHP Extension dependency","Adicionar nova dependência a extensão PHP"
"Add Package dependency","Adicionar dependência de Pacote"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Address Type:","Tipo de Endereço:"
"AirMail Template Preview","Preview do Template do AirMail"
"All","Todos"
"All Websites","Todos os Websites"
"All fields","Todos os campos"
"All locations","Todas as localidades"
"Archive file name:","Nome do Arquivo:"
"Are you sure that you want to delete this template?","Tem certeza que deseja deletar esse template?"
"Are you sure that you want to strip tags?","Tem certeza que deseja remover essas tags?"
"Are you sure you want to delete this theme? This change will affect all applications.","Tem certeza que deseja deletar esse tema? Isso afetará todas as aplicações."
"As low as:","A partir de:"
"Attribute Set Name:","Nome do Conjunto de Atributos:"
"Attributes","Atributos"
"Authors","Autores"
"Available Products","Produtos Disponíveis"
"BINARY","BINáRIO"
"Back","Voltar"
"Big Image","Imagem Grande"
"Billing Address","Endereço de Cobrança"
"Billing Agreement","Contrato de Compra"
"Bundle Items","Items do Pacote"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Pacotes com preços dinâmicos não podem ter opções customizadas. As opções não serão salvas."
"CSV / Tab separated","CSV / Separado por TABs"
"Cancel","Cancelar"
"Cancel URL: ","URL de Cancelamento: "
"Card Verification Number","Código de Verificação do Cartão"
"Carrier","Transportadora"
"Catalog","Catálogo"
"Chairs","Cadeiras"
"Change Orientation","Alterar Orientação"
"Channel","Canal"
"Child Transactions","Transações Filhas"
"Choose Store View","Escolha a View da Loja"
"Choose a selection...","Escolha uma opção..."
"Clear","Limpar"
"Client Session Timeout (sec.)","Timeout (em seg.) da Sessão do Cliente"
"Close","Fechar"
"Confirmed email:","Email confirmado:"
"Connect with the Magento Community","Conecte-se com a Comunidade Magento"
"Contents","Conteúdo"
"Continue","Continuar"
"Country:","País:"
"Created At","Criado Em"
"Credit Card %s","Cartão de Crédito %s"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo do Cartão de Crédito"
"Credit Card Type: %s","Tipo do Cartão de Crédit: %s"
"Credit Memo History","Histórico de Notas de Crédito"
