"--Please Select--","--Favor Selecionar--"
"API Login ID","ID de Login da API"
"Accepted Currency","Moeda Aceita"
"Authorize.net Direct Post","Post Direto Authorize.net"
"Card Verification Number","Código de Verificação do Cartão"
"Card Verification Number Visual Reference","Referência Visual para o Código de Verificação do Cartão"
"Close","Fechar"
"Credit Card Information","Informação do Cartão de Crédito"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Type","Tipo do Cartão de Credito"
"Credit Card Types","Tipos de Cartão de Credito"
"Credit Card Verification","Verificação do Cartão de Credito"
"Debug","Depuração"
"Email Customer","Enviar Email ao Cliente"
"Enabled","Ativado"
"Expiration Date","Data de Validade"
"Gateway URL","URL do Gateway"
"Maximum Order Total","Valor Máximo de Pedido"
"Merchant MD5","MD5 do Comerciante"
"Merchant's Email","Email do Comerciante"
"Minimum Order Total","Valor Mínimo de Pedido"
"New Order Status","Status usado em Novos Pedidos"
"Order saving error: %s","Erro ao salvar o pedido: %s"
"Payment Action","Ação de Pagamento"
"Payment authorization error.","Erro ao autorizar o pedido."
"Payment authorization error. Transacion id is empty.","Erro ao autorizar o pedido. O ID da transação está vazio."
"Payment error. Order was not found.","Erro de pagamento. Pedido não encontrado."
"Payment error. Paid amount doesn\'t match the order amount.","Erro de pagamento. O valor pago não é o mesmo do pedido."
"Payment from Applicable Countries","Método de Pagamento Aplicável aos Países Ativos"
"Payment from Specific Countries","Método de Pagamento Aplicável a Países Específicos"
"Please, choose payment method","Por favor, escolha o meio de pagamento"
"Response hash validation failed. Transaction declined.","A validação do hash de resposta falhou. Transação negada"
"Sort Order","Ordem de Classificação"
"Test Mode","Modo Teste"
"The order has been created.","O pedido foi criado com sucesso."
"There was an error processing your order. Please contact us or try again later.","Ocorreu um erro durante o processamento do seu pedido. Entre em contato conosco ou tente novamente mais tarde."
"Title","Título"
"Transaction Key","Chave da Transação"
"What is this?","O que é isso?"
"You will be required to enter your payment details before you place an order.","Os dados de pagamento serão solicitados antes da finalização do pedido"
