"* Required Fields","* Campos Obrigatórios"
"-- Select --","-- Selecione --"
"Add New Option","Adicionar Nova Opção"
"Add Selection","Adicionar Selecionados"
"As Low as","A Partir De"
"As low as","A partir de"
"Bundle Items","Items do Pacote"
"Bundle Product","Pacote"
"Buy %1$s with %2$s discount each","Compre %1$s itens com %2$s de desconto em cada um"
"Catalog Product View (Bundle)","View de Produtos do Catálogo (Pacotes)"
"Checkbox","Checkbox"
"Choose a selection...","Selecione um item..."
"Close","Fechar"
"Default","Padrão"
"Default Qty","Qtd Padrão"
"Default Title","Título Padrão"
"Drop-down","Drop-down"
"Dynamic","Dinâmico"
"Excl. Tax","Excl. Impostos"
"Fixed","Fixo"
"From","De"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Incl. Tax","Incl. Impostos"
"Input Type","Tipo de Entrada"
"Is Required","é Obrigatório"
"Message:","Mensagem:"
"Multiple Select","Seleção Múltipla"
"N/A","N/D"
"No options of this product are available.","Nenhuma das opções desse produto está disponível."
"None","Nenhum"
"Percent","Porcento"
"Percent Discount","Desconto por Porcentagem"
"Please Select Products to Add","Por favor selecione os Produtos que deseja Adicionar"
"Please enter search conditions to view products.","Por favor digite algum termo de busca para visualizar os produtos."
"Please select options for product.","Por favor selecione as opções do produto."
"Please specify product option(s).","Por favor especifique as opções do produto."
"Position","Posição"
"Price Range","Faixa de Preço"
"Price Type","Tipo de Preço"
"Price as configured","Preço nessa Configuração"
"Qty:","Qtd:"
"Radio Buttons","Radio Buttons"
"Required options are not selected.","Existem opções obrigatórias que não foram selecionadas."
"Selected required options are not available.","As opções obrigatórias selecionadas não estão disponíveis."
"Separately","Separadamente"
"Ship Bundle Items","Enviar Items em um Pacote"
"Shipment","Remessa"
"Store View Title","Título para na View da Loja"
"There is no defined renderer for ""%s"" option type.","Não existe nenhum renderer definido para o tipo de opção ""%s""."
"This product is also part of bundle(s)","Esse produto também faz parte dos pacote(s)"
"To","Para"
"To:","Para:"
"Together","Junto"
"Use Default Value","Usar o Valor Padrão"
"User Defined Qty","Usar Qtd Definida"
