"# of Use","# de Uso"
"%1$s incl tax.","%1$s incl impostos."
"%s - %s","%s - %s"
"%s Item(s)","%s Item(s)"
"(%d)","(%d)"
"(Copy data from: %s)","(Copiar dados de: %s)"
"(Will make search for the query above return results for this search.)","(Fará com que o retorno da solicitação acima retorne os resultados dessa busca.)"
"* Required Fields","* Campos Obrigatórios"
"-- Please Select --","-- Favor Selecionar --"
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","O padrão 86400 será usado caso nenhum valor seja definido. Para atualizar imediatamente, Limpe o Cache HTML dos Blocos."
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.","<strong style=""color:red"">Aviso!</strong> Ao aplicar o MAP como padrão, o preço de todos os produtos no frontend serão ocultados automaticamente."
"A group with the same name already exists.","Um grupo de mesmo nome já existe."
"A name is required","O nome é obrigatório"
"A product type is not defined for the indexer.","Um tipo de produto não foi definido para que o indexador funcione."
"ALL GROUPS","TODOS OS GRUPOS"
"AM","AM"
"Action","Ação"
"Actual Price","Preço Atual"
"Add Attribute","Adicionar Atributo"
"Add Design Change","Adicionar Mudança de Design"
"Add Group","Adicionar Grupo"
"Add New","Adicionar Novo"
"Add New Attribute","Adicionar Novo Atributo"
"Add New Attribute Set","Adicionar Novo Conjunto de Atributos"
"Add New Group","Adicionar Novo Grupo"
"Add New Images","Adicionar Novas Imagens"
"Add New Option","Adicionar Nova Opção"
"Add New Row","Adicionar nova Linha"
"Add New Search Term","Adicionar Novo Termo de Pesquisa"
"Add New Set","Adicionar Novo Conjunto"
"Add Product","Adicionar Produto"
"Add Product To Websites","Adicionar Produto aos Websites"
"Add Root Category","Adicionar Categoria Raiz"
"Add Subcategory","Adicionar Subcategoria"
"Add Tax","Adicionar Imposto"
"Add Tier","Adicionar Faixa"
"Add to Cart","Comprar"
"Add to Compare","Adicionar a Lista de Comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Additional Information","Informação Adicional"
"Alert Urls","URLs de Alerta"
"All","Todos"
"All Product Types","Todos os Tipos de Produto"
"All Websites","Todos os Websites"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Todos os produtos que fazem parte deste conjunto serão deletados! Tem certeza que deseja deletar esse conjunto de atributos?"
"Allow All Products per Page","Permitir a exibição de Todos os Produtos em uma Página"
"Allow Dynamic Media URLs in Products and Categories","Permitir URLs de mídia dinâmicas em Produtos e Categorias"
"Allow HTML Tags on Frontend","Permitir Tags HTML no Frontend"
"Allowed File Extensions","Extensões Permitidas"
"Allowed file extensions to upload","Extensões de Upload Permitidas"
"An error occurred while adding products to websites.","Ocorreu um erro ao adicionar os produtos aos websites."
"An error occurred while clearing comparison list.","Ocorreu um erro ao limpar a lista de comparação."
"An error occurred while removing products from websites.","Ocorreu um erro ao remover os produtos dos websites."
"An error occurred while saving the URL rewrite","Ocorreu um erro ao salvar o rewrite de URL"
"An error occurred while saving the attribute set.","Ocorreu um erro ao salvar o conjunto de atributos."
"An error occurred while saving the product. ","Ocorreu um erro ao salvar o produto. "
"An error occurred while saving the search query.","Ocorreu um erro ao salvar a query de pesquisa."
"An error occurred while saving this group.","Ocorreu um erro ao salvar esse grupo."
"An error occurred while trying to delete the category.","Ocorreu um erro ao tentar deletar essa categoria."
"An error occurred while updating the product(s) attributes.","Ocorreu um erro ao atualizar os atributos do(s) produto(s)."
"An error occurred while updating the product(s) status.","Ocorreu um erro ao atualizar os status do(s) produto(s)."
"An invalid group ID is specified, skipping the record.","Um ID de grupo inválido foi especificado, ignorando o registro."
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi especificado para o item %s (%s), ignorando o registro."
"An invalid store was specified.","Uma loja inválida foi especificada."
"Anchor Custom Text","Anchor Text Customizado"
"Anchor Custom Title","Anchor Title Customizado"
"Applicable to catalog products and categories only. Any media content will be inserted into editor as a static URL. It is not updated if the system configuration base URL changes.","Aplicável somente a produtos e categorias do catálogo. Todos os itens de mídia serão inserados no editor como uma URL estática. Eles não serão atualizados caso a configuração da URL base seja alterada."
"Apply MAP (Default Value)","Aplicar MAP (Valor Padrão)"
"Apply To","Aplicar A"
"Approved","Aprovado"
