"%d Catalog Price Rules based on ""%s"" attribute have been disabled.","As Regras de Preço de Catálogo %d baseada nos atributos ""%s"" foram desativadas."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"An error occurred while deleting the rule. Please review the log and try again.","Ocorreu um erro ao deletar a regra. Verifique o log e tente novamente."
"An error occurred while saving the rule data. Please review the log and try again.","Ocorreu um erro ao salvar a regra. Verifique o log e tente novamente."
"Apply Rules","Aplicar Regras"
"Attribute Set","Conjunto de Atributos"
"Catalog","Catálogo"
"Catalog Price Rule","Regra de Preço de Catálogo"
"Catalog Price Rules","Regras de Preço de Cátalogo"
"Category","Categoria"
"Conditions","Condições"
"Conditions (leave blank for all products)","Condições (deixe em branco para todos os produtos)"
"Conditions Combination","União de Condições"
"Customer Groups","Grupos de Cliente"
"Customer Registered: %s","Cliente Registrado: %s"
"Customer is a New Buyer: %s","Cliente é um Novo Comprador: %s"
"Date Expire","Data de Vencimento"
"Date From","A partir de"
"Date Start","Data de Início"
"Date To","Até"
"Delete Rule","Deletar Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Vence em: %s"
"From Date","A Partir De"
"General Information","Informações Gerais"
"ID","ID"
"Inactive","Inativa"
"NOT LOGGED IN","DESLOGADO"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"Options","Opções"
"Priority","Prioridade"
"Product Attribute","Atributo do Produto"
"Promotions","Promoções"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Save Rule","Salvar Regra"
"Save and Apply","Salvar e Aplicar"
"Save and Continue Edit","Salvar e Continuar Editando"
"Start at: %s","Inicia em: %s"
"Status","Status"
"Stop Further Rules Processing","Não Processar Nenhuma Regra Depois Dessa"
"The rule has been deleted.","A regra foi deletada com sucesso."
"The rule has been saved.","A regra foi salva com sucesso."
"The rules have been applied.","A regra foi aplicada com sucesso."
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.","Essas são as regras que foram alteradas porém não tiveram suas mudanças aplicadas. Por favor clique em Aplicar Regras para que os efeitos das mudanças sejam aplicados imediatamente ao catálogo."
"This rule no longer exists.","Essa regra não existe mais."
"To Date","Até"
"Unable to apply rules.","Impossível aplicar regras."
"Unable to find a rule to delete.","Impossível encontrar regra a ser deletada."
"Update product's %s %s: %s","Produtos Atualizados %s %s: %s"
"Websites","Websites"
"Wrong rule specified.","A regra especificada é inválida."
"Yes","Sim"
