"%s and greater","%s e maior"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> encontrados ao usar os seguintes critérios de pesquisa"
"Advanced Search","Pesquisa Avançada"
"Advanced Search Form","Formulário da Pesquisa Avançada"
"Advanced Search Result","Resultados da Pesquisa Avançada"
"All","Todos"
"Applies for ""Like"" search type only.","Aplica-se somente a pesquisas do tipo ""Similares""."
"Apply Layered Navigation if Search Results are Less Than","Aplicar Navegação por Camadas se o Total de Resultados da Pesquisa for Menor Que"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process.","Houveram mudanças nos atributos relacionados a pesquisa do catálogo. Execute o processo de <a href=""%s"">Indexação dos Dados de Pesquisa</a>."
"Autogenerated Site Map","Mapa do Site Gerado Automaticamente"
"Catalog Advanced Search","Pesquisa Avançada do Catálogo"
"Catalog Search","Pesquisa do Catálogo"
"Catalog Search Index","índice de Pesquisa do Catálogo"
"Don't see what you're looking for?","Não achou o que procurava?"
"Enter ""0"" to enable layered navigation for any number of results.","Digite ""0"" para ativar a navegação por camadas para qualquer total de resultados."
"Go","Pesquisar"
"Go to Home Page","Ir para a Página Inicial"
"Grid","Grid"
"Home","Home"
"List","Lista"
"Maximum Query Length","Tamanho Máximo dos Critérios de Pesquisa"
"Maximum Query Words Count","Quantidade Máxima de Palavras no Critério de Pesquisa"
"Maximum Search query  length is %s. Your query was cut.","O tamanho máximo do critério de pesquisa é %s. Seu critério foi redimensionado automaticamente."
"Minimal Query Length","Tamanho de Critério de Pesquisa Mínimo"
"Minimum Search query length is %s","O tamanho de critério de pesquisa mínimo é %s"
"Modify your search","Modifique sua pesquisa"
"No","Não"
"No items were found using the following search criteria.","Nenhum item encontrado para os seguintes termos de pesquisa."
"Please specify at least one search term.","Por favor especifique ao menos um termo de pesquisa."
"Popular Search Terms","Termos de Pesquisa Populares"
"Quick Search Form","Formulário de Pesquisa Rápida"
"Rebuild Catalog product fulltext search index","Reconstruir o índice de pesquisa 'fulltext' dos produtos do catálogo"
"Relevance","Relevância"
"Results","Resultados"
"Search","Pesquisa"
"Search Settings","Configurações de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Search Type","Tipo de Pesquisa"
"Search entire store here...","Pesquisar na Loja"
"Search results for '%s'","Resultados da pesquisa pelos termos '%s'"
"Search results for: '%s'","Resultados da pesquisa pelos termos: '%s'"
"Search:","Pesquisa:"
"Specified date is invalid.","A data especificada é inválida."
"Subscribe to Feed","Assine nosso Feed"
"There are no search terms available.","Não existe nenhum termo de busca disponível."
"Yes","Sim"
"Your search returns no results.","Sua busca não retornou nenhum resultado."
"up to %s","até %s"
