"%s was added to your shopping cart.","O item %s foi adicionado ao seu carrinho de compras."
"%s was updated in your shopping cart.","o item %s do seu carrinho de compras foi atualizado."
"* Required Fields","* Campos Obrigatórios"
"Add New Address","Adicionar Novo Endereço"
"Add New Condition","Adicionar Nova Condição"
"Add coupon code for shopping cart","Adicionar cupom ao carrinho"
"Add gift messages to shopping cart","Adicionar uma mensagem de presente ao carrinho"
"Add product to shopping cart","Adicionar produto ao carrinho"
"Add product(s) to shopping cart","Adicionar produto(s) ao carrinho"
"Add to Cart","Comprar"
"Add to Compare","Adicionar a Lista de Compração"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Additional Product Info","Informações Adicionais do Produto"
"Address","Endereço"
"Address %s of %s","Endereço %s de %s"
"After Adding a Product Redirect to Shopping Cart","Redirecionar para o Carrinho Após Adicionar um Produto ao mesmo"
"Allow Guest Checkout","Permitir o Checkout de Visitantes"
"Already registered?","Já é registrado?"
"An error occurred in the process of payment","Ocorreu um erro durante o processo de pagamento"
"An error occurred while deleting this condition.","Ocorreu um erro ao deletar essa condição."
"An error occurred while saving this condition.","Ocorreu um erro ao salvar essa condição."
"Apply Coupon","Aplicar Cupom"
"Are you sure you would like to remove this item from the shopping cart?","Tem certeza que deseja remover esse item do seu carrinho de compras?"
"Your payment failed. Please try again later", "Houve um problema com o seu pagamento. Por favor revise as informações e tente novamente."
"Your payment failed, Please try again later", "Houve um problema com o seu pagamento. Por favor revise as informações e tente novamente."
"Back","Voltar"
"Back to Billing Information","Voltar para as Informações de Cobrança"
"Back to Select Addresses","Voltar para a Seleção de Endereço"
"Back to Shipping Information","Voltar para as Informações de Envio"
"Back to Shopping Cart","Voltar para o Carrinho"
"Based on your selection, you may be interested in the following items:","De acordo com os itens escolhidos, você poderá gostar também dos seguintes itens:"
"Billing Address","Endereço de Cobrança"
"Billing Information","Informações de Cobrança"
"Billing Information - %s","Informações de Cobrança - %s"
"Cancel Coupon","Remover Cupom"
"Cannot add item to the shopping cart.","Impossível adicionar o item ao carrinho de compras."
"Cannot add the item to shopping cart","Impossível adicionar o item ao carrinho de compras"
"Cannot add the item to shopping cart.","Impossível adicionar o item ao carrinho de compras."
"Cannot apply the coupon code.","Impossível aplicar o cupom selecionado."
"Cannot configure product.","Impossível configurar o produto."
"Cannot open the overview page","Impossível abrir a página de overview"
"Cannot process the item.","Impossível processar o item."
"Cannot remove the item.","Impossível remover o item."
"Cannot update shopping cart.","Impossível atualizar o carrinho de compras."
"Cannot update the item.","Impossível atualizar o item."
"Card Verification Number Visual Reference","Referência Visual do Número de Verificação do Cartão"
"Cart Product API","API de Produtos do Carrinho"
"Cart Subtotal:","Subtotal do Carrinho:"
"Change","Alterar"
"Change Billing Address","Alterar Endereço de Cobrança"
"Checkbox Text","Texto da Checkbox"
"Checkout","Checkout"
"Checkout Conditions","Condições de Checkout"
"Checkout Method","Método de Checkout"
"Checkout Options","Opções de Checkout"
"Checkout Progress Wrapper","Wrapper de Progresso do Checkout"
"Checkout Section","Sessão de Checkout"
"Checkout Terms and Conditions","Termos e Condições do Checkout"
"Checkout as Guest","Realizar Checkout como Visistante"
"Checkout as a Guest or Register","Faça o Checkout Como Visitante ou Registre-se"
"Checkout with Multiple Addresses","Fazer Checkout usando Vários Endereços de Entrega"
"City","Cidade"
"Clear Shopping Cart","Esvaziar Carrinho"
"Click <a href=""%s"" onclick=""this.target=\'_blank\'"">here to print</a> a copy of your order confirmation.","Clique <a href=""%s"" onclick=""this.target=\'_blank\'"">aqui para imprimir</a> uma cópia da confirmação do seu pedido."
"Click <a href=""%s"">here</a> to continue shopping.","Clique <a href=""%s"">aqui</a> para voltar a página inicial."
"Close","Fechar"
"Company","Empresa"
"Condition Name","Nome da Condição"
"Configurable Product Image","Imagem do Produto Configurável"
"Configure Cart Item","Configurar Item do Carrinho"
"Confirm Password","Confirme sua Senha"
"Content","Conteúdo"
"Content Height","Altura do Conteúdo"
"Content Height (css)","Altura do Conteúdo (css)"
"Continue","Continuar"
"Continue Shopping","Continuar Navegando"
"Continue to Billing Information","Continuar até as Informações de Cobrança"
"Continue to Review Your Order","Continuar e Revisar Seu Pedido"
"Continue to Shipping Information","Continuar até as Informações de Envio"
"Country","País"
"Coupon code ""%s"" is not valid.","O código promocional ""%s""  não é válido"
"Coupon code ""%s"" was applied.","Código promocional ativado"
"Coupon code was canceled.","O cupom foi cancelado."
"Create Billing Address","Criar Novo Endereço de Cobrança"
"Create Shipping Address","Criar Novo Endereço de Envio"
"Create an order from shopping cart","Criar um novo pedido a partir do carrinho de compras"
"Create shopping cart","Criar carrinho de compras"
"Customer Information","Informações do Cliente"
"Customer's information","Informações do Cliente"
"Data saving problem",Problema ao salvar os dados"
"Default Billing","Endereço de Cobrança Padrão"
"Default Shipping","Endereço de Envio Padrão"
"Delete Condition","Deletar Condição"
"Details","Detalhes"
"Disabled","Desativado"
"Discount Codes","Códigos de Desconto"
"Display Cart Summary","Mostrar Sumário do Carrinho"
"Display Shopping Cart Sidebar","Mostrar Sidebar do Carrinho"
"Display item quantities","Mostrar quantidades dos itens"
"Display number of items in cart","Mostrar o número de itens no carrinho"
"Display number of items in wishlist","Mostrar o número de itens na lista de desejos"
"Easy access to your order history and status","Fácil acesso ao seu histórico de pedidos e ao status dos mesmos"
"Edit","Editar"
"Edit Address","Editar Endereço"
"Edit Billing Address","Editar Endereço de Cobrança"
"Edit Items","Editar Itens"
"Edit Shipping Address","Editar Endereço de Envio"
"Edit Terms and Conditions","Editar Termos e Condições"
"Edit Your Cart","Editar o Seu Carrinho"
"Edit item","Editar item"
"Edit item parameters","Editar parâmetros do item"
"Email Address","Endereço de Email"
"Enable Onepage Checkout","Ativar Onepage Checkout"
"Enable Terms and Conditions","Ativar Termos e Condições"
"Enabled","Ativado"
"Enter a New Address","Digite um Novo Endereço"
"Enter your coupon code if you have one.","Digite um cupom caso você tenha um."
"Enter your destination to get a shipping estimate.","Digite o endereço de envio para obter uma estimativa de preço e prazo de envio."
"Estimate Shipping and Tax","Calcular Envio e Impostos"
"Excl. Tax","Excl. Impostos"
"Fast and easy check out","Checkout fácil e rápido"
"Fax","Fax"
"Forgot an Item?","Esqueceu algum item?"
"Forgot your password?","Esqueceu sua senha?"
"Get a Quote","Faça uma Cotação"
"Get list of available payment methods","Veja uma lista de todos os métodos de pagamento disponíveis"
"Get list of available shipping methods","Veja uma lista de todos os métodos de envio disponíveis"
"Get list of products in shopping cart","Veja uma lista de todos os produtos no carrinho de compras"
"Get terms and conditions","Veja os termos e condições"
"Get total prices for shopping cart","Veja o valor total do seu carrinho de compras"
"Gift Message","Mensagem de Presente"
"Grand Total:","Total:"
"Grouped Product Image","Imagem de Produto Agrupado"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. Impostos"
"Invalid method: %s","Método inválido: %s"
"Item not found or already ordered","Item não encontrado ou já comprado"
"Items","Itens"
"Items After","Itens Depois"
"Items Before","Itens Antes"
"Load customer quote error","Erro ao carregar o quote do cliente"
"Loading next step...","Carregando o próximo passo..."
"Login","Login"
"Login/Registration Before","Login/Registro Antes"
"Manage Checkout Terms and Conditions","Gerenciar Termos e Condições do Checkout"
"Maximum Display Recently Added Item(s)","Número Máximo de Itens Recentes a Serem Mostrados"
"Maximum qty allowed for Shipping to multiple addresses is %s","A qtd máxima permitida para envio para endereços diferentes é %s"
"Move to Wishlist","Mover para a Lista de Desejos"
"Multishipping Checkout","Checkout com Endereços Múltiplos"
"Multishipping Checkout Address (Any) Form","Formulário de Checkout com Endereços Múltiplos"
"Multishipping Checkout Billing Address Creation","Criação de Endereço de Cobrança para Checkout com Endereços Múltiplos"
"Multishipping Checkout Billing Address Edit Form","Formulário de Edição de Endereço de Cobrança para Checkout com Endereços Múltiplos"
"Multishipping Checkout Billing Address Selection","Seleção de Endereço de Cobrança para Checkout com Endereços Múltiplos"
"Multishipping Checkout Billing Information Step","Passo de Informações de Cobrança para Checkout com Endereços Múltiplos"
"Multishipping Checkout Customer Address Edit Form","Formuário de Edição de Endereço do Cliente para Checkout com Endereços Múltiplos"
"Multishipping Checkout Overview",Overview do Checkout com Endereços Múltiplos"
"Multishipping Checkout Shipping Address Creation","Criação de Endereço de Envio para Checkout com Endereços Múltiplos"
"Multishipping Checkout Shipping Address Edit Form","Formulário de Edição de Endereço de Envio para Checkout com Endereços Múltiplos"
"Multishipping Checkout Shipping Address Selection","Seleção de Endereço de Envio para Checkout com Endereços Múltiplos"
"Multishipping Checkout Shipping Information Step","Passo de Informações de Envio para Checkout com Endereços Múltiplos"
"Multishipping Checkout Success","Checkout com Endereços Múltiplos Realizado com Sucesso"
"My Cart","Meu Carrinho"
"My Cart (%s item)","Meu Carrinho (%s item)"
"My Cart (%s items)","Meu Carrinho (%s itens)"
"My Cart Link","Link para o Meu Carrinho"
"New Address","Novo Endereço"
"New Condition","Nova Condição"
"ORDER TOTAL WILL BE DISPLAYED BEFORE YOU SUBMIT THE ORDER","O TOTAL DO PEDIDO SERA MOSTRADO ANTES DA FINALIZAçãO DO MESMO"
"One Page Checkout","Checkout de Uma Página"
"One Page Checkout Failure","Falha no Checkout de Uma Página"
"One Page Checkout Overview","Overview do Checkout de Uma Página"
"One Page Checkout Success","Checkout Realizado com Sucesso"
"One item of products do not have identifier or sku","Um dos itens do produto não possui um identificador ou um código SKU"
"One item of products is not belong any of quote item","Um dos itens do produto não pertence a nenhum quote"
"Order #","Pedido #"
"Order Review","Revise seu Pedido"
"Order Success","Pedido Realizado com Sucesso"
"Order place error.","Erro ao realizar o pedido."
"Other Items in Your Order","Outros Itens no Seu Pedido"
"Overview Items After","Overview Dos Itens"
"Password","Senha"
"Payment Failed Email Reciever","Destinatário do Email de Falha de Pagamento"
"Payment Failed Email Sender","Remetente do Email de Falha de Pagamento"
"Payment Failed Emails","Emails de Falha de Pagamento"
"Payment Failed Template","Template do Email de Falha de Pagamento"
"Payment Information","Informações de Pagamento"
"Payment Method","Método de Pagamento"
"Payment Methods After Checkout Button","Métodos de Pagamento Depois do Botão de Checkout"
"Payment Methods Before Checkout Button","Métodos de Pagamento Antes do Botão de Checkout"
"Payment method information","Informações dos Métodos de Pagamento"
"Payment method is not defined","Método de Pagamento não definido"
"Payment methods in shopping cart","Métodos de pagamento no carrinho"
"Payment profile # %s: ""%s"".","Perfil de pagamento # %s: ""%s""."
"Place Order","Finalizar Pedido"
"Please agree to all Terms and Conditions before placing the order.","Você deve concordar com todos os Termos e Condições antes de finalizar o seu pedido."
"Please agree to all Terms and Conditions before placing the orders.","Você deve concordar com todos os Termos e Condições antes de realizar os pedidos."
"Please agree to all the terms and conditions before placing the order.","Você deve concordar com todos os Termos e Condições antes de finalizar o seu pedido."
"Please log in below:","Realize o log in abaixo:"
"Please select region, state or province","Por favor selecione sua região ou estado"
"Please select shipping address for applicable items","Por favor selecione o endereço de envio para os itens aplicáveis"
"Please select shipping methods for all addresses","Por favor selecione os métodos de envio para todos os endereços"
"Please select valid payment method.","Por favor selecione uma forma de pagamento válido."
"Please specify payment method.","Por favor especifique a forma de pagamento."
"Please specify shipping method.","Por favor especifique o método de envio."
"Please specify shipping methods for all addresses.","Por favor especifique métodos de envio para todos os endereços."
"Price","Preço"
"Proceed to Checkout","Finalizar Compra"
"Product","Produto"
"Product Name","Nome do Produto"
"Products","Produtos"
"Qty","Qtd"
"Qty:","Qtd:"
"Quantity was recalculated from %d to %d","A quantidade foi alterada de %d para %d"
"Quote Lifetime (days)","Validade do Quote (dias)"
"Quote item does not exist.","Quote não existe."
"Quote item is not found.","Item do quote não encontrado."
"Recently added item(s)","Item(s) adicionados recentemente"
"Register","Registrar"
"Register and save time!","Registre-se e poupe tempo na próxima compra!"
"Register to Create an Account","Registre-se para Criar uma Conta"
"Register with us for future convenience:","Registre-se em nossa loja para sua conveniência:"
"Remove Item","Remover Item"
"Remove This Item","Remover Esse Item"
"Remove coupon code from shopping cart","Remover cupom do carrinho"
"Remove item","Remover item"
"Remove product from shopping cart","Remover produto do carrinho"
"Remove product(s) from shopping cart","Remover produto(s) do carrinho"
"Retrieve information about shopping cart","Trazer informações sobre o carrinho de compras"
"Review Order","Confira seu Pedido"
"Review Order - %s","Confira o Pedido - %s"
"Sales","Vendas"
"Save Condition","Salvar Condição"
"Save in address book","Salvar no catálogo de endereços"
"See price before order confirmation.","Veja o preço antes de confirmar o pedido."
"Select Address","Selecione o Endereço"
"Select Addresses","Selecione os Endereços"
"Select Shipping Method","Selecione o Método de Envio"
"Select State/Province...","Selecione o Estado..."
"Select a billing address from your address book or enter a new address.","Selecione um endereço de cobrança do seu catálogo de endereços ou digite um novo."
"Select a shipping address from your address book or enter a new address.","Selecione um endereço de envio do seu catálogo de endereços ou digite um novo."
"Send Payment Failed Email Copy Method","Método de Cópia do Email de Falha de Pagamento"
"Send Payment Failed Email Copy To","Enviar Copia do Email de Falha de Pagamento Para"
"Send To","Enviar Para"
"Separate by "","".","Separado por "",""."
"Set customer for shopping cart","Configurar o cliente para o carrinho de compras"
"Set customer's addresses in shopping cart","Configurar o endereço do cliente no carrinho de compras"
"Set payment method","Configurar o Método de Pagamento"
"Set shipping method","Configurar o Método de Envio"
"Ship to Multiple Addresses","Enviar para Múltiplos Endereços"
"Ship to different address","Enviar o pedido para um endereço diferente"
"Ship to this address","Enviar o pedido para esse endereço"
"Shipping Address","Endereço de Envio"
"Shipping Information","Informações de Envio"
"Shipping Method","Método de Envio"
"Shipping Methods","Métodos de Envio"
"Shipping To","Enviar Para"
"Shipping information","Informações de envio"
