"Collected Files Count","Contagem de Arquivos Coletados"
"Compilation","Compilação"
"Compilation State","Estado da Compilação"
"Compilation error","Erro de compilação"
"Compiled","Compilado"
"Compiled Scopes Count","Contagem de Escopos de Compilação"
"Compiler Status","Status do Compilador"
"Compiler include path is disabled.","O caminho de include do compilador está desativado."
"Compiler include path is enabled.","O caminho de include do compilador está ativado."
"Directory ""%s"" must be writeable","O diretório ""%s"" deve ter permissões de escrita"
"Disable","Desativar"
"Disabled","Desativado"
"Enable","Ativar"
"Enabled","Ativado"
"File ""%s"" must be writeable","O arquivo ""%s"" deve ter permissões de escrita"
"Not Compiled","Não Compilado"
"Run Compilation Process","Executar Processo de Compilação"
"Scopes Compilation Settings","Configurações de Escopo da Compilação"
"System","Sistema"
"The compilation has completed.","A compilação completou com sucesso."
"Tools","Ferramentas"
