"1.5.0.0 & later","1.5.0.0 & mais novos"
"Action","Ação"
"Add Author","Adicionar Autor"
"Add Contents Path","Adicionar Caminho de Conteúdos"
"Add PHP Extension dependency","Adicionar dependência a uma extensão PHP"
"Add Package dependency","Adicionar dependência de pacote"
"Add files","Adicionar arquivos"
"Authors","Autoroes"
"Channel","Canal"
"Contents","Conteúdo"
"Create Extension Package","Criar Pacote de Extensão"
"Dependencies","Dependencias"
"Description","Descrição"
"Edit Extension","Editar Extensão"
"Email","Email"
"Extension","Extensão"
"Extensions","Extensões"
"Failed to create the package.","Falha ao criar o pacote."
"Failed to load the package data.","Falha ao carregar os dados do pacote."
"Failed to save the package.","Falha ao salvar o pacote."
"Files","Arquivos"
"Folder","Pasta"
"Ignore","Ignorar"
"Include","Incluir"
"License","Licença"
"License URI","URI da Licença"
"Load Local Package","Carregar Pacote Local"
"Load local Package","Carregar pacote local"
"Magento Connect","Magento Connect"
"Magento Connect Manager","Gerenciador do Magento Connect"
"Max","Max"
"Maximum","Máximo"
"Min","Min"
"Minimum","Mínimo"
"Name","Nome"
"New Extension","Nova Extensão"
"PHP Version","Versão do PHP"
"Package","Pacote"
"Package Extensions","Extensões de Pacote"
"Package File Name","Nome do Arquivo do Pacote"
"Package Info","Info do Pacote"
"Packages","Pacotes"
"Path","Caminho"
"Pre-1.5.0.0","Pre-1.5.0.0"
"Release Info","Info de Release"
"Remove","Remover"
"Save As...","Salvar Como..."
"Save Data and Create Package","Salvar Dados e Criar Pacote"
"Save package with custom package file name","Salvar pacote com um nome customizado"
"Summary","Sumário"
"Supported releases","Releases Suportados"
"System","Sistema"
"Target","Alvo"
"The package %s data has been loaded.","Os dados do pacote %s foram carregados com sucesso."
"The package data has been saved.","Os dados do pacote foram salvos com sucesso."
"There was a problem saving package data","Ocorreu um erro ao salvar os dados do pacote"
"Type","Tipo"
"User","Usuário"
