"* Required Fields","* Campos Obrigatórios"
"Comment","Comentário"
"Contact Form","Formulário de Contato"
"Contact Information","Informações de Contato"
"Contact Us","Fale Conosco"
"Contact Us Form","Formulário de Fale Contato"
"Contacts","Contatos"
"Contacts Section","Sessão de Contatos"
"Email","Email"
"Email Options","Opções de Email"
"Email Sender","Remetente do Email"
"Email Template","Template de Email"
"Enable Contact Us","Ativar Fale Conosco"
"Name","Nome"
"Send Emails To","Enviar Emails Para"
"Submit","Enviar"
"Telephone","Telefone"
"Unable to submit your request. Please, try again later","Erro ao enviar a sua solicitação. Por favor, tente novamente mais tarde"
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.","Sua solicitação foi enviada e será respondida o mais cedo possível. Obrigado por entrar em contato conosco."
