"%s","%s"
"%s already exist.","%s já existe."
"%s already exists.","%s já existem."
"-- Please Select --","-- Favor Selecionar --"
"<strong style=""color:red"">Warning!</strong> When using CDN, in some cases JavaScript may not run properly if CDN is not in your subdomain","<strong style=""color:red"">Aviso!</strong> Ao usar um CDN, arquivos JavaScript podem não funcionar corretamente caso o CDN não esteja em um subdomínio"
"A category object is required for determining the product request path.","Um objeto de categoria é requerido para poder determinar o caminho de solicitação do produto."
"Add Block Names to Hints","Incluír o Nome dos Blocos nas Dicas"
"Add Secret Key to URLs","Incluír a Chave Secreta nas URLs"
"Add Store Code to Urls","Incluír o Código da Loja nas URLs"
"Admin","Admin"
"Admin Base URL","URL Base do Admin"
"Admin User Emails","Emails de Usuário Admin"
"Advanced","Avançado"
"After selecting a new media storage location, press the Synchronize button
                                to transfer all media to that location. Media will not be available in the new
                                location until the synchronization process is complete.","Após selecionar uma nova localização para o armazenamento de mídia, pressione o botão Sincronizar
                                para transferir toda a mídia para a nova localização. Os arquivos de mídia não estarão disponíveis na nova
                                localização até que o processo de sincronização termine."
"Allow Countries","Permitir Países"
"Allow Symlinks","Permitir Symlinks"
"Allowed IPs (comma separated)","IPs Permitidos (separados por vírgula)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Tipos de arquivo permitidos: ICO, PNG, GIF, JPEG, APNG, SVG. Nem todos os browsers suportam todos esses formatos!"
"Allows customers to stay logged in when switching between different stores.","Permitir que os clientes continuem logados ao alternar entre lojas diferentes."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link de 'próximo' no menu de paginação. Se deixado vazio, a imagem padrão de uma seta será usada."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Texto alternativo para o link de 'anterior' no menu de paginação. Se deixado vazio, a imagem padrão de uma seta será usada."
"An error occurred while saving. Please review the error log.","Ocorreu um erro ao salvar, verifique o log de erros para maiores informações."
"Anchor Text for Next","Texto de Anchor para 'Próximo'"
"Anchor Text for Previous","Texto de Anchor para 'Anterior'"
"Anchor symbol (#) is not supported in request path","O símbolo de Anchor (#) não é suportado no caminho de solicitação"
"Anchor symbol (#) is not supported in url rewrite suffix","O símbolo de Anchor (#) não é suportado no sufixo de rewrite de url"
"Are you sure?","Tem certeza?"
"Auto-redirect to Base URL","Redirecionar automaticamente para URL base"
"Back","Voltar"
"Backup Options","Opções de Backup"
"Base JavaScript URL","URL base do JavaScript"
"Base Link URL","URL base dos Links"
"Base Media URL","URL base dos arquivos de mídia"
"Base Skin URL","URL base do Skin"
"Base URL","URL base"
"Before modifying the store view code please make sure that it is not used in index.php.","Antes de alterar o código da view da loja certifique-se que ele não está sendo usado dentro do arquivo index.php."
"Before modifying the website code please make sure that it is not used in index.php.","Antes de alterar o código do website certifique-se que ele não está sendo usado dentro do arquivo index.php."
"Block with name ""%s"" already exists","Um bloco com o nome ""%s"" já existe"
"Browser Capabilities Detection","Detecção de Capacidades do Browser"
"CSS Settings","Configurações de CSS"
"Cache Storage Management","Gerenciamento do Armazenamento de Cache"
"Cache storage may contain additional data. Are you sure that you want flush it?","O armazenamento de cache pode conter dados adicionais. Tem certeza que deseja esvazia-lo?"
"Can not create invoice. Order was not found.","Impossível criar a fatura. Pedido não encontrado."
"Can't retrieve request object","Impossível carregar o objeto solicitado"
"Can\'t retrieve entity config: %s","Impossível carregar a entidade de configuração: %s"
"Cancel","Cancelar"
"Cannot complete this operation from non-admin area.","Impossível completar essa operação fora da área administrativa."
"Card type does not match credit card number.","O tipo do cartão não corresponde ao número do cartão."
"Code","Código"
"Controller file was loaded but class does not exist","O arquivo de Controller foi carregador mas a classe não existe"
"Cookie Domain","Domínio do Cookie"
"Cookie Lifetime","Tempo de Validade do Cookie"
"Cookie Path","Caminho do Cookie"
"Copyright","Copyright"
"Countries Options","Opções de Países"
"Create Store","Criar Loja"
"Create Store View","Criar View da Loja"
"Create Website","Criar Website"
"Credit card number does not match credit card type.","O número do cartão não corresponde ao tipo do cartão."
"Current Package Name","Nome do Pacote Atual"
"Custom Admin Path","Caminho Customizado do Admin"
"Custom Design","Design Customizado"
"Custom Email 1","Email Customizado 1"
"Custom Email 2","Email Customizado 2"
"Custom Variables","Variáveis Customizadas"
"Customer Support","Suporte ao Cliente"
"Dashboard","Dashboard"
"Date From","De"
"Date To","Até"
