"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Tarefas Agendadas) - todos os tempos mostrados são em minutos"
"Daily","Diariamente"
"Failure History Lifetime","Validade do Histórico de Falhas"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para gerar URLs corretas durante as execuções do cron, certifique-se que as configurações de URL Base Segura e Insegura foram explicitamente setadas."
"Generate Schedules Every","Gerar Agendas a Cada"
"History Cleanup Every","Limpar o Histórico a Cada"
"Invalid callback: %s::%s does not exist","Callback inválido: %s::%s não existe"
"Invalid model/method definition, expecting ""model/class::method"".","Definição de model/método inválida, uma definição do tipo ""model/class::método"" é esperada."
"Missed if Not Run Within","Marcar como 'missed' se não executada no período de"
"Monthly","Mensalmente"
"No callbacks found","Nenhum 'callback' encontrado"
"Schedule Ahead for","Agendar Para o Futuro Para"
"Success History Lifetime","Validade do Histórico de Sucessos"
"Too late for the schedule.","Agendamento muito tardio."
"Unable to save the cron expression.","Impossível salvar a expressão cron."
"Unknown error.","Erro desconhecido."
"Weekly","Semanal"
