"'%value%' appears to be a DNS hostname but cannot extract TLD part","O valor '%value%' aparenta ser um hostname de DNS mas foi impossível extrair a parte TLD do mesmo"
"'%value%' appears to be a DNS hostname but cannot match TLD against known list","O valor '%value%' aparenta ser um hostname de DNS mas foi impossível corresponder o seu TLD a um já conhecido"
"'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%'","O valor '%value%' aparenta ser um hostname DNS mas foi impossível corresponde-lo ao schema do TLD '%tld%'"
"'%value%' appears to be a DNS hostname but contains a dash in an invalid position","O valor '%value%' aparenta ser um hostname DNS mas possui um traço em seu nome localizado em uma posição inválida"
"'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded","O valor '%value%' aparenta ser um hostname DNS mas a notação 'punycode' especificada não pode ser decodificada"
"'%value%' appears to be a local network name but local network names are not allowed","O valor '%value%' aparenta ser o nome de uma rede local, porém redes locais não são permitidas"
"'%value%' appears to be an IP address, but IP addresses are not allowed","O valor '%value%' aparenta ser um endereço IP, porém endereços IP não são permitidos"
"'%value%' does not appear to be a valid local network name","O valor '%value%' não aparenta ser um nome de rede local válido"
"* Required Fields","* Campos Obrigatórios"
"A new password has been sent.","Nova senha enviada com sucesso."
"ALL GROUPS","TODOS OS GRUPOS"
"Account Dashboard","Dashboard da Conta"
"Account Information","Informações da Conta"
"Account Sharing Options","Opções de Compartilhamento de Conta"
"Account confirmation is required. Please, check your e-mail for confirmation link. To resend confirmation email please <a href=""%s"">click here</a>.","A confirmação da conta é obrigatória. Por favor verifique seu e-mail e clique no link de confirmação. Para reenviar o email de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Account confirmation is required. Please, check your email for the confirmation link. To resend the confirmation email please <a href=""%s"">click here</a>.","A confirmação da conta é obrigatória. Por favor verifique seu email e clique no link de confirmação. Para reenviar o email de confirmação, por favor <a href=""%s"">clique aqui</a>."
"Action","Ação"
"Add New Address","Adicionar Novo Endereço"
"Add New Customer","Adicionar Novo Cliente"
"Add New Customer Group","Adicionar Novo Grupo de Cliente"
"Added From","Formulário Adicionado"
"Additional Address Entries","Entradas de Endereço Adicionais"
"Address","Endereços"
"Address Book","Catálogo de Endereços"
"Address Books","Livros de Endereços"
"Address Information","Informações de Endereço"
"Address Templates","Templates de Endereço"
"Addresses","Endereços"
"Admin","Admin"
"All","Todos"
"All Store Views","Todas as Views da Loja"
"All countries","Todos os países"
"Always optional.","Sempre opcional."
"Amount","Quantidade"
"An error occurred while deleting the address.","Ocorreu um erro ao deletar o endereço."
"An error occurred while retrieving the option value: %s.","Ocorreu um erro ao recuperar o valor da opção: %s."
"An error occurred while saving the collection, aborting. Error: %s","Ocorreu um erro o salvar a coleção, abortando. Erro: %s"
"An invalid option ID is specified for %s (%s), skipping the record.","Um ID de opção inválido foi especificado para o item %s (%s), ignorando o registro."
"Approved","Aprovado"
"Are you sure that you want to remove this item?","Você tem certeza que deseja remover esse item?"
"Are you sure you want to cancel adding of this address?","Você tem certeza que deseja cancelar a adição desse endereço?"
"Are you sure you want to delete this address?","Você tem certeza que quer deletar esse endereço?"
"Are you sure?","Você tem certeza?"
"Array of Entity collections is expected.","Um Array de coleções de entidades é esperado."
"Assign a Customer Group","Associar um Grupo de Cliente"
"Average Sale","Média de Vendas"
"Back","Voltar"
"Back - link to the previously viewed page","Voltar - link para a página vista anteriormente"
"Back to Login","Voltar para o Login"
"Bad request.","Requisição inválida."
"Bill to Name","Cobrança para o Nome"
"Bought From","Comprado na Loja"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Ao criar uma conta na nossa loja, você poderá fazer compras mais rápido, ter vários endereços de entrega diferentes, visualizar e gerenciar os seus pedidos antigos e muito mais."
"CSV","CSV"
"Cancel","Cancelar"
"Cannot save address.","Impossível salvar o endereço."
"Cannot save the customer.","Impossível salvar os dados do cliente."
"Cannot share customer accounts globally because some customer accounts with the same emails exist on multiple websites and cannot be merged.","Impossível compartilhar globalmente as contas de cliente porque já existem clientes com os mesmos emails em lojas diferentes e esses cadastros não podem ser combinados."
"Change Account Password","Alterar a Senha da Conta"
"Change Billing Address","Alterar o Endereço de Cobrança"
"Change Password","Alterar a Senha"
"Change Shipping Address","Alterar o Endereço de Envio"
"City","Cidade"
"Company","Compania"
"Config","Config"
"Configure","Configurar"
"Confirm New Password","Confirme a Nova Senha"
"Confirm Password","Confirme a Senha"
"Confirmation Link Email","Email de Link de Confirmação"
"Confirmed","Confirmado"
"Contact Information","Informações de Contato"
"Continue Shopping","Continuar Navegando"
"Country","País"
"Create","Criar"
"Create New Account Options","Opções de Criação de Nova Conta"
"Create New Customer Account","Criar Nova Conta de Cliente"
"Create Order","Criar Pedido"
"Create an Account","Criar uma Conta"
"Create customer","Criar um cliente"
"Create customer address","Criar um endereço de cliente"
"Current Password","Senha Atual"
"Customer","Cliente"
"Customer API","API de Cliente"
"Customer Account Edit Form","Formulário de Edição de Conta de Cliente"
"Customer Account Login Form","Formulário de Login de Conta de Cliente"
"Customer Account Logout Success","Logout da Conta de Cliente Realizado com Sucesso"
"Customer Account Registration Form","Formulário de Registro de Conta de Cliente"
"Customer Addresses","Endereços do Cliente"
"Customer Configuration","Configurações do Cliente"
"Customer Forgot Password Form","Formulário de 'Esqueci Minha Senha' do Cliente"
"Customer Group","Grupo do Cliente"
"Customer Groups","Grupos do Cliente"
"Customer Information","Informações do Cliente"
"Customer Login","Login do Cliente"
"Customer My Account (All Pages)","Minha Conta de Cliente (Todas as Páginas)"
"Customer My Account Address Book","Catálogo de Endereços da Minha Conta de Cliente"
"Customer My Account Address Edit Form","Formulário de Edição de Endereço da Minha Conta de Cliente"
"Customer My Account Dashboard","Dashboard da Minha Conta de Cliente"
"Customer Since","Cliente Desde"
"Customer View","View do Cliente"
"Customer collection expected.","Uma coleção de clientes é esperada."
"Customer email is required","O email do cliente é obrigatório"
"Customer website ID must be specified when using the website scope","O ID do website do cliente deve ser especificado quando um escopo de website está sendo usado"
"Customer will stay on the current page if ""No"" is selected.","O cliente ficará na página atual caso ""Não"" seja selecionado."
"Customers","Clientes"
"Customers Only","Apenas para Clientes"
"Customers Section","Sessão de Clientes"
"DD","DD"
"Date","Data"
"Date Added","Data de Adição"
"Date of Birth","Data de Aniversário"
"Day","Dia"
"Days in Wishlist","Dias na Lista de Desejos"
"Default Addresses","Endereços Padrão"
"Default Billing Address","Endereço Padrão de Cobrança"
"Default Email Domain","Domínio Pãdrão de Email"
"Default Group","Grupo Padrão"
"Default Shipping Address","Endereço Padrão de Envio"
"Default Welcome Email","Email Padrão de Boas Vindas"
"Delete","Deletar"
"Delete Address","Deletar Endereço"
"Delete Customer","Deletar Cliente"
"Delete Customer Group","Deletar Grupo de Cliente"
"Delete customer","Deletar cliente"
"Delete customer address","Deletar endereço de cliente"
"Deleted Stores","Lojas Deletadas"
"Details","Detalhes"
"Disabled","Desativado"
"Edit","Editar"
"Edit Account Info","Editar Info da Conta"
"Edit Account Information","Editar Informações da Conta"
"Edit Address","Editar Endereço"
"Edit Address Entry","Editar Entrada de Endereço"
"Edit Customer Group ""%s""","Editar o Grupo de Cliente ""%s"""
"Edit Customer Groups","Editar Grupos de Cliente"
"Edit Customer's Address","Editar Endereço do Cliente"
"Edit Group","Editar Grupo"
"Edit Newsletters","Editar Newsletters"
"Email","Email"
"Email Address","Endereço de Email"
"Email Sender","Remetente de Email"
"Email:","Email:"
"Entity collection is expected.","Uma coleção de entidades é esperada."
"Excel XML","Excel XML"
"Failed to confirm customer account.","Falha ao confirmar a conta de cliente."
"Fax","Fax"
"First Name","Nome"
"Forgot Email Sender","Esqueceu o Remetente do Email"
"Forgot Email Template","Esqueceu o Template do Email"
"Forgot Your Password","Esqueceu a Sua Senha"
"Forgot Your Password?","Esqueceu a Sua Senha?"
"Form Fields Before","Campos de Formulário Antes De"
"From your My Account Dashboard you have the ability to view a snapshot of your recent account activity and update your account information. Select a link below to view or edit information.","A partir do dashboard da sua conta você poderá ver um resumo de suas atividades recentes e atualizar os dados da sua conta. Selecione um link abaixo para visualizar ou editar as informações."
"Gender","Gênero"
"General Subscription","Assinatura Geral"
"Generate Human-Friendly Customer ID","Gerar ID Amigável de Cliente"
"Global","Global"
"Grand Total","Total"
"Group","Grupo"
"Group Information","Informações de Grupo"
"Group Name","Nome do Grupo"
"Guest","Visitante"
"HTML","HTML"
"Hello, %s!","Olá, %s!"
"ID","ID"
"IP Address","Endereço IP"
"If you have an account with us, please log in.","Se você já possui uma conta na nossa loja, por favor faça seu log in."
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Opção de atributo inválida para o atributo %s (%s), ignorando o registro."
"Invalid attribute set specified, skipping the record.","Grupo de atributo especificado inválido, ignorando o registro."
"Invalid current password","Senha atual inválida"
"Invalid customer data","Dados de cliente inválidos"
"Invalid email address.","Endereço de email inválido."
"Invalid login or password.","Senha ou login inválidos."
"Invalid store specified, skipping the record.","Loja inválida especificada. Ignorando o registro."
"Last Activity","Última Atividade"
"Last Date Subscribed","Data da Última Assinatura"
"Last Date Unsubscribed","Data do Último Cancelamento de Assinatura"
"Last Name","Sobrenome"
"Last URL","Última URL"
"Leave empty for default (15 minutes).","Deixe em branco para utilizar o valor padrão (15 minutos)."
"Leave empty for default (2). Valid range: 1-4","Deixe em branco para utilizar o valor padrão (2). Faixa válida: 1-4"
"Lifetime Sales","Vendas Totais"
"Log In","Log In"
"Log Out","Log Out"
"Login","Login"
"Login Information","Informações de Login"
"Login Options","Opções de Login"
"Login and password are required.","Os campos login e senha são obrigatórios."
"Login or Create an Account","Faça seu Login ou Crie uma Conta"
"MM","MM"
"Manage Addresses","Gerenciar Endereços"
"Manage Customers","Gerenciar Clientes"
"Missing email, skipping the record.","Email vazio, ignorando o registro."
"Missing firstname, skipping the record.","Nome vazio, ignorando o registro."
"Missing lastname, skipping the record.","Sobrenome vazio, ignorando o registro."
"Month","Mês"
"My Account","Minha Conta"
"My Account Wrapper","Wrapper da Minha Conta"
"My Dashboard","Meu Painel"
"My Orders","Meus Pedidos"
"Name","Nome"
"Name and Address Options","Opções de Nome e Endereço"
"Never","Nunca"
"New Address","Novo Endereço"
"New Address Entry","Nova Entrada de Endereço"
"New Customer","Novo Cliente"
"New Customer Address","Endereço de Novo Cliente"
"New Customer Group","Novo Grupo de Cliente"
"New Customer Groups","Novos Grupos de Cliente"
"New Customers","Novos Clientes"
"New Group","Novo Grupo"
"New Password","Nova Senha"
"New account","Nova conta"
