"Add New Row","Adicionar Nova Linha"
"Alphanumeric, dash and underscore characters are recommended for filenames. Improper characters are replaced with \'_\'.","Os caracteres recomendados para nomes de arquivo são os alfanuméricos, traços e underscore. Todos os caracteres inválidos serão substituídos por \'_\'."
"An error occurred while getting requested content. Please contact the store owner.","Ocorreu um erro ao exibir o conteúdo solicitado. Por favor, entre em contato com o dono da loja."
"An error occurred while getting the requested content.","Ocorreu um erro ao exibir o conteúdo solicitado."
"An error occurred while getting the requested content. Please contact the store owner.","Ocorreu um erro ao exibir o conteúdo solicitado. Por favor, entre em contato com o dono da loja."
"An error occurred while saving the file(s).","Ocorreu um erro ao salvar os(s) arquivo(s)."
"Availability:","Disponibilidade:"
"Back","Voltar"
"Canceled","Cancelado"
"Cannot connect to remote host, error: %s.","Impossível conectar ao host remoto, erro: %s."
"Catalog Product View (Downloadable)","View de Produto do Catálogo (Downloads)"
"Customer My Account Downloadable Items","Items Para Download da Minha Conta de Cliente"
"Date","Data"
"Default Link Title","Título Padrão de Link"
"Default Maximum Number of Downloads","Número Máximo Padrão de Downloads"
"Default Sample Title","Título de Amostra Padrão"
"Delete","Deletar"
"Disable Guest Checkout if Cart Contains Downloadable Items","Desativar Checkout de Visitante Caso o Carrinho Tenha Itens de Download"
"Downloadable Information","Informações para Download"
"Downloadable Product","Produtos Para Download"
"Downloadable Product Options","Opções de Produtos Para Download"
"Downloadable product Section","Sessão de Produtos para Download"
"Edit","Editar"
"Edit item parameters","Editar parâmetros do item"
"Excl. Tax","Excl. Impostos"
"File","Arquivo"
"From:","De:"
"Gift Message","Mensagem de Presente"
"Go to <a href=""%s"">My Downloadable Products</a>","Ir para <a href=""%s"">Meus Produtos de Download</a>"
"Guest checkout will only work with shareable.","Checkout de visitante funcionará apenas com compartilhamento."
"In stock","Em Estoque"
"Incl. Tax","Incl. Impostos"
"Invalid download URL host.","URL do host de download inválida."
"Invalid download URL scheme.","URL de esquema de download inválida."
"Invalid download link type.","Tipo de link de download inválido."
"Invoiced","Faturado"
"Links can be purchased separately","Links podem ser comprados separadamente"
"Max. Downloads","Max. de Downloads"
"Message:","Mensagem:"
"Move to Wishlist","Mover para a Lista de Desejos"
"My Downloadable Products","Meus Produtos de Download"
"Open Links in New Window","Abrir Links em uma Nova Janela"
"Order #","Pedido #"
"Order Item Status to Enable Downloads","Status dos Itens do Pedido Para que o Download Seja Liberado"
"Order id cannot be null","Id do pedido não pode ser nulo"
"Order item id cannot be null","Id do item do pedido não pode ser nulo"
"Ordered","Comprado"
"Out of stock","Esgotado"
"Pending","Pendente"
"Please log in to download your product.","Por favor faça o login para fazer o download do seu produto."
"Please set resource file and link type.","Por favor defina o arquivo de resource e o tipo de link."
"Please specify product link(s).","Por favor especifique o(s) link(s) do produto."
"Price","Preço"
"Qty","Qtd"
"Refunded","Reembolsados"
"Remaining Downloads","Downloads Restantes"
"Remove Item","Remover Item"
"Requested link does not exist.","O link solicitado não existe."
"Sample","Amostra"
"See price before order confirmation.","Veja o preço antes de confirmar o pedido."
"Shareable","Compartilhável"
"Shipped","Enviado"
"Sort Order","Ordem de Classificação"
"Start Download","Iniciar o Download"
"Status","Status"
"The file does not exist.","O arquivo não existe."
"The link has expired.","Esse link já expirou."
"The link is not available.","Esse link não está disponível."
"Title","Título"
"To:","Para:"
"U","U"
"Unlimited","Ilimitado"
"Use Content-Disposition","Usar Disposição de Contéudo"
"Use Default Value","Usar Valor Padrão"
"View Order","Visualizar Pedido"
"What's this?","O que é isso?"
"You have not purchased any downloadable products yet.","Você ainda não comprou nenhum produto de download."
"attachment","anexo"
"download","download"
"inline","inline"
"sample","amostra"
