"Active","Ativo"
"Add Attribute Mapping","Adicionar Mapeamento de Atributo"
"Add New Attribute","Adicionar Novo Atributo"
"Add to Google Base","Adicionar ao Google Base"
"Are you sure?","Tem certeza?"
"Attribute","Atributo"
"Attribute Set","Conjunto de Atributos"
"Attribute Set and Item Type","Conjunto de Atributo e Tipo de Item"
"Attributes","Atributos"
"Attributes Mapping","Mapeamento de Atributos"
"Attributes Set","Conjunto de Atributos"
"AuthSub","AuthSub"
"Available Products","Produtos Disponíveis"
"Base Currency should be set to %s for %s in system configuration. Otherwise item prices won't be correct in Google Base.","A moeda base deve ser setada para %s para o item %s da configuração de sistema, caso contrário, os preços do Google Base serão exibidos incorretamente."
"Captcha confirmation error: %s","Erro de confirmação de Captcha: %s"
"Captcha has been confirmed.","O Captcha foi confirmado com sucesso."
"Catalog","Catálogo"
"Clicks","Cliques"
"ClientLogin","ClientLogin"
"Confirm","Confirmar"
"Current Mapping will be reloaded. Continue?","O mapeamento atual sera recarregado. Continuar?"
"Custom attribute, no mapping","Atributo customizado, sem mapeamento"
"Delete","Deletar"
"Delete Mapping","Deletar Mapeamento"
"Edit Item Type","Editar Tipo de Item"
"Edit Item Type ""%s""","Editar Tipo de Item ""%s"""
"Error: %s","Erro: %s"
"Expires","Válido Até"
"Google","Google"
"Google Base","Google Base"
"Google Base Attribute","Atributo do Google Base"
"Google Base ID","ID do Google Base"
"Google Base Item Type","Tipo de Item do Google Base"
"Google Base Item type","Tipo de item do Google Base"
"Google Base Items","Itens do Google Base"
"Google base","Google base"
"Hide","Esconder"
"Hosted","Hospedado"
"Hosted or Google","Hospedado ou Google"
"Impr.","Impr."
"Invalid Product Model for Google Base Item","Invalid Product Model for Google Base Item"
"Item Type was deleted","O Tipo de Item foi deletado"
"Item Types","Tipos de Item"
"Item model is not specified to delete Google Base entry.","O Model do Item não foi especificado para que sua entrada no Google Base seja deletada."
"Items","Itens"
"Manage Attribute Mapping","Gerenciar Mapeamento de Atributo"
"Manage Attributes","Gerenciar Atributos"
"Manage Items","Gerenciar Itens"
"New Item Type","Novo Tipo de Item"
"New ItemType","Novo Tipo de Item"
"No","Não"
"No items were deleted from Google Base","Nenhum item foi deletado do Google Base"
"No items were published","Nenhum item foi publicado"
"No items were saved as inactive items","Nenhum item foi salvo como item inativo"
"No products were added to Google Base","Nenhum produto foi adicionado ao Google Base"
"Object model is not specified to save Google Base entry.","O Model do Objeto não foi especificado para que ele possa ser salvo como uma entrada do Google Base."
"Please, select Attribute Set and Google Item Type to load attributes","Por favor, selecione o Conjunto de Atributo e o Tipo de Item Google para carregar os atributos"
"Product Name","Nome do Produto"
"Publish","Publicar"
"Published","Publicado"
"Remove","Remover"
"Save Mapping","Salvar Mapeamento"
"Session expired during export. Please revise exported products and repeat the process if necessary.","Sua sessão expirou durante o processo de importação. Por favor, revise os produtos importados e repita o processo se necessário."
"Synchronize","Sincronizar"
"Target Country","País Alvo"
"The item type has been saved.","O tipo do item foi salvo com sucesso."
"This action will update items statistics and remove the items which are not available in Google Base. Continue?","Essa ação ira atualizar as estatísticas dos itens e remover os itens que não estão disponíveis no Google Base. Continuar?"
"Total of %d items(s) have been deleted; total of %d items(s) have been updated.","Um total de %d item(s) foi deletado com sucesso; Um total de %d item(s) foi atualizado com sucesso."
"Total of %d items(s) have been published.","Um total de %d item(s) foi publicado com sucesso."
"Total of %d items(s) have been removed from Google Base.","Um total de %d item(s) foi removido do Google Base com sucesso."
"Total of %d items(s) have been saved as inactive items.","Um total de %d item(s) foi salvo como inativo."
"Total of %d product(s) have been added to Google Base.","Um total de %d produto(s) foi adicionado ao Google Base."
"Unable to connect to Google Base. Please, check Account settings in configuration.","Erro ao conectar ao Google Base. Verifique as configurações de sua conta."
"Unable to select a Store View.","Impossível selecionar a View da loja."
"View Available Products","Ver Produtos Disponíveis"
"View Item in Google Base","Ver Item no Google Base"
"Yes","Sim"
