"* Select shipping method","* Selecione o método de envio"
"<br />Warning: <strong>%s</strong><br />","<br />Aviso: <strong>%s</strong><br />"
"<strong style=""color:red"">Warning!</strong> This option disables the merchant calculated shipping. With this option, Google API ignores any attempt to affect shipping prices.","<strong style=""color:red"">Aviso!</strong> Essa opção desativa o frete calculado do lado do comerciante. Com essa opção, a API do Google ignora qualquer tentativa de alteração no preço de envio."
"A virtual item to reflect the discount total","Um item virtual para refletir o total do desconto"
"A virtual item to reflect the tax total","Um item virtual para refletir o total em impostos"
"AVS Status: %s","Status do AVS: %s"
"Add","Adicionar"
"Add Shipping Method","Adicionar Método de Envio"
"Allowed Methods","Métodos Permitidos"
"Amount: %s","Quantidade: %s"
"Auto-generated from GoogleCheckout Charge","Gerado automaticamente a partir de cobranças do GoogleCheckout"
"Buyer Account Age: %s days","Idade da Conta de Comprador: %s dias"
"CC Partial: xxxx-%s","CC Parcial: xxxx-%s"
"CID Status: %s","Status CID: %s"
"Carrier Calculated Methods","Métodos Calculados pela Transportadora"
"Cart Discount","Desconto de Carrinho"
"Checkout Image Style","Estilo de Imagem de Checkout"
"Continue Shopping URL","URL de 'Continuar Navegando'"
"Credit memo has been created automatically","A nota de crédito foi criada automaticamente"
"Debug","Depuração"
"Default Package Height (in)","Altura Padrão do Pacote (pol)"
"Default Package Length (in)","Comprimento Padrão do Pacote (pol)"
"Default Package Width (in)","Largura Padrão do Pacote (pol)"
"Default Price for Methods","Preço Padrão para os Métodos"
"Default price:","Preço padrão:"
"Delivery Address Category","Categoria do Endereço de Entrega"
"Delivery Schedule","Calendário de Entrega"
"Disable Default Tax Tables","Desativar Tabelas Padrão de Imposto"
"Discount Tax","Descontar Imposto"
"Eligible for Protection: %s","Elegíveis para Proteção: %s"
"Enable","Ativar"
"Enable Carrier Calculated","Ativar Cálculo pela Transportadora"
"Enable Digital Delivery","Ativar Entrega Digital"
"Enable Flat Rate","Ativar Taxas Flat"
"Enable Merchant Calculated","Ativar Cálculo pelo Comerciante"
"Enable this if your checkout request is too big and being cut off.","Ative essa opção caso sua requisição de checkout seja muito grande e esteja sendo cortada pela metade."
"Expiration: %s","Validade: %s"
"Financial: %s -> %s","Financeiro: %s -> %s"
"Free Shipping","Frete Grátis"
"Fulfillment: %s -> %s","Coberto Por: %s -> %s"
"Google API","API do Google"
"Google Authorization:","Autorização do Google:"
"Google Buyer ID: %s","ID de Comprador Google: %s"
"Google Charge:","Tarifa do Google:"
"Google Chargeback:","Extornos do Google:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","Frete do Google Checkout - Calculado pela Transportadora"
"Google Checkout Shipping - Digital Delivery","Frete do Google Checkout - Entrega Digital"
"Google Checkout Shipping - Flat Rate","Frete do Google Checkout - Taxa Flat"
"Google Checkout Shipping - Merchant Calculated","Frete do Google Checkout - Calculado pelo Comerciante"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","Número de Pedido Google: %s"
"Google Order Status Change:","Mudança de Status de Pedido Google:"
"Google Refund:","Reembolso do Google:"
"Google Risk Information:","Informações de Risco do Google:"
"Hide Cart Contents","Esconder Conteúdo do Carrinho"
"IP Address: %s","Endereço IP: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","Se ativado, o conteúdo do carrinho sera ocultado ao clicar no botão do Google Checkout e restaurado caso o link ""Editar Carrinho"" seja ativado."
"Invoice Auto-Created: %s","Fatura Criada Automaticamente: %s"
"Is Buyer Willing to Receive Marketing Emails: %s","O Comprador Deseja Receber Emails Relacionados a Marketing: %s"
"Large - %s","Grande - %s"
"Latest Charge: %s","Últimas Alterações: %s"
"Latest Chargeback: %s","Último Extorno: %s"
"Latest Refund: %s","Último Reembolso: %s"
"Location","Localização"
"Medium - %s","Médio - %s"
"Merchant ID","ID de Comerciante"
"Merchant Key","Chave de Comerciante"
"Method","Método"
"New Order Status","Status de Novo Pedido"
"No","Não"
"Optional, leave empty for home page.","Opcional, deixe em branco para usar a página inicial."
"Rate 1 Amount","Quantidade da Taxa 1"
"Rate 1 Ship To Applicable Countries","Taxa 1 Entrega a Todos os Países Aplicáveis"
"Rate 1 Ship to Specific Countries","Taxa 1 Entrega Apenas a Países Específicos"
"Rate 1 Title","Título da Taxa 1"
"Rate 2 Amount","Quantidade da Taxa 2"
"Rate 2 Ship To Applicable Countries","Taxa 2 Entrega a Todos os Países Aplicáveis"
"Rate 2 Ship to Specific Countries","Taxa 2 Entrega Apenas a Países Específicos"
"Rate 2 Title","Título da Taxa 2"
"Rate 3 Amount","Quantidade da Taxa 3"
"Rate 3 Ship To Applicable Countries","Taxa 3 Entrega a Todos os Países Aplicáveis"
"Rate 3 Ship to Specific Countries","Taxa 3 Entrega Apenas a Países Específicos"
"Rate 3 Title","Título da Taxa 3"
"Remove","Remover"
"Required for live Google Checkout transactions.","Obrigatório para transações em tempo real do Google Checkout."
"Sandbox","Sandbox"
"Secure Callback URL","URL Segura de Callback"
"Small - %s","Pequeno - %s"
"The tax amount has been applied based on the information received from Google Checkout, because tax amount received from Google Checkout is different from the calculated tax amount","O valor do imposto foi aplicado com base em informações recebidas pelo Google Checkout porque o valor dos impostos recebidos via Google Checkout era diferente do valor calculado"
"Title","Título"
"Total Chargeback: %s","Total do Extorno: %s"
"Total Charged: %s","Total Cobrado: %s"
"Total Refunded: %s","Total Reembolsado: %s"
"Transparent","Transparente"
"United Kingdom","Reino Unido (UK)"
"United States","Estados Unidos"
"White Background","Fundo Branco"
"Yes","Sim"
"You will be redirected to GoogleCheckout in a few seconds.","Você será redirecionado ao Google Checkout em alguns segundos."
