"-- Please Select --","-- Favor Selecionar --"
"Account Registration","Registro de Conta"
"All fields of script types have to be filled.","Todos os campos relacionados aos tipos de script devem ser preenchidos."
"Attributes","Atributos"
"Category View Optimization","Otimização de View da Categoria"
"Control Script","Script de Controle"
"Conversion Page","Página de Conversão"
"Conversion Page URL","URL da Página de Conversão"
"Conversion Script","Script de Conversão"
"Enable","Ativar"
"Google Optimizer Scripts","Script do Google Optimizer"
"Google Website Optimizer","Google Website Optimizer"
"Install Scripts","Instalar Scripts"
"Multi Address Checkout","Checkout com Múltiplos Endereços"
"One Page Checkout","Checkout de Uma Página"
"Order Success (Multi Address Checkout)","Pedido Realizado com Sucesso (Checkout com Múltiplos Endereços)"
"Order Success (One Page Checkout)","Pedido Realizado com Sucesso (Checkout de Uma Página)"
"Original Page","Página Original"
"Other","Outro"
"Page Type","Tipo da Página"
"Page View Optimization","Otimização da View da Página"
"Please copy and paste this value to experiment edit form","Por favor copie e cole esse valor no fórmulário de edição a ser testado"
"Please copy and paste this value to experiment edit form.","Por favor copie e cole esse valor no fórmulário de edição a ser testado."
"Please select store view to see the URL","Por favor selecione a view da loja para ver a URL"
"Please select store view to see the URL.","Por favor selecione a view da loja para ver a URL."
"Product View Optimization","Otimização da View de Produto"
"Scripts Install URL","URL de Instalação de Scripts"
"Shopping Cart","Carrinho de Compra"
"The limit is 8 attributes only.","O limite é de apenas 8 atributos."
"Tracking Script","Script de Tracking"
"Use Default","Usar Padrão"
"Use Default Values","Usar os Valores Padrão"
"Variant Page","Página Variável"
