" in rows: "," em linhas: "
"-- Please Select --","-- Favor Selecionar --"
"Adapter must be an instance of Mage_ImportExport_Model_Import_Adapter_Abstract","O Adaptador deve ser uma instância da classe Mage_ImportExport_Model_Import_Adapter_Abstract"
"Adapter type must be a non empty string","O tipo do Adaptador não pode ser uma string vazia"
"Can not determine attribute filter type","Impossível determinar o tipo de filtro do atributo"
"Can not find required columns: ","Impossível encontrar as colunas solicitadas: "
"Can not get autoincrement value","Impossível encontrar o valor de autoincremento"
"Check Data","Verificar Dados"
"Column names have duplicates","O nome das colunas estão duplicados"
"Column names is empty or is not an array","O nome das colunas é vazio ou não é um array"
"Column names: ""%s"" are invalid","Os seguintes nomes das colunas são inválidos: ""%s"""
"Continue","Continuar"
"Data is invalid or file is not uploaded","Dados inválidos ou arquivo não foi enviado corretamente"
"Destination directory is not writable","O diretório de destino não possui permissões de escrita"
"Destination file is not writable","O arquivo de destino não possui permissões de escrita"
"Destination file path must be a string","O caminho de destino do arquivo deve ser uma string"
"Entity Attributes","Atributos de Entidade"
"Entity adapter object must be an instance of Mage_ImportExport_Model_Import_Entity_Abstract","O objeto de adaptador da entidade deve ser uma instância da classe Mage_ImportExport_Model_Import_Entity_Abstract"
"Entity is unknown","Entidade desconhecida"
"Entity type model must be an instance of Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract","O Model do tipo de entidade deve ser uma instância da classe Mage_ImportExport_Model_Export_Entity_Product_Type_Abstract"
"Entity type model must be an instance of Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract","O Model do tipo de entidade deve ser uma instância da classe Mage_ImportExport_Model_Import_Entity_Product_Type_Abstract"
"Error in data structure: behaviors are mixed","Erro na estrutura de dados: os comportamentos são mistos"
"Error in data structure: entity codes are mixed","Erro na estrutura de dados: os códigos das entidades são mistos"
"Export","Exportar"
"Export FAQ","FAQ de Exportação"
"FAQ","FAQ"
"File does not contain data. Please upload another one","O arquivo não contém nenhum dado. Por favor, envie um arquivo diferente"
"File format is unknown","Formato do arquivo desconhecido"
"File is partially valid, but import is not possible","O arquivo é parcialmente válido, porém uma importação não poderá ser realizada"
"File is totally invalid. Please fix errors and re-upload file","O arquivo é completamente inválido. Por favor, corrija os erros e reenvie o arquivo"
"File is valid! To start import process press ""Import"" button","Arquivo Válido! Para iniciar o processo de importação clique no botão ""Importar"""
"File is valid, but import is not possible","O arquivo é valido, porém uma importação não é possível no momento"
"Header column names already set","Nomes de Cabeçalho das colunas já configurado"
"Import","Importar"
"Import / Export FAQ (Frequently Asked Questions)","FAQ (Perguntas Frequentes) sobre Importação / Exportação"
"Import FAQ","FAQ de Importação"
"Import successfully done.","Importação concluída com sucesso."
"Import/Export","Importar/Exportar"
"In/Out","Entrada/Saída"
"Input entity code is not equal to entity adapter code","O código de entrada da entidade não é igual ao código de adaptador da entidade"
"Invalid entity","Entidade inválida"
"Invalid file format","Formato de arquivo inválido"
"Invalid parameters","Parâmetros inválidos"
"Invalid seek position","Posição de busca inválida"
"Invalid value for '%s'","Valor inválido para o item '%s'"
"No filter data provided","Nenhum dado de filtro fornecido"
"No source specified","Nenhuma fonte especificada"
"No valid data sent","Nenhum dado válido enviado"
"No writer specified","Nenhum writer especificado"
"Node does not has model token tag","O nó não possui nenhum token de tag de model"
"Not implemented yet","Ainda não implementado"
"Please fix errors and re-upload file","Por favor corriga os erros e reenvie o arquivo"
"Please fix errors and re-upload file or simply press ""Import"" button to skip rows with errors","Por favor corrija os erros e reenvie o arquivo ou pressione o botão ""Importar"" para ignorar as linhas problemáticas"
"Some other FAQ","Outro FAQ"
"Source file moving failed","Falha ao mover o arquivo fonte"
"Source file path must be a string","O caminho do arquivo fonte deve ser uma string"
"Source is not set","Fonte não configurada"
"Status","Status"
"System busy","Sistema ocupado"
"There are no product types available for export","Não existem tipos de produtos disponíveis para exportação"
"Total size of uploadable files must not exceed %s","O tamanho total do arquivo enviado não deve exceder %s"
"Uploaded file has no extension","O arquivo enviado não possui extensão"
"Validation Results","Resultados da Validação"
