"%s Index process is working now. Please try run this process later.","O processo de indexação %s ainda está sendo executado. Por favor, tente executar esse processo mais tarde."
"%s index was rebuilt.","O índice %s foi reconstruído com sucesso."
"'%s' Index Process Information","Informação de Processamento do índice '%s'"
"Action","Ações"
"Cannot initialize the indexer process.","Impossível iniciar o processo de indexação."
"Change Index Mode","Alterar o Modo de Indexação"
"Click here to go to <a href=""%s"">Cache Management</a> and refresh cache types.","Clique aqui para ir para a sessão de <a href=""%s"">Gerenciamento de Cache</a> e atualizar os tipos de cache."
"Click here to go to <a href=""%s"">Index Management</a> and rebuild required indexes.","Clique aqui para ir para a sessão de <a href=""%s"">Gerenciamento de índices</a> e reconstruir os índices requeridos."
"Description","Descrição"
"Disable","Desativar"
"Enable","Ativar"
"General","Geral"
"Index","índice"
"Index Description","Descrição do índice"
"Index Management","Gerenciamento de índices"
"Index Mode","Modo de Indexacão"
"Index Name","Nome do índice"
"Index mode","Modo de indexação"
"Indexer code is not defined.","O código do indexador não foi definido."
"Indexer model is not defined.","O model do indexador não foi definido."
"Indexer model should extend Mage_Index_Model_Indexer_Abstract.","O model do indexador deve extender a classe Mage_Index_Model_Indexer_Abstract."
"Last Run","Última Execução"
"Manual Update","Atualização Manual"
"Mode","Modo"
"Never","Nunca"
"One or more of the Indexes are not up to date:","Um ou mais índices não estão atualizados:"
"Pending Events","Eventos Pendentes"
"Please select Index(es)","Por favor selecione o(s) índice(s)"
"Please select Indexes","Por favor selecione os índices"
"Process Information","Informações do Processo"
"Processing","Processando"
"Ready","Pronto"
"Refresh","Atualizar"
"Reindex Data","Reindexar dados"
"Reindex Required","Reindexação Requerida"
"Status","Status"
"System","Sistema"
"The index has been saved.","O índice foi salvo com sucesso."
"There was a problem with reindexing process.","Ocorreu um erro durante o processo de reindexação."
"There was a problem with saving process.","Ocorreu um erro ao salvar os dados."
"Total of %d index(es) have changed index mode.","Um total de %d índice(s) teve o seu modo de indexação alterado."
"Total of %d index(es) have reindexed data.","Um total de %d índice(s) teve o seus dados reindexados."
"Update on Save","Atualizar ao Salvar"
