"(Make sure you keep it in a safe place.)","(Certifique-se de manter-la em um local seguro.)"
"(Optional. Leave blank for no prefix)","(Opcional. Deixe em branco para não usar nenhum prefixo)"
"(ver. %s)","(ver. %s)"
"Additional path added after Base URL to access your Administrative Panel (e.g. admin, backend, control etc.).","Caminho adicionar após a URL Base para acessar o Painel Administrativo (ex. admin, backend, controle etc.)."
"Admin Path","Caminho do Admin"
"After successfull installation please click the button below.","Após a conclusão da instalação por favor clique no botão abaixo ."
"All packages were installed, click 'OK' to continue with installation.","Todos os pacotes foram instalados com sucesso, clique em 'OK' para continuar com a instalação."
"Alternatively you could try the 'Manual Downloads and Upgrades' method.","Alternativamente você pode tentar usar o método de de 'Download e Upgrade Manual'."
"Base URL","URL Base"
"Before you continue to your store, please make a note of your encryption key (Magento uses it to encrypt passwords, credit cards and more).","Antes de acessar a sua loja, por favor tome nota de sua chave criptográfica (O Magento a usuará para criptografar senhas, cartões de crédito e outros dados)."
"Check out our","Veja também nossos"
"Check this box only if it is not possible to automatically validate Secure URL, for example if HTTP authentication is required.","Marque essa caixa somente se não for possível realizar a validação automática de sua URL Segura como por exemplo se suas páginas exigem autenticação HTTP."
"Check this box only if it is not possible to automatically validate the Base URL.","Marque essa caixa somente se não for possível realizar a validação automática de sua URL Base."
"Choose this if you would like to test frontend and backend functionality.","Marque essa opção se você deseja testar a funcionalidade do backend e do frontend."
"Configuration","Configuração"
"Confirm Password","Confirme sua Senha"
"Connection","Conexão"
"Continue","Continuar"
"Continue After Manual Download","Continuar Depois do Download Manual"
"Continue Full Download / SVN Installation","Continuar Download Completo / Instalação SVN"
"Create Admin Account","Criar Conta de Admin"
"Currently this is the most stable state available for Magento packages.","Esse é estado mais novos dos pacotes 'stable' disponíveis para o Magento."
"Database","Banco de Dados"
"Database Connection","Conexão ao Banco de Dados"
"Database Name","Nome do Banco de Dados"
"Database Name cannot be empty.","Nome do Banco de dados não pode ser vazio."
"Database Type","Tipo de Banco de Dados"
"Database connection error.","Erro ao conectar ao banco de dados."
"Database host","Host do Banco de Dados"
"Database user name","Nome de usuário do banco de dados"
"Database user password","Senha do banco de dados"
"Default Currency","Moeda Padrão"
"Download","Download"
"Download Magento Core Modules and Updates","Fazer download de updates e módulos do Core do Magento"
"Downloading and installing Magento, please wait...","Fazendo download e instalando o Magento, por favor aguarde..."
"Email","Email"
"Email Address","Endereço de Email"
"Enable Charts","Ativar Gráficos"
"Enable this option if you want the charts to be displayed on Dashboard.","Ative essa opção se você deseja exibir gráficos no Dashboard."
"Enable this option only if you have SSL available.","Ative essa opção somente se você tiver SSL no seu servidor."
"Encryption Key","Chave Criptográfica"
"File System","Sistema de Arquivos"
"First Name","Nome"
"Full Download / SVN Installation","Download Completo / Instalação SVN"
"Get ready to experience Open-Source eCommerce Evolved.","Se prepare para vivenciar a evolução do eCommerce Open-Source."
"Go to Backend","Ir para o Backend"
"Go to Frontend","Ir para o Frontend"
"Having trouble installing Magento?","Tendo problemas para instalar o Magento?"
"Help Us to Keep Magento Healthy","Ajude-nos a Manter a Qualidade do Magento"
"Host","Host"
"I agree to the above terms and conditions.","Concordo com os termos e condições mostrados acima."
"If you are a developer and would like to have the latest public updates, choose this option.","Se você é um desenvolvedor e deseja obter as últimas atualizações públicas, marque essa opção."
"If you are running PHP as CGI, your PHP processes may run under the same user as the user you used when uploading Magento files.","Se você está executando o PHP em modo CGI, seus processos PHP poderão ser executados com o mesmo usuário utilizado durante o upload dos arquivos do Magento."
"If you are running the install wizard over a previously downloaded and installed Magento installation, proceed with this method.","Se você está executando o assistente de instalação por cima de uma versão do Magento já instalada, continue utilizande esse método."
"If you do not wish or are not able to have Magento folders writeable for the web process, you could use PEAR executable located in the root of Magento installation.","Se você não deseja ou não pode dar permissão de escrita para as pastas do Magento, você pode utilizar o executável do PEAR localizado na raiz da sua instalação do Magento."
"If you have downloaded the full package or installed Magento through SVN, you should skip packages installation and validation by clicking the button below.","Se você realizou o download do pacote completo ou instalou o Magento através do seu SVN, você deverá pular o processo de validação e instalação de pacotes clicando no botão abaixo."
"If you wish to manage Magento packages through the web admin interface, you will need to have web writeable permissions applied to all Magento folders and files.","Se você deseja gerenciar os pacotes do Magento através da interface web do admin, você deverá possuir permissões de escrita em todas as pastas e arquivos relacionados ao Magento."
"If your server is running on MS Windows, most probably you will not need to change anything.","Se o seu servidor web está sendo executado em uma máquina MS Windows, você não precisará alterar nada."
"In other cases you will need to make Magento files writeable for the user that the web server process is running under.","Em outros casos você precisará dar permissão de escrita para os arquivos do Magento de acordo com o usuário sob o qual o seu servidor web estiver sendo executado."
"Installation","Instalação"
"Installation Guide","Guia de Instalação"
"Last Name","Sobrenome"
"License Agreement","Contrato de Licença"
"Locale","Locale"
"Locale settings","Configurações de Locale"
"Localization","Localization"
"Login Information","Informações de Login"
"Magento","Magento"
"Magento Connect Manager Deployment","Deployment do Magento Connect Manager"
"Magento Installation Wizard","Assistente de Instalação do Magento"
"Magento is a trademark of Magento Inc. Copyright &copy; %s Magento Inc.","Magento é uma marca registrada da Magento Inc. Copyright &copy; %s Magento Inc."
"Magento uses this key to encrypt passwords, credit cards and more. If this field is left empty the system will create an encryption key for you and will display it on the next page.","O Magento utilizará essa chave para criptografar senhas, cartões de crédito e outros dados. Se esse campo for deixado em branco o sistema irá gerar uma chave criptográfica para você e exibi-la na próxima página."
"Manual Downloads and Upgrades","Downloads e Atualizações Manuais"
"No resource for %s DB model.","Nenhum resource disponível para o model de Banco de Dados %s."
"One of PHP Extensions ""%s"" must be loaded.","Uma das seguintes extensões PHP devem ser carregadas: ""%s""."
"PHP Extension '%s' loaded","Extensões PHP carregadas: '%s'"
"PHP extension ""%s"" must be loaded.","A extensão PHP ""%s"" deve ser carregada."
"Package Management through the Web","Gerenciamento de Pacotes através da Web"
"Password","Senha"
"Password Confirmation","Confirmação da Senha"
"Path ""%s"" must be writable.","O caminho ""%s"" deve possuir permissões de escrita."
"Personal Information","Informações Pessoais"
"Please correct the user data and try again.","Por favor os dados e tente novamente."
"Please make sure that <code>mod_rewrite</code> is enabled in Apache configuration.","Por favor certifique-se que o módulo <code>mod_rewrite</code> está ativo na sua instalação do Apache."
"Please note that it is much less stable than beta.","Por favor tenha ciência que isso é ainda mais instável do que o beta."
"Please note that only UNIX, Linux and Mac OS X shells are currently supported. For Windows use the '%s' option.","Por favor note que apenas shells UNIX, Linux e MAC OS X são suportadas. Para Windows, utilize a opção '%s'."
"Please set all required settings before clicking Continue","Por favor preencha todas as configurações obrigatórias antes de clicar em Continuar"
"Preferred stability: %s","Nível de estabilidade Preferido: %s"
"Proceed With Automatic Download (%s)","Continuar Com o Download Automático (%s)"
"Provide a complete base URL for SSL connection. For example: %s","Por favor forneça uma URL base completa para a conexão SSL. Por exemplo: %s"
"Report All Bugs","Reporte Todos os Bugs"
"Required Fields","Campos Obrigatórios"
"Response from server isn\'t valid.","A resposta do servidor não é válida."
"Run admin interface with SSL","Utilizar SSL na interface administrativa"
"Run this in your shell from Magento root folder:","Execute isso na sua shell a partir da pasta raiz do Magento:"
"Save Session Data In","Salvar os Dados de Sessão No"
"Save Session Files In","Salvar os Arquivos de Sessão No"
"Secure Base URL","URL Base Segura"
"Session Storage Options","Opções de Armazenamento de Dados de Sessão"
"Setting preferred state to: %s","Setando o estado preferido como: %s"
"Skip Base URL Validation Before the Next Step","Pular o Processo de Validação de URL Base Antes do Próximo Passo"
"Skip Secure URL validation before next step","Pular o Processo de Validação da URL Segura antes do próximo passo"
"Tables Prefix","Prefixo das Tabelas"
"The URL ""%s"" is invalid.","A URL ""%s"" é inválida."
