" Copy"," Copiar"
"Action","Ação"
"Add New Template","Adicionar Novo Template"
"Add to Queue","Adicionar a Fila"
"Allow Guest Subscription","Permitir a Assinatura de Visitantes"
"An error occurred while saving your subscription.","Ocorreu um erro ao salvar os dados de sua assinatura."
"Are you sure that you want to delete this template?","Tem certeza que deseja deletar esse template?"
"Are you sure that you want to strip all tags?","Tem certeza que deseja remover todas as tags?"
"Back","Voltar"
"Cancel","Cancelar"
"Cancelled","Cancelada"
"Cannot mark as received subscriber.","Impossível marcar como já recebido para esse assinante."
"Confirmation Email Sender","Remetente do Email de Confirmação"
"Confirmation Email Template","Template do Email de Confirmação"
"Confirmation request has been sent.","Solicitação de confirmação enviada com sucesso."
"Convert to Plain Text","Converter para Plain Text"
"Create Newsletter Template","Criar um Template de Newsletter"
"Customer","Cliente"
"Customer First Name","Nome do Cliente"
"Customer Last Name","Sobrenome do Cliente"
"Customer My Account Newsletter Subscriptions","Assinaturas de Newsletter da Minha Conta de Cliente"
"Date Added","Data da Adição"
"Date Updated","Data da Atualização"
"Delete","Deletar"
"Delete Selected Problems","Deletar Problemas Selecionados"
"Delete Template","Deletar Template"
"Do you really want to cancel the queue?","Você realmente deseja cancelar a fila?"
"Duplicate template code.","Código de template duplicado."
"Edit Newsletter","Editar Newsletter"
"Edit Newsletter Template","Editar Template de Newsletter"
"Edit Queue","Editar Fila"
"Edit Template","Editar Template"
"Email","Email"
"Enter your email address","Digite o seu email"
"Error Code","Código do Erro"
"Error Text","Texto do Erro"
"Follow this link to unsubscribe <!-- This tag is for unsubscribe link  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>","Clique nesse link para cancelar a sua assinatura <!-- Tag para o link de cancelamento de assinatura  --><a href=""{{var subscriber.getUnsubscriptionLink()}}"">{{var subscriber.getUnsubscriptionLink()}}</a>"
"Guest","Visistante"
"ID","ID"
"Invalid queue selected.","Fila inválida selecionada."
"Invalid subscription ID.","ID de assinante inválido."
"Invalid subscription confirmation code.","Codigo de confirmação de assinatura inválido."
"Message","Mensagem"
"Need to Confirm","Necessidade de Confirmação"
"New Newsletter Template","Novo Template de Newsletter"
"New Template","Novo Template"
"Newsletter","Newsletter"
"Newsletter Message Preview","Preview da Mensagem da Newsletter"
"Newsletter Problem Reports","Relatório de Problemas da Newsletter"
"Newsletter Queue","Fila da Newsletter"
"Newsletter Section","Sessão de Newsletter"
"Newsletter Sign-up:","Assinatura de Newsletter:"
"Newsletter Styles","Estilos de Newsletter"
"Newsletter Subscribers","Assinantes da Newsletter"
"Newsletter Subscription","Assinatura de Newsletter"
"Newsletter Subscription Form Before","Exibir Antes do Formulário de Assinatura da Newsletter"
"Newsletter Subscriptions","Assinaturas da Newsletter"
"Newsletter Templates","Templates da Newsletter"
"Newsletter subscription confirmation","Confirmação de assinatura da newsletter"
"Newsletter subscription success","Assinatura de newsletter realizada com sucesso"
"Newsletter unsubscription success","Cancelamento de assinatura da newsletter realizado com sucesso"
"No Templates Found","Nenhum template encontrado"
"No problems found.","Nenhum problema encontrado."
"No subscribers selected.","Nenhum assinante selecionado."
"Not Activated","Desativado"
"Not Sent","Não Enviado"
"Pause","Pausar"
"Paused","Pausado"
"Please enter a valid email address.","Por favor digite um endereço de email válido."
"Please enter new template name","Por favor digite o nome do novo template"
"Please refer to exeption.log","Por favor verifique o arquivo exception.log"
"Please select subscriber(s)","Por favor selecione o(s) assinante(s)"
"Preview","Preview"
"Preview Template","Preview do Template"
"Processed","Processado"
"Queue Date Start","Data de Início da Fila"
"Queue Finish","Término da Fila"
"Queue Information","Informações da Fila"
"Queue Newsletter...","Colocar Newsletter na Fila..."
"Queue Start","Início da Fila"
"Queue Subject","Assunto da Fila"
"Recipients","Destinatários"
"Reset","Resetar"
"Resume","Continuar"
"Return HTML Version","Retornar para a versão HTML"
"Save As","Salvar Como"
"Save Newsletter","Salvar Newsletter"
"Save Template","Salvar Template"
"Save and Resume","Salvar e Continuar"
"Selected problem subscribers have been unsubscribed.","Os assinantes problemáticos selecionados tiveram suas assinaturas canceladas com sucesso."
"Selected problems have been deleted.","Os problemas selecionados foram deletados."
"Sender","Remetente"
"Sender Email","Email do Remetente"
"Sender Name","Nome do Remetente"
"Sending","Enviando"
"Sent","Enviado"
"Sign Up for Our Newsletter:","Assine Nossa Newsletter:"
"Sign up for our newsletter","Assine nossa newsletter"
"Sorry, but administrator denied subscription for guests. Please <a href=""%s"">register</a>.","Desculpe, mas o administrador não permite que visitantes assine a newsletter. Por favor <a href=""%s"">registre-se</a>."
"Start","Iniciar"
"Status","Status"
"Store","Loja"
"Store View","View da Loja"
"Subject","Assunto"
"Submit","Enviar"
"Subscribe","Assinar"
"Subscribed","Assinado"
"Subscriber","Assinante"
"Subscribers","Assinantes"
"Subscribers From","Formulário de Assinantes"
"Subscription Options","Opções de Assinatura"
"Success Email Sender","Remetente do Email de Sucesso"
"Success Email Template","Template do Email de Sucesso"
"Template Content","Conteúdo do Template"
"Template Information","Informações do Template"
"Template Name","Nome do Template"
"Template Styles","Estilos do Template"
"Template Subject","Assunto do Template"
"Template Type","Tipo do Template"
"Thank you for your subscription.","Obrigato por sua assinatura."
"The subscription has been removed.","A assinatura foi removida com sucesso."
"The subscription has been saved.","A assinatura foi salva com sucesso."
"There was a problem with the subscription.","Ocorreu um problema com a assinatura."
"There was a problem with the subscription: %s","Ocorreu um problema com a assinatura: %s"
"There was a problem with the un-subscription.","Ocorreu um problema com o cancelamento da assinatura."
"This email address is already assigned to another user.","Esse email de endereço já está sendo usado por outro usuário."
"Type","Tipo"
"Unconfirmed","Não Confirmado"
"Unsubscribe","Cancelar Assinatura"
"Unsubscribe Selected","Cancelar Assinaturas Selecionadas"
"Unsubscribed","Assinaturas Canceladas"
"Unsubscription Email Sender","Remetente do Email de Cancelamento de Assinatura"
"Unsubscription Email Template","Template do Email de Cancelamento de Assinatura"
"View Newsletter","Ver Newsletter"
"Website","Website"
"You have been unsubscribed.","Sua assinatura foi cancelada com sucesso."
"Your subscription has been confirmed.","Seu cancelamento de assinatura foi confirmado com sucesso."
