"%name% '%value%' is too long. It must has length %min% symbols.","%name% '%value%' é muito longo. Ele deve ter no máximo %min% caracteres."
"%name% '%value%' is too short. It must has length %min% symbols.","%name% '%value%' é muito curto. Ele deve ter no mínimo %min% caracteres."
"* Required Fields","* Campos Obrigatórios"
"<strong>%s</strong> requests access to your account","<strong>%s</strong> está solicitando acesso a sua conta"
"Admin","Admin"
"After authorization application will have access to you account.","Após a autorização a aplicação terá acesso a sua conta."
"An error occurred on confirm authorize.","Ocorreu um erro ao confirmar a autorização."
"An error occurred on delete action.","Ocorreu um erro ao deletar."
"An error occurred on delete application.","Ocorreu um erro ao deletar a aplicação."
"An error occurred on reject authorize.","Ocorreu um erro ao rejeitar a autorização."
"An error occurred on saving consumer data.","Ocorreu um erro ao salvar os dados do consumidor."
"An error occurred on update revoke status.","Ocorreu um erro ao atualizar o status de revogação."
"An error occurred while deleting the consumer.","Ocorreu um erro ao deletar o consumidor."
"An error occurred.","Ocorreu um erro."
"An error occurred. Your authorization request is invalid.","Ocorreu um erro. Sua solicitação de autorização é inválida."
"App Name","Nome do App"
"Application ""%s"" has been deleted.","A Aplicação ""%s"" foi deletada com sucesso."
"Application ""%s"" has been enabled.","A Aplicação ""%s"" foi ativada com sucesso."
"Application ""%s"" has been revoked.","A Aplicação ""%s"" foi revogada com sucesso."
"Application Name","Nome da Aplicação"
"Application not found.","Aplicação não encontrada."
"Are you sure you want to delete this application?","Você tem certeza que deseja deletar essa aplicação?"
"Are you sure you want to disable this application?","Você tem certeza que deseja desativar essa aplicação?"
"Are you sure you want to enable this application?","Você tem certeza que deseja ativar essa aplicação?"
"Authorization confirmed","Autorização confirmada"
"Authorization confirmed.","Autorização confirmada."
"Authorize","Autorizar"
"Authorize application","Autorizar aplicação"
"Authorized Tokens","Tokens de Autorização"
"Callback URL","URL de Callback"
"Cleanup Probability","Probabilidade de Limpeza"
"Cleanup Settings","Configurações de Limpeza"
"Close","Fechar"
"Confirm OAuth token authorization","Confirme a autorização do token OAuth"
"Confirm token authorization Pop Up for admin","Confirme o Pop Up de autorização do token para o admin"
"Confirm token authorization for admin","Confirme a autorização do token para o admin"
"Confirmation Of Authorization","Confirmação de Autorização"
"Consumer Information","Informação do Consumidor"
"Consumer Name","Nome do Consumidor"
"Consumers","Consumidores"
"Created At","Criado Em"
"Customer","Cliente"
"Customer My Account My OAuth Applications","Minhas aplicações OAuth da minha Conta de Cliente"
"Delete","Deletar"
"Disable","Desativar"
"Disabled","Desativado"
"Edit","Editar"
"Edit Consumer","Editar Consumidor"
"Email","Email"
"Email Address","Endereço de Email"
"Enable","Ativar"
"Enabled","Ativado"
"Entry with ID #%s not found.","A Entrada de ID #%s não foi encontrada."
"Expiration Period","Período de Vencimento"
"Give the verifier code to application administrator","Dê o código de verificação ao administrador da aplicação"
"ID","ID"
"Invalid Callback URL","URL de Callback Inválida"
"Invalid ID parameter.","Parâmetro ID inválido."
"Invalid Rejected Callback URL","URL de Callback de Rejeição Inválida"
"Invalid entry ID.","ID Inválido."
"Invalid revoke status.","Status de revocação inválido."
"Key","Chave"
"Log In","Log In"
"Log in as a customer","Fazer Login como cliente"
"Log in as admin","Fazer Login como admin"
"Log in as customer","Login como cliente"
"Log in to use <strong>%s</strong>","Faça Login para usar <strong>%s</strong>"
"Login","Login"
"My Applications","Meus Aplicativos"
"Name","Nome"
"New Consumer","Novo Consumidor"
"OAuth","OAuth"
"OAuth Admin My Apps","Administrar Meus Apps OAuth"
"OAuth Authorized Tokens","Tokens OAuth Autorizados"
"OAuth Consumers","Consumidores OAuth"
"OAuth authorization Pop Up for customer","Pop Up de autorização OAuth para cliente"
"OAuth authorization for admin","Autorização OAuth para admin"
"OAuth authorization for customer","Autorização OAuth para cliente"
"OAuth authorization simple for admin","Autorização OAuth simples para admin"
"Password","Senha"
"Permissions","Permissões"
"Please login to proceed authorization.","Faça o login para continuar com a autorização."
"Please select needed row(s).","Por favor selecione a(s) linha(s) necessárias."
"Please select revoke status.","Por favor selecione o status de revogação."
"REST - My Apps","REST - Meus Apps"
"REST - OAuth Authorized Tokens","REST - Tokens de Autorização OAuth"
"REST - OAuth Consumers","REST - Consumidores OAuth"
"Reject","Rejeitar"
"Reject OAuth token authorization","Rejeitar autorização de token OAuth"
"Reject authorization","Rejeitar Autorização"
"Reject token authorization Pop Up for admin","Rejeitar Pop Up de autorização de token para admin"
"Reject token authorization for admin","Rejeitar autorização de token para admin"
"Rejected Callback URL","Rejeitar URL de Callback"
"Rejection Of Authorization","Rejeição de Autorização"
"Revoked","Revogado"
"Role Name","Nome do Papel"
"Save","Salvar"
"Save and Continue Edit","Salvar e Continuar Editando"
"Secret","Segredo"
"Selected entries enabled.","Entradas selecionadas foram ativadas."
"Selected entries has been deleted.","Entradas selecionadas foram deletadas."
"Selected entries revoked.","Entradas selecionadas foram revogadas."
"Status","Status"
"System","Sistema"
"The application access request is rejected.","A solicitação de acesso da aplicação está rejeitada."
"The consumer has been deleted.","O consumidor foi deletado."
"The consumer has been saved.","O consumidor foi salvo com sucesso."
"Token Status Change","Mudança de Status do Token"
"Token Status Change Email Template","Template de Email para Mudança de Status de Token"
"Unable to find a consumer.","Impossível encontrar um consumidor."
"User ID","ID do Usuário"
"User Name","Nome do Usuário"
"User Type","Tipo de Usuário"
"Verifier code: %s","Código verificador: %s"
"You have no applications.","Você não possui aplicações."
"deleted","deletedo"
"enabled","ativado"
"revoked","revogado"
