"An error occurred while clearing the external full page cache.","Ocorreu um erro ao limpar o cache externo de página completa."
"Cookie Lifetime (seconds)","Validade do Cookie (em segundos)"
"Enable External Cache","Ativar Cache Externo"
"External Cache Control","Controle de Cache Externo"
"External Full Page Cache Settings","Configurações de Cache Externo de Página Completa"
"External full page cache.","Cache externo de página completa."
"Failed to load external cache control","Falha ao carregar o controle de cache externo"
"Flush External Page Cache","Esvaziar o Cache Externo de Páginas"
"If empty, default value will be used.","Se deixado vazio, o valor padrão será usado."
"The external full page cache has been cleaned.","O cache externo de página completa foi limpo com sucesso."
"Zend Full Page Cache","Cache Zend de Página Completa"
