"%s %s cycle.","%s %s ciclo."
"--Please Select--","-- Favor Selecionar --"
"3D Secure Card Validation","Validação 3D Secure de Cartão"
"3D Secure Credit Card Validation","Validação 3D Secure de Cartão de Crédito"
"<label>Make Check payable to:</label> %s","<label>Faça o Cheque nominal para:</label> %s"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é obrigatório para o modo de produção. Para maiores informações consulte o seu contrato CardinalCommerce."
"Allow Initial Fee Failure","Permitir Falha de Tarifa Inicial"
"An internal reference ID is required to save the payment profile.","Um ID de referência interno é obrigatório para que você possa salvar o perfil de pagamento."
"Auto Bill on Next Cycle","Cobrar Automaticamente no Próximo Cíclo"
"Automatically Invoice All Items","Faturar Todos os Itens Automaticamente"
"Automatically bill the outstanding balance amount in the next billing cycle (if there were failed payments).","Cobrar o saldo devedor no próximo ciclo de cobrança automaticamente (caso hajam pagamentos que falharam anteriormente)."
"Billing Agreement status is not set.","O status do Contrato de Compra não foi setado."
"Billing Amount","Quantidade a Ser Cobrada"
"Billing Frequency","Frequência da Cobrança"
"Billing Period","Período da Cobrança"
"Billing Period Unit","Unidade de Período da Cobrança"
"Billing period unit is not defined or wrong.","A unidade de período de cobrança não foi definida ou é inválida."
"Cannot retrieve payment method instance.","Impossível trazer a instância do método de pagamento."
"Cannot retrieve the payment info model object.","Impossível trazer o model do objeto de info de pagamento."
"Cannot retrieve the payment method model object.","Impossível trazer o modelo do objeto de método de pagamento."
"Card Verification Number","Número de Verificação do Cartão"
"Centinel API URL","URL de API Centinel"
"Check / Money Order","Cheque / Order de Pagamento"
"Credit Card Number","Número do Cartão de Crédito"
"Credit Card Number: xxxx-%s","Número do Cartão de Crédito: xxxx-%s"
"Credit Card Type","Tipo de Cartão de Crédito"
"Credit Card Type: %s","Tipo de Cartão de Crédito: %s"
"Credit Card Types","Tipos de Cartão de Crédito"
"Currency","Moeda"
"Currency code is undefined.","O código da moeda não foi definido."
"Customer ID is not set.","O ID do Cliente não foi definido."
"Day","Dia"
"Debug Mode","Modo de Depuração"
"Enabled","Ativado"
"Expiration Date","Data de Validade"
"Expiration Date: %s/%s","Data de Validade: %s/%s"
"Full name of the person receiving the product or service paid for by the recurring payment.","Nome completo da pessoa que está recebendo o produto ou o serviço referente a esse pagamento recorrente."
"Initial Fee","Taxa Inicial"
"Initial non-recurring payment amount due immediately upon profile creation.","Quantia inicial não recorrente será marcada como devida assim que o perfil for criado."
"Internal Reference ID","ID Interno de Referência"
"Issue Number","Número de Edição"
"Make Check Payable to","Cheque Nominal para"
"Make Check payable to:","Cheque Nominal para:"
"Make Check payable to: %s","Cheque Nominal para: %s"
"Maximum Billing Cycles","Número Máximo de Cíclos de Cobrança"
"Maximum Order Total","Total Máximo de Pedido"
"Maximum Payment Failures","Número Máximo de Falhas de Pagamento"
"Maximum Trial Billing Cycles","Número Máximo de Cíclos de Experiência (Trial)"
"Merchant ID","ID do Comerciante"
"Minimum Order Total","Total Mínimo de Pedido"
"Month","Mês"
"N/A","N/D"
"Name on Card","Nome no Cartão"
"Name on the Card","Nome no cartão"
"Name on the Card: %s","None no Cartão: %s"
"New Order Status","Status de Novos Pedidos"
"Number of billing periods that make up one billing cycle.","Número de períodos de cobrança que totalizam um ciclo de cobrança."
"Overrides API URL that may be specified by a payment method.","Sobrescreve a URL de API que pode ter sido especificada por um método de pagamento."
"Password","Senha"
"Payment ID: %s","ID do Pagamento: %s"
"Payment Method","Método de Pagamento"
"Payment Methods","Métodos de Pagamento"
"Payment Methods Section","Sessão de Métodos de Pagamento"
"Payment Reference ID","ID de Referência do Pagamento"
"Payment Services","Serviços de Pagamento"
"Payment from Applicable Countries","Método de Pagamento Aplicável aos Países Ativos"
"Payment from Specific Countries","Método de Pagamento Aplicável a Países Específicos"
"Payment method code is not set.","O código do método de pagamento não foi setado."
"Payment method code is undefined.","O código do método de pagamento não foi definido."
"Payment profile is invalid:\n%s","Perfil de pagamento inválido:\n%s"
"Period frequency is wrong.","A frequência do período é inválida."
"Processor ID","ID do Processador"
"Purchase Order","Ordem de Compra"
"Purchase Order Number","Número de Ordem de Compra"
"Purchase Order Number:","Número de Ordem de Compra:"
"Purchase Order Number: %s","Número de Ordem de Compra: %s"
"Recurring Profile Start Date","Data de Início do Perfil Recorrente"
"Recurring profile start date has invalid format.","A data de início do perfil recorrente possui um formato inválido."
"Reference ID is not set.","O ID de referência não foi setado."
"Repeats %s time(s).","Repetir %s vez(es)."
"Repeats until suspended or canceled.","Repetir até ser suspenso ou cancelado."
"Request Card Security Code","Solicitar o Código de Segurança do Cartão"
"Saved CC","Cartão Salvo"
"Schedule Description","Descrição de Agendamento"
"Schedule description must be not empty.","A descrição do agendamento não pode ser vazia."
"Send Check to","Enviar Cheque para"
"Send Check to:","Enviar Cheque para:"
"Severe 3D Secure Card Validation","Validação de Cartão Severa do 3D Secure"
"Severe validation removes chargeback liability on merchant.","A Validação Severa Remove a Responsabilidade do Comerciante no Caso de Extornos."
"Shipping Amount","Valor do Frete"
"Short description of the recurring payment. By default equals to the product name.","Descrição curta do pagamento recorrente. Definida por padrão como o nome do produto."
"Sort Order","Ordem de Classificação"
"Start Date","Data de Início"
"Start date has invalid format.","A data de início possui um formato inválido."
"Start date is undefined.","A data de início não foi definida."
"Subscriber Name","Nome do Assinante"
"Switch/Solo/Maestro Issue Number","Número de Emissão Switch/Solo/Maestro"
"Switch/Solo/Maestro Only","Apenas para Cartões Switch/Solo/Maestro"
"Switch/Solo/Maestro Start Date","Data Inicial Switch/Solo/Maestro"
"Tax Amount","Valor do Imposto"
"Test Mode","Modo Teste"
"The date when billing for the profile begins.","A data na qual a cobrança para esse perfil deve começar."
"The number of billing cycles for payment period.","O número de ciclos de cobrança por período de pagamento."
"The number of scheduled payments that can fail before the profile is automatically suspended.","O número de pagamentos agendados que devem falhar antes do perfil ser suspenso automaticamente."
"The payment review action is unavailable.","A ação de revisão do pagamento não está disponível."
"Title","Título"
"Trial Billing Amount","Quantia de Cobrança de Experiência (Trial)"
"Trial Billing Frequency","Frequência de Cobrança de Experiência (Trial)"
"Trial Billing Period Unit","Unidade de Período de Cobrança de Experiência (Trial)"
"Trial Period","Período de Experiência (Trial)"
"Trial billing amount is wrong.","A quantia de cobrança de período de experiência é inválida."
"Trial billing period unit is wrong.","A unidade de período de cobrança de experiência é inválida."
"Trial period frequency is wrong.","A frequência de cobrança de período de experiência é inválida."
"Trial period max cycles is wrong.","A quantia máxima de ciclos de período de experiência é inválida."
"Two Weeks","Duas Semanas"
"Unable to save Billing Agreement:","Impossível Salvar Contrato de Compra:"
"Unit for billing during the subscription period.","Unidade para cobrança durante o período de assinatura."
"Unsupported currency code: %s.","Código de moeda não suportado: %s."
"Week","Semana"
"What is this?","O que é isso?"
"Whether to suspend the payment profile if the initial fee fails or add it to the outstanding balance.","Se o perfil de pagamento deve ou não ser cancelado caso a cobrança da tarifa inicial falhe ou se a tarifa deve ser adicionada ao saldo devedor futuro."
"Wrong %s specified.","%s inválido especificado."
"Wrong or empty billing amount specified.","Quantia de cobrança especificada inválida ou vazia."
"Year","Ano"
