"-OR-","-OU-"
"2-pixel perimeter around the header space.","perímetro de 2-pixel ao redor do cabeçalho."
"3D Secure","3D Secure"
"3D Secure Card Validation","Validação 3D Secure de Cartão"
"3D Secure validation is required for Maestro cards. Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","A validação 3D Secure é obrigatória para cartões Maestro. O suporte para cartões American Express exige contratos adicionais. Saiba mais em <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"<a href=""http://www.magentocommerce.com/paypal"">Start accepting payments via PayPal!</a>","<a href=""http://www.magentocommerce.com/paypal"">Comece a aceitar pagamentos via PayPal!</a>"
"A value is required for live mode. Refer to your CardinalCommerce agreement.","Um valor é obrigatório para o modo de produção. Para maiores informações consulte o seu contrato CardinalCommerce."
"ACH Deposit (Hold for Dispute or Other Investigation)","Depósito ACH (Retido para Disputas ou Outras Investigações)"
"ACH Deposit (Reversal)","Depósito ACH (Estorno)"
"ACH Funding for Funds Recovery from Account Balance","Fundos ACH para Reposição de Fundos do Saldo da Conta"
"ACH Withdrawal","Retirada ACH"
"API Authentication Methods","Método de Autenticação de API"
"API Certificate","Certificado de API"
"API Password","Senha de API"
"API Signature","Assinatura de API"
"API Username","Nome de usuário de API"
"API Uses Proxy","Acessar API Utilizando Proxy"
"API/Integration","API/Integração"
"API/Integration Settings","Configurações de API/Integração"
"Ability for buyer to purchase without PayPal account.","Habilidade do comprador de realizar uma compra sem possuir uma conta PayPal."
"Accept PayPal payments in your shopping cart. PayPal will process your credit card payments through the Payflow Pro Gateway.","Aceitar pagamentos PayPal no seu carrinho de compras. A PayPal irá processar os seus pagamentos via cartão de crédito através do gateway Payflow Pro."
"Accept payments without customers leaving your website. Many popular web-hosting services and shopping carts come with the Payflow payment gateways built in, so they are easy to set up.","Aceite pagamentos sem que os seus clientes deixem o seu website. Diversos serviços de web-hosting e de carrinhos de compra já possuem os serviços de pagamento através do gateway Payflow para que eles sejam mais fáceis de configurar."
"Acceptance Mark","Marca de Aceitação"
"Acceptance Mark Image","Imagem de Marca de Aceitação"
"Account-to-Account Payment, initiated by PayPal","Pagamento Conta-a-Conta, inicado pela PayPal"
"Add an Express Checkout button to your existing shopping cart for quick and easy credit card payments. PayPal handles all payment processing.","Adicione um botão de Checkout Expresso ao seu carrinho de compras atual para pagamentos rápidos e fáceis com cartão de crédito. O PayPal cuida de todo o processo de pagamento."
"Additional Options","Opções Adicionais"
"Address Verification System Response","Resposta do Sistema de Verificação de Endereço (AVS)"
"All the address information matched","Se toda a informação do endereço correspondeu"
"Allow in Billing Agreement Wizard","Permitir no Assistente de Contrato de Compra"
"Allowable values: ""paypal"", ""primary"" (default), your_custom_value (a custom payment page style from your merchant account profile).","Valores permitidos: ""paypal"", ""primary"" (padrão), valor_customizado (um estilo de página customizado da sua conta de comerciante)."
"Allowed Credit Card Types","Tipos de Cartão de Crédito Permitidos"
"Also affects mini-shopping cart.","Também afeta o mini carrinho de compras."
"Ask Customer","Perguntar para o Cliente"
"Attempted Authentication, Bad Result","Autenticação Realizada, Resultado Ruim"
"Attempted Authentication, Good Result","Autenticação Realizada, Resultado Bom"
"Auction Payment other than through eBay","Pagamento de Leilão sem ser do eBay"
"Authenticated, Bad Result","Autenticado, Resultado Ruim"
"Authenticated, Good Result","Autenticado, Resultado Bom"
"Authorization","Autorização"
"Authorization Honor Period (days)","Período de Honra de Autorização (dias)"
"Authorization transaction is required to void.","Uma transação de autorização é requerida para poder anular."
"Authorized amount of %s.","Quantia %s autorizada."
"Authorizing amount of %s is pending approval on gateway.","Quantia %s de autorização está pendente de aprovação pelo gateway."
"Auto","Auto"
"AutoSweep","AutoSweep"
"Available Balance","Saldo Disponível"
"Balance Manager Account Bonus","Gerenciador Bônus de Saldo de Conta"
"Billing Address","Endereço de Cobrança"
"Billing Agreement Signup ","Assinatura de Contrato de Compra "
"Billing Information","Informações de Cobrança"
"Bonus for first ACH Use","Bonus para primeiro uso do ACH"
"Buyer Credit Payment","Pagamento via Crédito do Comprador"
"Buyer\'s Tax ID","ID de Impostos do Comprador"
"Buyer\'s Tax ID Type","Tipo de ID de Impostos do Comprador"
"By default it is ""reports.paypal.com"".","O valor padrão é ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","Resultado da Verificação de CVV2 feita pela PayPal"
"Can not send new order email.","Impossível enviar email de novo pedido."
"Cannot create target file for reading reports.","Impossível criar o arquivo alvo para ler os relatórios."
"Centinel API URL","URL de API Centinel"
"Centinel Custom API URL","URL Customizada de API Centinel"
"Change Payment Method","Alterar Método de Pagamento"
"Change Shipping Address","Alterar Endereço de Envio"
"Charge-off","Charge-off"
"Chargeback","Estorno"
"Chargeback by customer.","Estorno realizado pelo cliente."
"Checkout with PayPal","Faça o Checkout usando a PayPal"
"Completion Date","Data de Realização"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Conectando ao servidor SFTP da PayPal para buscar os novos relatórios. Tem certeza que você deseja continuar?"
"Countries Payment Applicable From","Países Que o Pagamento é Aceito"
"Coupon Redemption","Resgate de Cupom"
"Credit","Crédito"
"Credit Card Settings","Configurações de Cartão de Crédito"
"Currency Conversion required to cover negative balance","Conversão de Moeda requerida para poder cobrir balanço negativo"
"Custom","Customizado"
"Custom Endpoint Hostname or IP-Address","Hostname de Endpoint ou Endereço IP Customizado"
"Custom Path","Caminho Customizado"
"Customer complaint.","Reclamação do cliente."
"Customer did not include a confirmed address.","O cliente não incluiu um endereço confirmado."
"Customer triggered a money-back guarantee.","O cliente acionou a garantia de devolução de dinheiro."
