"Express Checkout and Order have been canceled.","O Checkout Expresso e o Pedido foram cancelados."
"Express Checkout has been canceled.","O Checkout Expresso foi cancelado."
"Fetch","Buscar"
"PayPal Express Checkout (Payflow Edition) Shortcut Wrapper","Wrapper do Atalho para o PayPal Express Checkout (Payflow Edition)"
"PayPal Express Checkout Token does not exist.","O Token do Checkout Expresso PayPal não existe."
"PayPal Express Order Review Form","Formulário de Revisão de Pedido PayPal Express"
"PayPal Settlement Reports","Relatórios de Liquidações da PayPal"
"Payment has been declined. Please try again.","O pagamento foi recusado. Por favor tente novamente."
"Pending PayPal","Pendente na PayPal"
"Reports","Relatórios"
"Sales","Vendas"
"Solo","Solo"
"Switch/Maestro","Switch/Maestro"
"Unable to cancel Express Checkout.","Impossível cancelar o Checkout Expresso."
"Unable to initialize Express Checkout review.","Impossível iniciar a revisão do Checkout Expresso."
"Unable to place the order.","Impossível realizar o pedido."
"Unable to process Express Checkout approval.","Impossível processar a aprovação do Checkout Expresso."
"Unable to start Express Checkout.","Impossível iniciar o Checkout Expresso."
"Unable to update shipping method.","Impossível atualizar o método de envio."
"View","Visualizar"
"View Transaction","Visualizar Transação"
"Wrong PayPal Express Checkout Token specified.","O token especificado do Checkout Expresso PayPal é inválido."
"You will be redirected to the PayPal website in a few seconds.","Você será redirecionado ao site da PayPal em alguns segundos."
