"Abandoned Carts","Carrinhos Abandonados"
"Abandoned carts","Carrinhos abandonados"
"Action","Ações"
"Add to Cart","Adicionar ao Carrinho"
"Add to Compare","Adicionar a Lista de Comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Any","Qualquer"
"Applied Coupon","Cupom Utilizado"
"Applies to Any of the Specified Order Statuses","Aplicável a Qualquer um do Status de Pedido Especificados"
"Are you sure you want to refresh lifetime statistics? There can be performance impact during this operation.","Você tem certez que deseja atualizar as estatísticas totais? Pode haver um impacto de performance na loja durante a execução dessa operação."
"Are you sure?","Você tem certeza?"
"Avg. Approved Rating","Méd. de Avaliação Aprovada"
"Avg. Rating","Avaliação Méd."
"Bestsellers","Mais Vendidos"
"Bought from wishlists","Comprados através de lista de desejos"
"CSV","CSV"
"Carts","Carrinhos"
"Catalog Category (Without Subcategories)","Categoria de Catálogo (Sem Subcategorias)"
"Compared Products Grid Template","Template de Produtos Comparados via Grid"
"Compared Products List Template","Template de Produtos Comparados via Lista"
"Coupons","Cupons"
"Coupons Usage Report","Relatório de Uso de Cupons"
"Created At","Criado Em"
"Current Month Starts","Mês Atual Inicia Em"
"Customer","Cliente"
"Customer Name","Nome do Cliente"
"Customer Tags","Tags do Cliente"
"Customers","Clientes"
"Customers Report","Relatório de Clientes"
"Customers Reviews","Avaliações de Clientes"
"Customers Tags","Tags de Clientes"
"Customers by Number of Orders","Clientes por Número de Pedidos"
"Customers by Orders Total","Clientes por Total de Pedidos"
"Customers by number of orders","Clientes por numero de pedidos"
"Customers by orders total","Clientes por total de pedidos"
"Customers that have wishlist: %s%","Clientes que possuem uma lista de desejos: %s%"
"Dashboard","Dashboard"
"Day","Dia"
"Default Recently Compared Products Count","Contagem de Produtos Comparados Recentemente"
"Default Recently Viewed Products Count","Contagem de Produtos Visualizados Recentemente"
"Description","Descrição"
"Detail","Detalhes"
"Downloads","Downloads"
"Email","Email"
"Empty Rows","Linhas Vazias"
"Excel XML","Excel XML"
"Filter","Filtro"
"First Name","Primeiro Nome"
"From","De"
"Guest","Visitante"
"Hits","Acessos"
"ID","ID"
"IP Address","Endereço IP"
"Index model name must be defined","O Model de índice deve ser definido"
"Invalid date specified.","Data inválida especificada."
"Invoiced","Faturado"
"Items in Cart","Itens no Carrinho"
"Last Name","Sobrenome"
"Last Review","Ultima Avaliação"
"Link","Link"
"List of Products Recently Compared and Removed from the Compare List by Visitor","Lista de Produtos Comparados Recentemente e Removidos da Lista de Comparação por Visitante"
"List of Products Recently Viewed by Visitor","Lista de Produtos Visualizados Recentemente por Visitante"
"Low Stock","Estoque Baixo"
"Low stock","Estoque baixo"
"Match Period To","Corresponder Período Para"
"Month","Mês"
"Most Viewed","Mais Visualizados"
"Name","Nome"
"New Accounts","Novas Contas"
"No","Não"
"No records found for this period.","Nenhum registro encontrado para esse período."
"Number Added","Quantidade Adicionada"
"Number Fulfilled","Quantidade Cumprida"
"Number Of Reviews","Quantidade de Reviews"
"Number Purchased","Quantidade Comprada"
"Number Viewed","Quantidade Vista"
"Number of Items","Numero de Itens"
"Number of New Accounts","Quantidade de Contas Novas"
"Number of Products to display","Número de Produtos a serem exibidos"
"Number of Reviews","Quantidade de Avaliações"
"Number of Times Deleted","Quantidade de Deleções"
"Number of Total Tags","Quantidade Total de Tags"
"Number of Unique Tags","Quantidade de Tags Únicas"
"Number of Views","Número de Visualizações"
"Number of items bought from a wishlist: %s","Quantidade de itens comprados através de uma lista de desejos: %s"
"Number of times wishlists have been shared (emailed): %s","Quantidade de vezes que uma lista de desejos foi compartilhada (via email): %s"
"Number of wishlist conversions: %s","Quantidade de conversões via lista de desejos: %s"
"Number of wishlist referrals: %s","Quantidade de indicações via lista de desejos: %s"
"Number of wishlists: %s","Quantidade de listas de desejos: %s"
"Order Status","Status do Pedido"
"Order Taxes Report Grouped by Tax Rate","Relatório de Impostos de Pedidos Agrupados por Taxa de Imposto"
"Orders","Pedidos"
"Out of stock","Esgotado"
"Period","Período"
"Poducts Report","Relatório de Produtos"
"Popular Tags","Tags Populares"
"Popularity","Popularidade"
"Price","Preço"
"Product Name","Nome do Produto"
"Product Reviews","Avaliações do Produto"
"Product SKU","SKU do Produto"
"Product Tags","Tags do Produto"
"Products","Produtos"
"Products Ordered","Produtos Comprados"
"Products Report","Relatório de Produtos"
"Products Reviews","Avaliações de Produtos"
"Products Tags","Tags de Produtos"
"Products in carts","Produtos em carrinhos"
"Purchases","Compras"
"Quantity Ordered","Quantidade Comprada"
"Quantity of Items","Quantidade de Itens"
"Recently Compared","Comparados Recentemente"
"Recently Compared Products","Produtos Comparados Recentemente"
"Recently Viewed","Visualizado Recentemente"
"Recently Viewed Products","Produtos Visualizados Recentemente"
"Recently Viewed/Compared Products","Produtos Visualizados/Comparados Recentemente"
"Refresh Lifetime Statistics","Atualizar Estatísticas Totais"
"Refresh Statistics","Atualizar Estatísticas"
"Refresh Statistics for the Last Day","Atualizar Estatísticas do Último Dia"
"Refunds","Reembolsos"
"Report","Relatório"
"Reports","Relatórios"
"Results","Resultados"
"Revenue","Lucro"
"Review","Avaliação"
"Reviews","Avaliações"
"Reviews for %s","Avaliações para %s"
"Sales","Vendas"
"Sales Report","Relatório de Vendas"
"Search Query","Query de Pesquisa"
"Search Terms","Termos de Pesquisa"
"Select day of the month.","Selecione um dia do mês."
"Shipping","Envio"
"Shopping Cart","Carrinho de Compras"
"Show Actual Values","Mostrar Valores Reais"
"Show Report","Mostrar Relatório"
"Show for Current","Mostrar Atual"
"Specified","Especificado"
"Statistics","Estatísticas"
"Stock Qty","Qtd em Estoque"
"Submitted In","Enviado Em"
"Submitted On","Enviado Em"
"Subtotal","Subtotal"
"Tag","Tag"
"Tag ""%s"" details","Detalhes da tag ""%s"""
"Tag Detail","Detalhe da Tag"
"Tag Name","Nome da Tag"
"Tag Use","Uso da Tag"
"Tags Submitted by %s","Tags Enviadas por %s"
"Tags submitted to %s","tags enviadas para %s"
"Tax","Imposto"
"Title","Título"
"To","Para"
"Total","Total"
"Total Invoiced vs. Paid Report","Relatório de Total Faturado vs Total Pago"
"Total Ordered Report","Relatório de Total de Compras"
"Total Refunded Report","Relatório de Total de Reembolsos"
"Total Shipped Report","Relatório de Total Enviado"
"Total Tags","Tags de Total"
"Total invoiced","Total faturado"
"Total refunded","Total reembolsado"
"Updated At","Atualizado Em"
"Viewed Products Grid Template","Template em Grid de Produtos Vistos"
"Viewed Products List Template","Template em Lista de Produtos Vistos"
"Visible In","Visível Em"
"Wishlist Report","Relatório de Lista de Desejos"
"Wishlist vs. Regular Order","Lista de Desejos vs Pedidos Normais"
"Wishlists","Listas de Desejos"
"Year","Ano"
"Year-To-Date Starts","Inícios de Ano-Data"
"Yes","Sim"
"Your Recently Compared","Comparados Recentemente por Você"
"Your Recently Viewed","Visualizados Recentemente por Você"
"undefined","indefinido"
