"%s - Discounts and Coupons","%s - Descontos e Cupons"
"%s - Special Products","%s - Produtos Especiais"
"%s RSS Feed","%s Feed RSS"
"%s has reached a quantity of %s.","%s atingiu a quantidade de %s."
"%s\'s Wishlist","Lista de Desejos de %s"
"Cannot retrieve the wishlist","Impossível trazer os dados da lista de desejos"
"Catalog","Catálogo"
"Category Feeds","Feeds de Categoria"
"Click for price","Clique para ver o preço"
"Comment: %s<br/>","Comentário: %s<br/>"
"Coupons/Discounts","Cupons/Descontos"
"Current Status: %s<br/>","Status Atual: %s<br/>"
"Customer Name: %s","Nome do Cliente: %s"
"Customer Order Status Notification","Notificação de Status de Pedido de Cliente"
"Details for %s #%s","Detalhes para %s #%s"
"Discount","Desconto"
"Discount (%s)","Desconto (%s)"
"Enable RSS","Ativar RSS"
"Error in processing xml. %s","Erro ao processar o xml. %s"
"From:","De:"
"Get Feed","Baixar Feed"
"Gift Message","Mensagem de Presente"
"Grand Total","Total"
"Low Stock Products","Produtos com Estoque Baixo"
"Message:","Mensagem:"
"Miscellaneous Feeds","Feeds Diversos"
"New Orders","Novos Pedidos"
"New Products","Novos Produtos"
"New Products from %s","Novos Produtos de %s"
"Notified Date: %s<br/>","Data de Notificação: %s<br/>"
"Order # %s Notification(s)","Notificações do Pedido # %s"
"Order #%s created at %s","O pedido #%s foi criado em %s"
"Pending product review(s)","Avaliação(es) de produto pendente(s)"
"Product: ""%s"" review By: %s","Produto: ""%s"" avaliado Por: %s"
"Product: <a href=""%s"">%s</a> <br/>","Produto: <a href=""%s"">%s</a> <br/>"
"Products tagged with %s","Produtos com a tag %s"
"Purchased From: %s","Comprado Em: %s"
"RSS","RSS"
"RSS Feeds","Feeds RSS"
"RSS Feeds List","Lista de Feeds RSS"
"Review: %s <br/>","Avaliação: %s <br/>"
"Rss Config","Config de Rss"
"Rss Feeds Section","Sessão de Feeds Rss"
"Shipping &amp; Handling","Envio &amp; Manuseio"
"Special Products","Produtos Especiais"
"Store: %s <br/>","Loja: %s <br/>"
"Subtotal","Subtotal"
"Summary of review: %s <br/>","Sumário da avaliação: %s <br/>"
"Tags Products","Produtos com Tags"
"Tax","Imposto"
"There are no Rss Feeds","Não existe nenhum Feed Rss"
"To:","Para:"
"Top Level Category","Categoria Topo"
"Total: %s<br/>","Total: %s<br/>"
"Wishlist","Lista de Desejos"
"click <a href=""%s"">here</a> to view the review","clique <a href=""%s"">aqui</a> para ver a avaliação"
