"""%s"" coupon code is not valid.","O cupom ""%s"" não é válido."
"%s","%s"b
"%s / %s rate:","Taxa %s / %s:"
"%s for %s","%s para %s"
"%s order(s) cannot be canceled","%s pedido(s) não pode(m) ser cancelado(s)"
"%s order(s) have been canceled.","%s pedido(s) foi/foram cancelado(s)."
"%s order(s) have been put on hold.","%s pedido(s) foi/foram colocado(s) em espera."
"%s order(s) have been released from holding status.","%s pedido(s) foi/foram retirado(s) da espera."
"%s order(s) were not put on hold.","%s pedido(s) não foi/foram colocado(s) em espera."
"%s order(s) were not released from holding status.","%s pedido(s) não foi/foram retirado(s) da espera."
"* - Enter custom price excluding tax","* - Digite um preço customizado excluíndo os impostos"
"* - Enter custom price including tax","* - Digite um preço customizado incluíndo os impostos"
"-- Please Select --","-- Favor Selecionar --"
"-- Please Select Billing Agreement--","-- Favor Selecionar um Contrato de Compra --"
"About This Order:","Sobre Esse Pedido:"
"About This Profile:","Sobre Esse Perfil:"
"About Your Invoice","Sobre Sua Fatura"
"About Your Order","Sobre Seu Pedido"
"About Your Refund","Sobre Seu Reembolso"
"About Your Shipment","Sobre Seu Envio"
"Accept Payment","Aceitar Pagamento"
"Accept or Deny Payment","Aceitar ou Recusar Pagamento"
"Account Information","Informações da Conta"
"Action","Ação"
"Actions","Ações"
"Activate","Ativar"
"Active","Ativo"
"Add","Adicionar"
"Add New Address","Adicionar Novo Endereço"
"Add Order Comments","Adicionar Comentários ao Pedido"
"Add Package","Adicionar Pacote"
"Add Products","Adicionar Produtos"
"Add Selected Product(s) to Option","Adiconar Produto(s) Selecionado(s) a Opção"
"Add Selected Product(s) to Order","Adicionar Produto(s) Selecionado(s) ao Pedido"
"Add Selected Product(s) to Package","Adicionar Produto(s) Selecionado(s) ao Pacote"
"Add To Order","Adicionar ao Pedido"
"Add Tracking Number","Adicionar Código de Rastreio"
"Add comment to order","Adicionar comentário ao pedido"
"Add new comment to shipment","Adicionar novo comentário ao envio"
"Add new tracking number","Adicionar novo código de rastreio"
"Add to Cart","Comprar"
"Additional Product Info","Info Adicional do Produto"
"Address","Endereço"
"Address model is not defined.","O modelo de endereço não está definido."
"Adjustment Fee","Tarifa de Ajuste"
"Adjustment Refund","Reembolso de Ajuste"
"Agreement Information","Informações de Contrato"
"Allow Reorder","Permitir Recompra"
"Amount","Quantidade"
"Amount: %s.","Quantidade: %s."
"An error occurred while assigning order status. Status has not been assigned.","Ocorreu um erro ao atribuir o status ao pedido. O status não foi atribuído"
"An error occurred while creating shipping label.","Ocorreu um erro ao criar o rótulo de envio."
"An error occurred while saving order status. The status has not been added.","Ocorreu um erro ao salvar o status do pedido. O status não foi adicionado"
"An error occurred while unassigning order status.","Ocorreu um erro ao retirar o status do pedido."
"An error occurred while updating the order address. The address has not been changed.","Ocorreu um erro ao atualizar o endereço do pedido. O endereço não foi alterado"
"An item option with code %s already exists.","Já existe uma opção de item com o código %s já."
"Anchor Custom Title","Título de Anchor Customizado"
"Append Comments","Anexar Comentários"
"Apply","Aplicar"
"Apply Coupon Code","Aplicar Cupom"
"Approved the payment online.","Aprovou o pagamento online."
"Are you sure you want to accept this payment?","Tem certeza que deseja aceitar esse pagamento?"
"Are you sure you want to cancel this order?","Tem certeza que deseja cancelar esse pedido?"
"Are you sure you want to deny this payment?","Tem certeza que deseja recusar esse pagamento"
"Are you sure you want to do this?","Tem certeza que deseja fazer isso?"
"Are you sure you want to send Creditmemo email to customer?","Tem certeza que deseja enviar o Memo de Crédito ao cliente?"
"Are you sure you want to send Invoice email to customer?","Tem certeza que deseja enviar o email de Fatura para o cliente?"
"Are you sure you want to send Shipment email to customer?","Tem certeza que deseja enviar o email de Envio para o cliente?"
"Are you sure you want to send order email to customer?","Tem certeza que deseja enviar o email de Pedido para o cliente?"
"Are you sure you want to void the payment?","Tem certeza que deseja anular o pagamento?"
"Are you sure?","Tem certeza?"
"Are you sure? This order will be canceled and a new one will be created instead","Tem certeza? Esse pedido será cancelado e um novo será criado no seu lugar"
"Assign Order Status to State","Atribuir Status de Pedido a um Estado"
"Assign Status to State","Atribuir Status a um Estado"
"Assignment Information","Informações de Atribuição"
"At least a payment ID must be set.","Pelo menos o ID do pagamento deve ser setado."
"Authorization","Autorização"
"Authorized amount of %s.","Um valor de %s foi autorizado."
"Authorizing amount of %s is pending approval on gateway.","Um valor de %s está aguardando autorização pelo gateway."
"Back","Voltar"
"Back to Billing Agreements","Voltar para Meus Contratos de Compra"
"Back to My Orders","Voltar para Meus Pedidos"
"Back to Recurring Profiles","Voltar para Cobranças Recorrentes"
"Backordered","Sob Encomenda"
"Bestsellers","Mais Vendidos"
"Bill to Name","Cobrança para o Nome"
"Billing","Cobrança"
"Billing Address","Endereço de Cobrança"
"Billing Agreement","Contrato de Compra"
"Billing Agreement # %s","Contrato de Compra # %s"
"Billing Agreement #%s","Contrato de Compra #%s"
"Billing Agreement View","View de Contrato de Compra"
"Billing Agreements","Contratos de Compra"
"Billing Last Name","Sobrenome de Cobrança"
"Billing ZIP Code","CEP de Cobrança"
"Buy %s for price %s","Compre %s pelo valor de %s"
"CSV","CSV"
"Cancel","Cancelar"
"Cancel invoice","Cancelar fatura"
"Cancel order","Cancelar pedido"
"Canceled","Cancelado"
"Canceled order offline.","Pedido cancelado de forma offline."
"Canceled order online.","Pedido cancelado de forma online."
"Cannot add order history.","Impossível adicionar histórico de pedido."
"Cannot create an empty shipment.","Impossível criar uma remessa vazia."
"Cannot determine the field name.","Impossível determinar o nome do campo."
"Cannot do invoice for order.","Impossível realizar o faturamento do pedido."
"Cannot do shipment for order.","Impossível realizar a remessa do pedido."
"Cannot get order instance","Impossível trazer a instância de pedido"
"Cannot get the order instance.","Impossível trazer a instância do pedido."
"Cannot register an existing credit memo.","Impossível registrar uma nota de crédito já existente."
"Cannot register existing invoice","Impossível registrar uma fatura já existente"
"Cannot register existing shipment","Impossível registrar uma remessa já existente"
"Capture","Capturar"
"Capture Amount","Capturar Quantia"
"Capture Offline","Captura Offline"
"Capture Online","Captura Online"
"Capture invoice","Capturar Fatura"
"Captured amount of %s online.","Um valor de %s foi capturado de forma online."
"Capturing amount of %s is pending approval on gateway.","Um valor capturado de %s está aguardando por aprovação do gateway."
"Carrier","Transportadora"
"Carrier/Method","Transportadora/Método"
"Change status, add comments","Alterar status, adicionar comentários"
"Changing address information will not recalculate shipping, tax or other order amount.","Alterar as informações de endereço não fará com que o frete, impostos e outros valores do pedido sejam recalculados."
"Checkout Totals Sort Order","Ordem de Classificação dos Totais no Checkout"
"City","Cidade"
"Click to change shipping method","Clique para alterar o método de envio"
"Close","Fechar"
"Closed","Fechado"
"Comma-separated.","Separado por vírgula."
"Comment","Comentário"
"Comment Text","Texto do Comentário"
"Comments","Comentários"
"Comments History","Histórico de Comentários"
"Company","Companhia"
"Complete","Completar"
"Configure","Configurar"
"Configure and Add to Order","Configurar e Adicionar ao Pedido"
"Contents","Conteúdo"
"Continue","Continuar"
"Country","País"
"Coupons","Cupons"
"Create","Criar"
"Create New Customer","Criar Novo Cliente"
"Create New Order","Criar Novo Pedido"
"Create New Order Status","Criar Novo Status de Pedido"
"Create New Order for %s","Criar Novo Pedido para %s"
"Create New Order for %s in %s","Criar Novo Pedido para %s na %s"
"Create New Order for New Customer","Criar Novo Pedido para Novo Cliente"
"Create New Order for New Customer in %s","Criar Novo Pedido para Novo Cliente na %s"
"Create New Status","Criar Novo Status"
"Create Packages","Criar Pacotes"
"Create Shipment","Criar Remessa"
"Create Shipping Label","Criar Etiqueta de Envio"
"Create Shipping Label...","Criar Etiqueta de Envio..."
"Create new invoice for order","Criar nova fatura para o pedido"
"Create new shipment for order","Criar nova remessa para o pedido"
"Create...","Criar..."
"Created At","Criado Em"
"Created billing agreement #%s.","O Contrato de Compra #%s foi criado."
"Created:","Criado:"
"Credit Memo","Nota de Crédito"
"Credit Memo #","Nota de Crédito #"
"Credit Memo # ","Nota de Crédito # "
