"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d Regras de Preço de Carrinho baseadas no atributo ""%s"" foram desativadas."
"Actions","Ações"
"Active","Ativo"
"Add New Rule","Adicionar Nova Regra"
"Apply","Aplicar"
"Apply To","Aplicar Para"
"Apply the rule only if the following conditions are met (leave blank for all products)","Aplicar a regra somente se as seguintes condições forem satisfeitas (deixe em branco para todos os produtos)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Aplicar a regra somente a itens do carrinho que satisfazerem as seguintes condições (deixe em branco para todos os itens)"
"Apply the rule to cart items matching the following conditions","Apply the rule to cart items matching the following conditions"
"Apply to Shipping Amount","Aplicar ao Valor do Frete"
"Auto","Auto"
"Buy X get Y free (discount amount is Y)","Compre X ganhe Y grátis (o valor do desconto é Y)"
"By Fixed Amount","Por Quantia Fixa"
"By Fixed value","Por Valor fixo"
"By Percentage","Por Porcentagem"
"By Percentage of the Original Price","Por Porcentagem do Preço Original"
"Can\'t acquire coupon.","Impossível adquirir o cupom."
"Cart Attribute","Atributo do Carrinho"
"Catalog","Catálogo"
"Conditions","Condições"
"Conditions combination","Combinação de condições"
"Coupon","Cupom"
"Coupon Code","Código de Cupom"
"Customer Groups","Grupos de Cliente"
"Customer is new buyer: %s","Cliente é um novo comprador: %s"
"Customer registered: %s","Cliente registrado: %s"
"Date Expire","Data de Vencimento"
"Date Start","Data de Início"
"Default Label","Rótulo Padrão"
"Default Rule Label for All Store Views","Rótulo Padrão da Regra para Todas as Views de Loja"
"Delete Rule","Deletar Regra"
"Description","Descrição"
"Description: %s","Descrição: %s"
"Discount Amount","Valor do Desconto"
"Discount Qty Step (Buy X)","Passo de Qtd de Desconto (Compre X)"
"Edit Rule","Editar Regra"
"Edit Rule '%s'","Editar Regra '%s'"
"Expire at: %s","Vence em: %s"
"FOUND","ENCONTRADO"
"Fixed amount discount","Desconto de valor fixo"
"Fixed amount discount for whole cart","Desconto de valor fixo para todo o carrinho"
"For matching items only","Apenas para itens que corresponderem"
"For shipment with matching items","Para remessas com itens que corresponderem"
"Free Shipping","Frete Grátis"
"From Date","A Partir De"
"General Information","Informações Gerais"
"ID","ID"
"Inactive","Inativo"
"Item totals are not set for rule.","Os totais do item não estão setados para a regra."
"Labels","Rótulos"
"Maximum Qty Discount is Applied To","Desconto de Qtd Máxima é Aplicado Para"
"NOT FOUND","NãO ENCONTRADO"
"NOT LOGGED IN","NãO LOGADO"
"Name: %s","Nome: %s"
"New Rule","Nova Regra"
"No","Não"
"No Coupon","Sem Cupom"
"Number of Uses","Número de Utilizações"
"Payment Method","Método de Pagamento"
"Percent of product price discount","Porcentagem de desconto do preço do produto"
"Period","Período"
"Price in cart","Preço no carrinho"
"Priority","Prioridade"
"Product attribute combination","Combinação de atributo de produto"
"Products subselection","Subseleção de Produtos"
"Promotions","Promoções"
"Public In RSS Feed","Público no Feed RSS"
"Quantity in cart","Quantidade no carrinho"
"Row total in cart","Total da linha no carrinho"
"Rule Information","Informações da Regra"
"Rule Name","Nome da Regra"
"Sales Discount Amount","Valor do Desconto de Venda"
"Sales Subtotal Amount","Valor do Subtotal de Venda"
"Sales Total Amount","Valor do Total de Venda"
"Save Rule","Salvar Regra"
"Save and Continue Edit","Salvar e Continuar Editando"
"Shipping Country","País de Envio"
"Shipping Method","Método de Envio"
"Shipping Postcode","CEP de Envio"
"Shipping Region","Região de Envio"
"Shipping State/Province","Estado de Envio"
"Shopping Cart Price Rule","Regra de Preço de Carrinho de Compras"
"Shopping Cart Price Rules","Regras de Preço de Carrinho de Compras"
"Special Price","Preço Especial"
"Specific Coupon","Cupom Específico"
"Start at: %s","Inicia Em: %s"
"Status","Status"
"Stop Further Rules Processing","Parar e Não Processar Nenhuma Regra Depois Dessa"
"Store View Specific Labels","Rótulos Específicos da View da Loja"
"Subtotal","Subtotal"
"Subtotal Amount","Valor de Subtotal"
"The rule has been deleted.","A regra foi deletada com sucesso."
"The rule has been saved.","A regra foi salva com sucesso."
"This rule no longer exists.","Essa regra não existe mais."
"To Date","Até a Data"
"To Fixed Amount","Até Uma Quantia Fixa"
"To Fixed Value","Até Um Valor Fixo"
"To Percentage","Até Uma Porcentagem"
"To Percentage of the Original Price","Até uma Porcentagem do Preço Original"
"Total","Total"
"Total Amount","Valor Total"
"Total Items Quantity","Quantidade Total de Itens"
"Total Weight","Peso Total"
"Unable to find a rule to delete.","Impossível encontrar a regra a ser deletada."
"Update Prices Using the Following Information","Atualizar os Preços Usando a Seguinte Informação"
"Update prices using the following information","Atualizar os preços usando a seguinte informação"
"Update product's %s %s: %s","Atualizar o item do produto %s %s: %s"
"Update the Product","Atualizar o Produto"
"Uses per Coupon","Usos por Cupom"
"Uses per Customer","Usos Por Cliente"
"Wrong rule specified.","Regra errada especificada."
"Yes","Sim"
