"Action","Ação"
"Add Sitemap","Adicionar Sitempa"
"Always","Sempre"
"CMS Pages Options","Opções de Páginas CMS"
"Categories Options","Opções de Categorias"
"Daily","Diariamente"
"Edit Sitemap","Editar Sitemap"
"Enabled","Ativado"
"Error Email Recipient","Destinatário do Email de Erro"
"Error Email Sender","Remetente do Email de Erro"
"Error Email Template","Template do Email de Erro"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","O arquivo ""%s"" não pode ser salvo. Por favor, dê permissões de escrita ao webserver no diretório ""%s""."
"Filename","Nome do arquivo"
"Frequency","Frequência"
"Generate","Gerar"
"Generation Settings","Configurações de Geração"
"Google Sitemap","Google Sitemap"
"Hourly","De Hora em Hora"
"ID","ID"
"Last Time Generated","Última Vez que o Arquivo Foi Gerado"
"Link for Google","Link para o Google"
"Monthly","Mensal"
"Never","Nunca"
"New Sitemap","Novo Sitemap"
"Path","Caminho"
"Please create the specified folder ""%s"" before saving the sitemap.","Por favor crie a pasta ""%s"" especificada antes de salvar um sitemap."
"Please define correct path","Por favor defina o caminho correto"
"Please make sure that ""%s"" is writable by web-server.","Por favor certifique-se que o webserver possui permissões de escrita no caminho ""%s""."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","Por favor use apenas letras (a-z ou A-Z), números (0-9) ou underlines (_) no nome do arquivo. Espaços e outros caracteres não são permitidos."
"Priority","Prioridade"
"Products Options","Opções de Produtos"
"Sitemap","Sitemap"
"Sitemap generate Warnings","O Sitemap deve gerar Alertas"
"Start Time","Hora de Início"
"Store View","View da Loja"
"The priority must be between 0 and 1.","A prioridade deve ser entre 0 e 1."
"The sitemap ""%s"" has been generated.","O sitemap ""%s"" foi gerado com sucesso."
"The sitemap has been deleted.","O sitemap foi deletado com sucesso."
"The sitemap has been saved.","O sitemap foi salvo com sucesso."
"This sitemap no longer exists.","Esse sitemap não existe mais."
"Unable to find a sitemap to delete.","Impossível encontrar um sitemap para deletar."
"Unable to find a sitemap to generate.","Impossível encontrar um sitemap para gerar."
"Unable to generate the sitemap.","Impossível gerar o sitemap."
"Valid values range: from 0.0 to 1.0.","Faixa de valores válida: de 0.0 até 1.0."
"Weekly","Semanal"
"Yearly","Anual"
