"# of Uses","# of Uses"
"<strong>Tag Name:</strong> %s","<strong>Nome da Tag:</strong> %s"
"Action","Ação"
"Add New Tag","Adicionar Nova Tag"
"Add Tags","Adicionar Tags"
"Add Your Tags:","Adicionar Suas Tags:"
"Add to Cart","Comprar"
"Add to Wishlist","Adicionar a Lista de Desejos"
"All Tags","Todas as Tags"
"Approved","Aprovado"
"Are you sure you want to delete this tag?","Você tem certeza que deseja deletar essa tag?"
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"Are you sure?","Você tem certeza?"
"Back","Voltar"
"Back to Tags List","Voltar a Lista de Tags"
"Base Popularity","Popularidade Base"
"Block Information","Informações do Bloco"
"CSV","CSV"
"Catalog Product View","View de Produto do Catálogo"
"Change status","Mudar status"
"Click on a tag to view your corresponding products.","Clique em uma tag para ver os produtos correspondentes."
"Country","País"
"Customer My Account My Tags List","Lista das Minhas Tags da Minha Conta de Cliente"
"Customer My Account Tag View","View de Tags da Minha Conta de Cliente"
"Customer Since","Cliente Desde"
"Customers","Clientes"
"Customers Submitted this Tag","Clientes Enviaram essa Tag"
"Customers Tagged '%s'","Clientes marcaram '%s' com uma Tag"
"Delete","Deletar"
"Delete Tag","Deletar Tag"
"Disabled","Desativado"
"Edit Tag '%s'","Editar Tag '%s'"
"Email","Email"
"First Name","Nome"
"General Information","Informações Gerais"
"Grid","Grid"
"ID","ID"
"Last Name","Sobrenome"
"List","Lista"
"Manage Tags","Gerenciar Tags"
"My Recent Tags","Minhas Tags Recentes"
"My Tags","Minhas Tags"
"Name","Nome"
"New Tag","Nova Tag"
"No matches found.","Nenhuma correspondência encontrada."
"Other people marked this product with these tags:","Outras pessosa marcaram esse produto com essas tags:"
"Pending","Pendente"
"Pending Tags","Tags Pendentes"
"Popular","Popular"
"Popular Tags","Tags Populares"
"Price","Preço"
"Product Name","Nome do Produto"
"Product SKU","SKU do Produto"
"Product Tags","Tags do Produto"
"Products","Produtos"
"Products Tagged by Administrators","Produtos Marcados com Tags por Administradores"
"Products Tagged by Customers","Produtos Marcados com Tags por Clientes"
"Products Tagged with '%s'","Produtos Marcados com a Tag '%s'"
"Products tagged with '%s'","Produtos marcados com a tag '%s'"
"Rebuild Tag aggregation data","Recriar dados de agregação de tags"
"SKU","SKU"
"Save Tag","Salvar Tag"
"Save and Continue Edit","Salvar e Continuar Editando"
"Status","Status"
"Store View","View da Loja"
"Tag","Tag"
"Tag ""%s"" has already been added to the product.","A tag ""%s"" já foi adicionada a esse produto."
"Tag ""%s"" has been added to the product.","A tag ""%s"" foi adicionada com sucesso ao produto."
"Tag ""%s"" has been rejected by administrator.","A tag ""%s"" foi rejeitada por um administrador."
"Tag Aggregation Data","Dados de Agregação de Tags"
"Tag Name","Nome da Tag"
"Tagged Products List","Lista de Produtos Marcados com Tags"
"Tags","Tags"
"Tags List (All Available)","Lista de Tags (Todas Disponíveis)"
"Tags List Before","Exibido Antes da Lista de Tags"
"Tags:","Tags:"
"Telephone","Telefone"
"The tag has been deleted.","A tag foi deletada com sucesso."
"There are no tags available.","Não existem tags disponíveis."
"Unable to find any products tagged with '%s' in the current store","Impossível encontrar produtos que contenham a tag '%s' na loja atual"
"Unable to remove tag. Please, try again later.","Impossível remover a tag. Tente novamente mais tarde."
"Unable to save tag(s).","Impossível salvar a(s) tag(s)."
"Use spaces to separate tags. Use single quotes (') for phrases.","Use espaços para separar as tags. Use aspas simples (') para frases."
"View All Tags","Ver Todas as Tags"
"View Customers","Ver Clientes"
"View Products","Ver Produtos"
"XML","XML"
"You have not tagged any products yet.","Você ainda não marcou nenhum produto com uma tag."
"ZIP/Post Code","CEP"
