"'*' - matches any; 'xyz*' - matches any that begins on 'xyz' and not longer than %d.","'*' - corresponde todos; 'xyz*' - corresponde qualquer um que comece com 'xyz' mas não seja maior que %d."
"-- Please Select --","-- Favor Selecionar --"
"Add New Class","Adicionar Nova Classe"
"Add New Tax Rate","Adicionar Nova Taxa de Imposto"
"Add New Tax Rule","Adicionar Nova Regra de Imposto"
"After Discount","Depois do Desconto"
"An error occurred while deleting this rate.","Ocorreu um erro ao deletar essa taxa."
"An error occurred while deleting this rate. Incorrect rate ID.","Ocorreu um erro ao deletar essa taxa. ID de taxa inválido."
"An error occurred while deleting this tax class.","Ocorreu um erro ao deletar essa classe de imposto."
"An error occurred while deleting this tax rule.","Ocorreu um erro ao deletar essa regra de imposto."
"An error occurred while saving this rate.","Ocorreu um erro ao salvar essa taxa."
"An error occurred while saving this tax class.","Ocorreu um erro ao salvar essa classe de imposto."
"An error occurred while saving this tax class. A class with the same name already exists.","Ocorreu um erro ao salvar essa classe de imposto. Uma classe com o mesmo nome já existe."
"An error occurred while saving this tax rule.","Ocorreu um erro ao salvar essa regra de imposto."
"Apply Customer Tax","Aplicar Imposto de Cliente"
"Apply Discount On Prices","Aplicar Desconto Nos Preços"
"Apply Tax On","Aplicar Imposto Em"
"Apply discount on price including tax is calculated based on store tax, if ""Apply Tax after Discount"" is selected.","A aplicação de desconto no preço incluíndo impostos é calculada com base no imposto da loja, caso ""Aplicar Imposto Depois do Desconto"" esteja selecionado."
"Are you sure you want to do this?","Você tem certeza que deseja fazer isso?"
"Back","Voltar"
"Before Discount","Antes do Desconto"
"CSV","CSV"
"Calculation Settings","Configurações de Cálculo"
"Catalog Prices","Preços de Catálogo"
"Class Name","Nome da Classe"
"Code","Código"
"Country","País"
"County","Município"
"Custom price if available","Preço customizado caso disponível"
"Customer Tax Class","Classe de Imposto de Cliente"
"Customer Tax Class Information","Informações de Classe de Imposto de Cliente"
"Customer Tax Classes","Classes de Imposto de Cliente"
"Default Country","País Padrão"
"Default Post Code","CEP Padrão"
"Default State","Estado Padrão"
"Default Tax Destination Calculation","Cálculo de Imposto Padrão de Destino"
"Delete Class","Deletar Classe"
"Delete Rate","Deletar Taxa"
"Delete Rule","Deletar Regra"
"Display Full Tax Summary","Exibir Sumário Completo da Taxa"
"Display Prices","Exibir Preços"
"Display Product Prices In Catalog","Exibir Preços do Produto no Catálogo"
"Display Shipping Amount","Exibir Valor do Frete"
"Display Shipping Prices","Exibir Preços de Frete"
"Display Subtotal","Exibir Subtotal"
"Display Zero Tax Subtotal","Exibir Subtotal de Taxa Zero"
"Edit Class","Editar Classe"
"Edit Class '%s'","Editar Classe '%s'"
"Edit Rule","Editar Regra"
"Edit Tax Rate","Editar Taxa de Imposto"
"Excel XML","Excel XML"
"Excl. Tax","Excl. Impostos"
"Excl. Tax:","Excl. Impostos:"
"Excluding Tax","Excluíndo Impostos"
"Export Tax Rates","Exportar Taxas de Imposto"
"Grand Total (Excl. Tax)","Total (Excl. Impostos)"
"Grand Total (Excl.Tax)","Total (Excl.Impostos)"
"Grand Total (Incl. Tax)","Total (Incl. Impostos)"
"Grand Total (Incl.Tax)","Total (Incl.Impostos)"
"Grand Total Excl. Tax","Total Excl. Impostos"
"Grand Total Incl. Tax","Total Incl. Impostos"
"Import / Export Tax Rates","Importar / Exportar Taxas de Imposto"
"Import Tax Rates","Importar Taxas de Imposto"
"Inc. Tax","Inc. Impostos"
"Incl. Tax","Incl. Impostos"
"Incl. Tax:","Incl. Impostos:"
"Include Tax In Grand Total","Incluír Impostos no Total"
"Including Tax","Incluíndo Impostos"
"Including and Excluding Tax","Incluíndo e Excluíndo Impostos"
