" was not delivered nor scanned"," não foi entregue ou escaneado"
"1 Day Freight","1 Day Freight"
"2 Day","2 Day"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"2nd Day Air","2nd Day Air"
"2nd Day Air AM","2nd Day Air AM"
"2nd Day Air AM Letter","2nd Day Air AM Letter"
"2nd Day Air Letter","2nd Day Air Letter"
"3 Day Freight","3 Day Freight"
"3 Day Select","3 Day Select"
"Access ID","ID de Acesso"
"Access License Number","Número de Licença de Acesso"
"Account ID","ID da Conta"
"Account Number","Número da Conta"
"Additional Protection Configuration Value","Valor de Configuração da Proteção Adicional"
"Additional Protection Enabled","Ativar Proteção Adicional"
"Additional Protection Min Subtotal","Subtotal Min da Proteção Adicional"
"Additional Protection Value","Valor de Proteção Adicional"
"Additional Protection Value Rounding Method","Método de Arredondamento do Valor de Proteção Adicional"
"Adult","Adulto"
"Adult Signature Required","Assinatura de um Adulto Obrigatória"
"Allowed Methods","Métodos Permitidos"
"Bound Printed Matter","Bound Printed Matter"
"Business Service Center","Centro de Serviço de Negócios"
"Calculate Handling Fee","Calcular Tarifa de Manuseio"
"Canada Standard","Canada Standard"
"Cannot retrieve shipping rates","Impossível obter taxas de envio"
"Commercial","Comercial"
"Configuration","Configurações"
"Container","Container"
"Customer Packaging","Embalagem do Cliente"
"Customer Supplied Package","Embalagem por Conta do Cliente"
"DHL","DHL"
"Debug","Depurar"
"Default Package Height","Altura Padrão do Pacote"
"Default Package Length","Comprimento Padrão do Pacote"
"Default Package Width","Largura Padrão do Pacote"
"Delivered","Entregue"
"Delivery Confirmation","Confirmação de Entrega"
"Destination Type","Tipo de Destino"
"Development","Desenvolvimento"
"Direct","Direto"
"Displayed Error Message","Mensagem de Erro Exibida"
"Documents","Documentos"
"Domestic Shipment Days","Dias de Envios Domésticos"
"Drop Box","Drop Box"
"Dropoff","Dropoff"
"Empty response","Resposta vazia"
"Enable Negotiated Rates","Ativar Tarifas Negociadas"
"Enabled for Checkout","Ativada para Checkout"
"Enables/Disables SSL verification of Magento server by UPS.","Ativa/Desativa a verificação SSL do servidor do Magento feita pela UPS."
"Error #%s : %s (%s)","Erro #%s : %s (%s)"
"Error #%s: %s","Erro #%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30 AM"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"Failed to parse xml document: %s","Erro ao processar o documento xml: %s"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Flat"
"Flat-Rate Box","Flat-Rate Box"
"Flat-Rate Envelope","Flat-Rate Envelope"
"Free Method","Método Grátis"
"Free Shipping with Minimum Order Amount","Frete Gratís para Valor Mínimo de Pedido"
"Freight","Frete"
"Gateway URL","URL do Gateway"
"Gateway XML URL","URL do XML do Gateway"
"Gift","Presente"
"Girth","Circunferência"
"Ground","Ground"
"Ground Commercial","Ground Commercial"
"Ground Residential","Ground Residential"
"Handling Applied","Manuseio Aplicado"
"Handling Fee","Tarifa de Manuseio"
"Height","Altura"
"Home Delivery","Entrega em Casa"
"Indirect","Indireto"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Ground","International Ground"
"International Priority","International Priority"
"International Shipment Days","International Shipment Days"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Key","Chave"
"Kilograms","Kilogramas"
"Large","Grande"
"Large Express Box","Large Express Box"
"Length","Comprimento"
"Letter","Letter"
"Library","Biblioteca"
"Live","Live"
"Machinable","Maquinável"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Peso Máximo de Pacote (Por favor consulte a sua empresa de envio para saber o peso máximo de pacote)"
"Media Mail","Media Mail"
"Medium Express Box","Medium Express Box"
"Merchandise","Merchandise"
"Meter Number","Metragem"
"Minimum Order Amount for Free Shipping","Valor Mínimo de Pedido para Frete Grátis"
"Minimum Package Weight (Please consult your shipping carrier for minimum supported shipping weight)","Peso Mínimo de Pacote (Por favor consulte a sua empresa de envio para saber o peso máximo de pacote)"
"Mode","Modo"
"National Freight","National Freight"
"Next Afternoon","Next Afternoon"
"Next Day Air","Next Day Air"
"Next Day Air Early AM","Next Day Air Early AM"
"Next Day Air Early AM Letter","Next Day Air Early AM Letter"
"Next Day Air Intra (Puerto Rico)","Next Day Air Intra (Puerto Rico)"
"Next Day Air Letter","Next Day Air Letter"
"Next Day Air Saver","Next Day Air Saver"
"Next Day Air Saver Letter","Next Day Air Saver Letter"
"No","Não"
"No packages for request","Nenhum pacote para solicitação"
"Non-rectangular","Não-Retangular"
"Not Required","Não Obrigatório"
"Order","Pedido"
"Origin of the Shipment","Origem da Remessa"
"Other","Outro"
"PAK","PAK"
"Package","Pacote"
"Package Description","Descrição do Pacote"
"Packaging","Embalagem"
"Pallet","Pallet"
"Parcel","Embrulho"
"Parcel Post","Parcel Post"
"Password","Senha"
"Pickup Method","Método de Retirada"
"Please make sure to use only digits here. No dashes are allowed.","Por favor certifique-se de usar apenas dígitos. Traços não são permitidos"
"Pounds","Libras"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Destinatário"
"Rectangular","Retangular"
"Regular","Normal"
"Regular Pickup","Retirada Normal"
"Request Courier","Solicitar Courier"
"Required","Obrigatório"
"Required for negotiated rates; 6-character UPS.","Obrigatório para tarifas negociadas; Código UPS de 6 caracteres."
"Residential","Residencial"
"Residential Delivery","Entrega Residencial"
"Response is in the wrong format","Resposta no formato inválido"
"Return","Voltar"
"Round","Redondo"
"Sample","Amostra"
"Sandbox Mode","Modo Sandbox"
"Second Day Service","Second Day Service"
"Secure Gateway URL","URL Segura de Gateway"
"Sender","Remetente"
"Service type does not match","O tipo de serviço não corresponde"
"Ship to Applicable Countries","Enviar para os Países Aplicáveis"
"Ship to Specific Countries","Enviar Para Países Específicos"
"Shipment Contains Hazardous Materials","Remessa Contém Materiais Perigosos"
"Shipment Dutiable","Remessa Tributável"
"Shipment Duty Payment Type","Tipo de Pagamento de Tributo de Envio"
"Shipment Type","Tipo de Remessa"
"Shipment is not available.","Remessa indisponível."
"Shipment picked up","Remessa retirada"
"Shipper Number","Número do Remetente"
"Shipping Key","Chave de Envio"
"Shipping Key (International)","Chave de Envio (Internacional)"
"Show Method if Not Applicable","Exibir Método Se Não Aplicável"
"Signature Required","Assinatura Obrigatória"
"Size","Tamanho"
"Small Express Box","Small Express Box"
"Smart Post","Smart Post"
"Sort Order","Ordem de Classificação"
"Standard Overnight","Standard Overnight"
"Station","Estação"
"Subtotal","Subtotal"
"Subtotal With Discount","Subtotal Com Desconto"
"The response is in wrong format.","A resposta foi devolvida no formato inválido."
"There is no available method for selected shipping address.","Não existe nenhum método disponível para o endereço de entrega selecionado."
"Third Party","Terceiros"
"Title","Título"
"To Lower","Para Baixo"
"To Upper","Para Cima"
"Tracking XML URL","URL do XML de Rastreio"
"UPS","UPS"
"UPS Expedited","UPS Expedited"
"UPS Express","UPS Express"
"UPS Express Box","UPS Express Box"
"UPS Express Early A.M.","UPS Express Early A.M."
"UPS Express Plus","UPS Express Plus"
"UPS Ground","UPS Ground"
"UPS Letter Envelope","UPS Letter Envelope"
"UPS Next Day Air","UPS Next Day Air"
"UPS Next Day Air Early A.M.","UPS Next Day Air Early A.M."
"UPS Next Day Air Saver","UPS Next Day Air Saver"
"UPS Saver","UPS Saver"
"UPS Second Day Air","UPS Second Day Air"
"UPS Second Day Air A.M.","UPS Second Day Air A.M."
"UPS Standard","UPS Standard"
"UPS Three-Day Select","UPS Three-Day Select"
"UPS Today Dedicated Courrier","UPS Today Dedicated Courrier"
"UPS Today Express","UPS Today Express"
"UPS Today Express Saver","UPS Today Express Saver"
"UPS Today Intercity","UPS Today Intercity"
"UPS Today Standard","UPS Today Standard"
"UPS Tube","UPS Tube"
"UPS Type","UPS Type"
"UPS Worldwide 10 kilo","UPS Worldwide 10 kilo"
"UPS Worldwide 25 kilo","UPS Worldwide 25 kilo"
"UPS Worldwide Expedited","UPS Worldwide Expedited"
"UPS Worldwide Express","UPS Worldwide Express"
"UPS Worldwide Express Plus","UPS Worldwide Express Plus"
"UPS Worldwide Express PlusSM","UPS Worldwide Express PlusSM"
"UPS Worldwide Saver","UPS Worldwide Saver"
