"All Websites","Todos os Websites"
"Apply Discounts To FPT","Aplicar Descontos para FPT"
"Apply Tax To FPT","Aplicar Impostos para FPT"
"Display Prices In Emails","Exibir Preços Em Emails"
"Display Prices In Product Lists","Exibir Preços em Listas de Produtos"
"Display Prices In Sales Modules","Exibir Preços em Módulos de Venda"
"Display Prices On Product View Page","Exibir Preços na Página de Exibição do Produto"
"Enable FPT","Ativar FPT"
"Excluding FPT","Excluíndo FPT"
"Excluding FPT, FPT description, final price","Excluíndo FPT, descrição do FPT, preço final"
"Fixed Product Tax","Imposto Fixo de Produto"
"Fixed Product Taxes","Impostos Fixos de Produto"
"Include FPT In Subtotal","Incluir FPT no Subtotal"
"Including FPT and FPT description","Incluíndo o FPT e a descrição do FPT"
"Including FPT and FPT description [incl. FPT VAT]","Incluíndo o FPT e a descrição do FPT [incl. FPT VAT]"
"Including FPT only","Incluíndo apenas o FPT"
"Total","Total"
"Total Incl. Tax","Total Incl. Impostos"
"Total incl. tax","Total incl. impostos"
