"%s","%s"
"-- Please Select --","-- Favor Selecionar --"
"Actions","Ações"
"Add Layout Update","Adicionar Atualização de Layout"
"Add New Widget Instance","Adicionar Nova Instância de Widget"
"All","Todos"
"All Pages","Todas as Páginas"
"All Product Types","Todos os Tipos de Produto"
"Anchor Categories","Categorias âncora"
"Assign to Store Views","Associar as Views da Loja"
"Big Image","Imagem Grande"
"Block Reference","Referência de Bloco"
"CMS","CMS"
"Categories","Categorias"
"Choose...","Escolher..."
"Close","Fechar"
"Continue","Continuar"
"Default Template","Template Default"
"Delete","Deletar"
"Design Package/Theme","Tema/Pacote de Design"
"Export to:","Exportar para:"
"Frontend Properties","Propriedades de Frontend"
"Generic Pages","Páginas Genéricas"
"Images","Imagens"
"Insert Widget","Inserir Widget"
"Layout Updates","Atualizações de Layout"
"Manage Widget Instances","Gerenciar Instâncias de Widget"
"New Instance","Nova Instância"
"New Widget Instance","Nova Instância de Widget"
"Next page","Próxima página"
"Non-Anchor Categories","Categorias Não-âncora"
"Not Selected","Não Selecionado"
"Page","Página"
"Please Select Block Reference First","Por favor Selecione Primeiro a Referência do Bloco"
"Previous page","Página anterior"
"Products","Produtos"
"Remove Layout Update","Remover Atualização de Layout"
"Save and Continue Edit","Salvar e Continuar Editando"
"Select All","Selecionar Todos"
"Select Visible","Selecionar Visíveis"
"Settings","Configurações"
"Sort Order","Ordem de Classificação"
"Sort Order of widget instances in the same block reference","Ordem de Classificação de instâncias de um widget na mesma refêrencia de bloco"
"Specific %s","Específico %s"
"Specified Page","Página Especificada"
"Template","Template"
"The information in this tab has been changed.","A informação nessa aba foi modificada."
"The widget instance has been deleted.","A instância do widget foi deletada com sucesso."
"The widget instance has been saved.","A instância do widget foi salva com sucesso."
"This tab contains invalid data. Please solve the problem before saving.","Essa aba contém dados inválidos. Por favor resolva os problemas antes de salvar os mesmos."
"Thumbnail","Miniatura"
"Total %d records found","Total de %d registros encontrados"
"Type","Tipo"
"Unselect All","Deselecionar Todos"
"Unselect Visible","Deselecionar Visíveis"
"View","View"
"Widget","Widget"
"Widget ""%s""","Widget ""%s"""
"Widget ID","ID do Widget"
"Widget Instance","Instância do Widget"
"Widget Instance Title","Título da Instância do Widget"
"Widget Options","Opções do Widget"
"Widget Type","Tipo do Widget"
"Widget Type is not specified","Tipo de Widget não especificado"
"Widget instance is not full complete to create.","A instância do widget não está completa para poder ser criada."
"Widgets","Widgets"
"Wrong wigdet instance specified.","Instância inválida de widget especificada."
"items selected","itens selecionados"
"of %s pages","de %s páginas"
"per page","por página"
