"%1$s has been added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping.","%1$s foi adicionado com sucesso a sua lista de desejos. Clique <a href=""%2$s"">aqui</a> para continuar suas compras."
"%1$s has been updated in your wishlist.","%1$s foi atualizado com sucesso na sua lista de desejos."
"%d product(s) have been added to shopping cart: %s.","%d produtos(s) foi/foram adicionados ao seu carrinho: %s."
"%s for ""%s"".","%s para ""%s""."
"%s's Wishlist","Lista de Desejos de %s"
"* Required Fields","* Campos Obrigatórios"
"Add All to Cart","Adicionar Todos ao Carrinho"
"Add to Cart","Comprar"
"Add to Compare","Adicionar a Comparação"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Added From","Adicionado De"
"Added On","Adicionado Em"
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item a lista de desejos."
"An error occurred while adding item to wishlist: %s","Ocorreu um erro ao adicionar o item a lista de desejos: %s"
"An error occurred while deleting the item from wishlist.","Ocorreu um erro ao deletar o item da lista de desejos."
"An error occurred while deleting the item from wishlist: %s","Ocorreu um erro ao deletar o item da lista de desejos: %s"
"An error occurred while updating wishlist.","Ocorreu um erro ao atualizar a lista de desejos."
"Are you sure you want to remove this product from your wishlist?","Você tem certeza que deseja remover esse produto da sua lista de desejos?"
"Are you sure you would like to remove this item from the wishlist?","Você tem certeza que gostaria de remover esse item da sua lista de desejos?"
"Back","Voltar"
"Can\'t delete item from wishlist","Impossível deletar o item da lista de desejos"
"Can\'t save description %s","Impossível salvar a descrição %s"
"Can\'t update wishlist","Impossível atualizar a lista de desejos"
"Cannot add item to shopping cart","Impossível adicionar o item ao carrinho"
"Cannot add the item to shopping cart.","Impossível adicionar o item ao carrinho."
"Cannot configure product","Impossível configurar o produto"
"Cannot create wishlist.","Impossível criar a lista de desejos."
"Cannot load wishlist item","Impossível carregar o item da lista de desejos"
"Cannot specify product.","Impossível especificar o produto."
"Cannot specify wishlist item.","Impossível especificar o item da lista de desejos."
"Cannot specify wishlist.","Impossível especificar a lista de desejos."
"Cannot update wishlist","Impossível atualizar a lista de desejos"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Marque essa caixa se você deseja adicionar um link a um feed RSS na sua lista de desejos."
"Click for price","Clique para ver o preço"
"Comment","Comentário"
"Comment:","Comentário:"
"Configure Wishlist Item","Configurar Item da Lista de Desejos"
"Configured Price:","Preço Configurado:"
"Customer My Account My Wishlist","Minha Lista de Desejos da Minha Conta de Cliente"
"Customer My Account Wishlist Sharing Form","Formulário de Compartilhamento da Minha Lista de Desejos da Minha Conta de Cliente"
"Customer Shared Wishlist View","View da Lista de Desejos Compartilhada do Cliente"
"Date Added","Adicionado Em"
"Days in Wishlist","Dias na Lista de Desejos"
"Display Wishlist Summary","Exibir Sumário da Lista de Desejos"
"Edit","Editar"
"Email Sender","Remetente do Email"
"Email Template","Template do Email"
"Email address can\'t be empty.","O endereo de email não pode ser vazio."
"Email addresses, separated by commas","Endereços de email, separaddos por vírgula"
"Enabled","Ativado"
"General Options","Opções Gerais"
"Go to Wishlist","Ir para Lista de Desejos"
"Helper for wishlist options rendering doesn't implement required interface.","O Helper usado para renderizar as opções da lista de desejos não implementa uma interface obrigatória."
"Last Added Items","Últimos Itens Adicionados"
"Message","Mensagem"
"My Wishlist","Minha Lista de Desejos"
"My Wishlist (%d item)","Minha Lista de Desejos (%d item)"
"My Wishlist (%d items)","Minha Lista de Desejos (%d itens)"
"My Wishlist <small>(%d)</small>","Minha Lista de Desejos <small>(%d)</small>"
"My Wishlist Link","Link para Minha Lista de Desejos"
"Options Details","Detalhes das Opções"
"Out of stock","Esgotado"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Por favor digite endereços de email válidos, separados por vírgulas. Por exemplo johndoe@domain.com, johnsmith@domain.com."
"Please input a valid email address.","Por favor digite um endereço de email válido."
"Please, enter your comments...","Por favor, digite seus comentários..."
"Product","Produto"
"Product Details and Comment","Detalhes e Comentários do Produto"
"Product(s) %s have required options. Each of them can be added to cart separately only.","O(s) produto(s) %s possui opções obrigatórias. Eles devem ser adicionados ao carrinho separadamente."
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","Link para o RSS da lista de desejos de %s"
"Remove Item","Remover Item"
"Remove This Item","Remover Esse Item"
"Remove item","Remover item"
"Share Options","Opções de Compartilhamento"
"Share Wishlist","Compartilhar Lista de Desejos"
"Share Your Wishlist","Compartilhe sua Lista de Desejos"
"Sharing Information","Informações de Compartilhamento"
"This product(s) is currently out of stock","Esse(s) produto(s) está(ão) esgotado(s)"
"Unable to add the following product(s) to shopping cart: %s.","Impossível adicionar o(s) seguinte(s) produtos(s) ao carrinho: %s."
"Update Wishlist","Atualizar Lista de Desejos"
"User description","Descrição do usuário"
"View Details","Ver Detalhes"
"View Product","Ver Produto"
"What's this?","O que é isso?"
"Wishlist","Lista de Desejos"
"Wishlist Section","Sessão de Lista de Desejos"
"Wishlist Sharing","Compartilhamento de Lista de Desejos"
"Wishlist is empty now.","A Lista de Desejos está vazia."
"You have no items in your wishlist.","Você não tem nenhum item na sua lista de desejos."
"Your Wishlist has been shared.","Sua Lista de Desejos foi compartilhada com sucesso."
