" But cart has some errors."," Mas o carrinho possui alguns erros."
"""Description"" is more than %d characters long","""Descrição"" é maior que %d caracteres"
"""Title"" is more than %d characters long","""Title"" é maior que %d caracteres"
"%1$s has been added to your wishlist.","%1$s foi adicionado com sucesso a sua lista de desejos."
"%1$s incl tax.","%1$s incl impostos."
"%@ is not correct","%@ não está correto"
"%s API Key required.","Chave de API %s requerida."
"%s Application ID required.","ID de Aplicação %s requerido."
"%s Secret Key required.","Chave Secreta %s requerida."
"%s has been added to your cart.","O item %s foi adicionado com sucesso ao seu carrinho."
"(Includes more countries than those listed below. As the application owner, you are responsible for complying with country-specific laws related to the distribution or sale of your application into that country, including your home country.)","(Inclúi mais países do que os listados abaixo. Como dono da aplicação, você é responsável por seguir qualquer lei específica do seu país para a distribuição ou venda.)"
"*Subject to change","*Passível de Mudança"
"10:40 AM","10:40 AM"
"80px x 80px","80px x 80px"
"80x80 px","80x80 px"
"<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship.","<a href=""%s"" target=""_blank"">Login</a> to Urabn Airship."
"A Catalog Only App will not support functions such as add to cart, add to wishlist, or login.","Uma aplicação Somente de Cátalogo não suportará funçoes como adicionar ao carrinho, adicionar a lista de desejos, ou login."
"A new password has been sent.","Uma nova senha foi enviada com sucesso."
"Account","Conta"
"Account confirmation is required. Please check your email for the confirmation link.","A confirmação de conta é obrigatória. Por favor verifique seu email para obter o link de confirmação."
"Account information has been saved.","A informação da conta foi salva com sucesso."
"Action","Ação"
"Activate","Ativar"
"Activate PayPal Checkout","Ativar Checkout PayPal"
"Activation Key","Chave de Ativação"
"Add App","Adicionar App"
"Add New Template","Adicionar Novo Template"
"Add Page","Adicionar Página"
"Add to Cart","Adicionar ao Carrinho"
"Add to Wishlist","Adicionar a Lista de Desejos"
"Additional Address","Endereço Adicional"
"Additional Product Info","Info Adicional de Produto"
"Address","Endereço"
"Address 2","Endereço 2"
"Address data not specified.","Dados de endereço não especificados."
"Address does not belong to this customer.","O endereço não pertence a esse cliente."
"Address has been deleted.","O endereço foi deletado com sucesso."
"Address has been saved.","O endereço foi salvo com sucesso."
"Administrative contact for this app and for app submission issues.","Contato administrativo para esse app e para o envio de problemas com o app."
"Advanced Settings","Configurações Avançadas"
"After submitting the App to Magento, please contact <a href=""mailto:%1$s"">%1$s</a> to receive the Application Key, Application Secret and Application Master Secret.","Após enviar o App para o Magento, por favor entre em contato com <a href=""mailto:%1$s"">%1$s</a> para receber sua Chave de Aplicação, Segredo de Aplicação e Segredo Mestre de Aplicação."
"AirMail Message Queue","Fila de Mensagem AirMail"
"AirMail Messages Queue","Fila de Mensagens AirMail"
"AirMail Template Preview","Preview de Template AirMail"
"AirMail message","Mensagem AirMail"
"AirMail templates","Templates AirMail"
"All Allowed Countries","Todos os Países Permitidos"
"All locations","Todas as localizações"
"An account with this email address already exists.","Uma conta com esse endereço de email já existe."
"An error occurred while adding item to wishlist.","Ocorreu um erro ao adicionar o item a lista de desejos."
"An error occurred while deleting the address.","Ocorreu um erro ao deletar o endereço."
"An error occurred while loading category filters.","Ocorreu um erro ao carregar os filtros de categoria."
"An error occurred while processing your order. Please contact us or try again later.","Ocorreu um erro ao processar o seu pedido. Por favor entre em contato conosco ou tente novamente mais tarde."
"An error occurred while processing your request.","Ocorreu um erro ao processar sua solicitação."
"An error occurred while removing item from wishlist.","Ocorreu um erro ao remover o item da lista de desejos."
